t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 465, 150, 456, 150, 475, 150, 468, 150, 466, 150, 466, 
10, 150, 468, 150, 460, 150, 480, 150, 473, 149, 471, 150, 471, 
15, 150, 469, 150, 462, 150, 482, 149, 476, 149, 475, 150, 474, 
20, 150, 470, 150, 463, 150, 484, 149, 479, 149, 476, 150, 475, 
25, 150, 471, 149, 464, 149, 484, 150, 480, 149, 477, 150, 476, 
30, 150, 471, 150, 465, 150, 486, 150, 480, 150, 479, 150, 479, 
35, 150, 472, 150, 465, 150, 487, 149, 482, 150, 480, 150, 479, 
40, 150, 469, 150, 463, 150, 484, 150, 481, 149, 478, 150, 479, 
45, 150, 465, 149, 458, 150, 481, 150, 478, 150, 476, 150, 478, 
50, 150, 461, 150, 455, 150, 477, 149, 475, 149, 475, 149, 477, 
55, 150, 455, 150, 452, 150, 472, 149, 469, 150, 468, 149, 472, 
60, 150, 453, 150, 449, 150, 468, 150, 466, 149, 465, 149, 470, 
65, 150, 450, 149, 447, 150, 466, 149, 464, 149, 464, 150, 469, 
70, 150, 451, 150, 447, 150, 466, 149, 462, 150, 463, 150, 466, 
75, 150, 450, 150, 447, 150, 464, 150, 461, 150, 463, 150, 466, 
80, 150, 449, 150, 445, 150, 463, 150, 460, 149, 463, 149, 464, 
85, 150, 448, 150, 444, 150, 461, 149, 458, 150, 463, 150, 463, 
90, 149, 448, 150, 443, 150, 460, 150, 457, 150, 462, 149, 462, 
95, 150, 449, 149, 438, 150, 458, 150, 455, 150, 461, 150, 462, 
100, 150, 450, 149, 440, 150, 457, 149, 456, 150, 460, 150, 461, 
105, 149, 451, 150, 439, 150, 456, 149, 453, 150, 459, 150, 461, 
110, 150, 453, 150, 437, 149, 455, 150, 453, 149, 457, 150, 459, 
115, 150, 456, 150, 437, 150, 455, 149, 453, 150, 458, 150, 459, 
120, 150, 458, 150, 436, 149, 454, 149, 452, 150, 457, 150, 458, 
125, 150, 459, 150, 436, 150, 454, 149, 454, 150, 455, 150, 456, 
130, 150, 461, 150, 435, 149, 454, 149, 455, 150, 456, 150, 456, 
135, 149, 462, 150, 436, 149, 455, 149, 455, 150, 455, 150, 455, 
140, 150, 463, 149, 436, 150, 455, 149, 456, 150, 455, 150, 454, 
145, 150, 466, 150, 436, 150, 455, 150, 457, 150, 455, 150, 453, 
150, 150, 466, 150, 437, 149, 455, 149, 457, 150, 455, 150, 453, 
155, 150, 467, 150, 438, 150, 456, 149, 458, 150, 454, 150, 453, 
160, 150, 468, 150, 438, 150, 456, 150, 457, 150, 454, 149, 452, 
165, 150, 467, 150, 440, 150, 456, 149, 459, 149, 453, 149, 451, 
170, 150, 468, 150, 439, 150, 458, 150, 459, 149, 453, 150, 451, 
175, 150, 467, 150, 440, 149, 456, 149, 460, 150, 453, 150, 452, 
180, 150, 467, 150, 441, 150, 457, 149, 458, 150, 452, 150, 450, 
185, 150, 467, 150, 441, 149, 455, 150, 458, 150, 451, 150, 450, 
190, 150, 466, 150, 445, 150, 457, 150, 458, 149, 451, 150, 451, 
195, 149, 465, 150, 442, 150, 457, 150, 458, 149, 451, 150, 451, 
200, 150, 464, 150, 442, 149, 458, 149, 457, 150, 451, 150, 451, 
205, 150, 463, 150, 442, 150, 457, 149, 455, 149, 450, 150, 449, 
210, 150, 462, 150, 443, 150, 458, 149, 455, 150, 449, 150, 449, 
215, 150, 462, 150, 445, 150, 457, 149, 454, 150, 450, 149, 451, 
220, 150, 461, 150, 443, 149, 458, 150, 451, 149, 449, 149, 451, 
225, 150, 460, 150, 442, 150, 457, 149, 451, 149, 448, 150, 450, 
230, 150, 459, 150, 442, 150, 458, 150, 451, 150, 448, 150, 450, 
235, 150, 459, 150, 443, 150, 459, 150, 448, 150, 447, 150, 449, 
240, 149, 458, 150, 442, 150, 459, 150, 446, 149, 445, 150, 450, 
245, 150, 457, 150, 441, 150, 458, 149, 446, 150, 444, 150, 449, 
250, 150, 457, 150, 442, 150, 459, 149, 443, 149, 444, 150, 448, 
255, 150, 456, 150, 441, 150, 460, 150, 442, 150, 442, 150, 450, 
260, 150, 454, 149, 441, 150, 457, 149, 442, 150, 442, 149, 449, 
265, 150, 454, 150, 440, 150, 458, 149, 440, 150, 441, 150, 450, 
270, 150, 453, 149, 436, 150, 458, 149, 438, 150, 439, 150, 448, 
275, 150, 452, 150, 439, 150, 457, 149, 436, 150, 439, 150, 448, 
280, 150, 452, 150, 439, 149, 457, 150, 435, 149, 437, 150, 448, 
285, 150, 451, 150, 438, 150, 459, 149, 433, 150, 436, 150, 447, 
290, 150, 451, 150, 438, 149, 457, 149, 432, 150, 434, 150, 446, 
295, 150, 450, 150, 438, 150, 457, 149, 430, 150, 432, 149, 445, 
300, 150, 449, 150, 437, 150, 456, 149, 430, 149, 430, 150, 445, 
305, 150, 448, 149, 437, 150, 456, 150, 428, 150, 429, 150, 443, 
310, 150, 448, 149, 437, 150, 457, 149, 426, 149, 427, 150, 443, 
315, 150, 447, 149, 436, 150, 456, 149, 424, 150, 426, 150, 443, 
320, 150, 446, 150, 436, 150, 455, 149, 424, 149, 424, 150, 442, 
325, 149, 445, 150, 436, 150, 454, 150, 422, 150, 423, 150, 443, 
330, 150, 445, 149, 435, 150, 455, 149, 422, 150, 421, 150, 440, 
