t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 490, 149, 481, 150, 486, 150, 483, 150, 489, 150, 505, 
10, 149, 492, 150, 485, 150, 490, 149, 487, 150, 494, 150, 512, 
15, 149, 493, 150, 486, 150, 493, 149, 491, 149, 498, 150, 517, 
20, 150, 494, 150, 486, 150, 494, 150, 492, 150, 500, 150, 519, 
25, 150, 493, 150, 487, 149, 497, 149, 493, 150, 502, 150, 521, 
30, 150, 492, 150, 488, 149, 497, 149, 494, 150, 504, 150, 522, 
35, 150, 493, 150, 488, 150, 498, 150, 496, 150, 505, 149, 524, 
40, 150, 493, 150, 488, 150, 498, 150, 497, 149, 506, 150, 524, 
45, 150, 489, 150, 483, 150, 492, 149, 491, 150, 503, 150, 521, 
50, 150, 482, 150, 476, 149, 486, 150, 485, 150, 497, 150, 517, 
55, 150, 477, 150, 471, 150, 480, 150, 479, 150, 491, 150, 510, 
60, 150, 476, 150, 470, 150, 479, 150, 479, 150, 491, 150, 510, 
65, 149, 474, 150, 468, 150, 478, 149, 479, 149, 489, 150, 510, 
70, 150, 472, 149, 467, 150, 477, 150, 479, 150, 489, 150, 508, 
75, 150, 473, 150, 466, 150, 476, 150, 478, 149, 488, 150, 509, 
80, 149, 472, 150, 466, 150, 476, 150, 477, 149, 488, 150, 509, 
85, 150, 473, 150, 466, 150, 475, 150, 476, 150, 486, 149, 507, 
90, 150, 472, 150, 465, 150, 474, 149, 475, 149, 485, 149, 508, 
95, 150, 473, 150, 463, 150, 473, 150, 474, 150, 484, 150, 506, 
100, 150, 475, 149, 462, 150, 472, 150, 473, 150, 482, 150, 506, 
105, 149, 473, 150, 462, 150, 471, 150, 471, 150, 482, 150, 504, 
110, 149, 474, 149, 462, 150, 471, 149, 470, 149, 481, 150, 502, 
115, 150, 476, 150, 462, 150, 471, 149, 469, 150, 480, 150, 501, 
120, 150, 477, 150, 464, 150, 471, 149, 469, 150, 479, 149, 501, 
125, 150, 478, 150, 464, 150, 470, 149, 468, 149, 479, 150, 498, 
130, 150, 483, 150, 465, 150, 470, 150, 468, 149, 478, 150, 499, 
135, 150, 486, 150, 466, 150, 469, 149, 468, 149, 477, 149, 497, 
140, 150, 486, 150, 466, 149, 469, 149, 467, 149, 477, 150, 497, 
145, 150, 488, 150, 466, 149, 468, 149, 467, 150, 477, 150, 495, 
150, 150, 490, 150, 466, 150, 470, 150, 466, 150, 476, 150, 495, 
155, 149, 490, 150, 466, 150, 468, 149, 465, 149, 475, 150, 494, 
160, 150, 490, 150, 466, 149, 468, 149, 464, 150, 475, 150, 492, 
165, 150, 491, 150, 466, 150, 468, 150, 463, 149, 474, 150, 492, 
170, 150, 490, 150, 466, 150, 468, 150, 462, 149, 473, 150, 491, 
175, 149, 490, 150, 466, 149, 468, 149, 461, 149, 472, 149, 490, 
180, 150, 487, 150, 465, 150, 469, 150, 460, 150, 471, 149, 490, 
185, 150, 488, 150, 465, 149, 467, 149, 460, 149, 470, 149, 490, 
190, 150, 486, 149, 465, 150, 468, 150, 459, 150, 469, 150, 488, 
195, 150, 484, 150, 464, 149, 468, 149, 458, 150, 468, 150, 488, 
200, 150, 484, 150, 464, 150, 468, 149, 457, 150, 467, 150, 488, 
205, 150, 484, 150, 463, 150, 467, 149, 457, 150, 465, 150, 488, 
210, 150, 483, 150, 463, 149, 468, 150, 456, 150, 464, 150, 487, 
215, 150, 483, 150, 463, 150, 468, 149, 455, 150, 463, 149, 486, 
220, 150, 482, 150, 462, 150, 468, 150, 455, 149, 461, 150, 485, 
225, 150, 481, 150, 461, 150, 468, 150, 454, 150, 460, 149, 485, 
230, 150, 478, 150, 461, 150, 468, 149, 453, 150, 459, 149, 484, 
235, 150, 477, 150, 460, 149, 467, 149, 452, 149, 457, 150, 484, 
240, 150, 477, 149, 460, 150, 467, 150, 451, 150, 456, 150, 483, 
245, 149, 475, 149, 459, 150, 467, 149, 450, 149, 453, 150, 483, 
250, 150, 477, 150, 460, 150, 467, 150, 449, 149, 452, 150, 482, 
255, 149, 475, 150, 459, 150, 470, 149, 449, 150, 450, 149, 482, 
260, 150, 475, 150, 459, 150, 466, 149, 447, 150, 449, 150, 482, 
265, 150, 474, 149, 458, 150, 466, 149, 446, 149, 446, 150, 480, 
270, 150, 472, 150, 458, 150, 465, 150, 445, 150, 444, 149, 480, 
275, 150, 471, 150, 458, 150, 464, 149, 443, 150, 442, 150, 480, 
280, 150, 471, 149, 459, 150, 465, 150, 442, 150, 441, 150, 479, 
285, 150, 470, 150, 459, 150, 464, 149, 441, 149, 439, 150, 478, 
290, 150, 469, 150, 459, 150, 463, 149, 440, 150, 438, 150, 477, 
295, 150, 469, 150, 458, 150, 462, 150, 438, 149, 436, 150, 476, 
300, 150, 468, 150, 458, 150, 461, 150, 437, 149, 434, 150, 476, 
305, 150, 468, 150, 457, 150, 460, 149, 436, 150, 433, 150, 474, 
310, 150, 467, 150, 458, 150, 459, 149, 435, 149, 431, 150, 474, 
315, 150, 467, 150, 457, 149, 456, 149, 435, 149, 430, 150, 473, 
320, 150, 467, 149, 456, 151, 460, 149, 434, 149, 428, 150, 473, 
325, 150, 466, 150, 456, 150, 455, 149, 432, 150, 427, 149, 471, 
330, 150, 466, 150, 456, 150, 455, 150, 432, 149, 426, 150, 471, 
