t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 502, 150, 493, 150, 501, 150, 503, 149, 487, 149, 493, 
10, 150, 513, 150, 502, 149, 509, 150, 512, 150, 499, 150, 503, 
15, 150, 517, 150, 507, 150, 518, 150, 519, 149, 503, 150, 510, 
20, 150, 523, 150, 514, 150, 522, 149, 524, 149, 509, 150, 515, 
25, 149, 527, 150, 516, 150, 530, 150, 529, 149, 513, 150, 518, 
30, 150, 528, 150, 518, 150, 532, 149, 531, 150, 519, 150, 520, 
35, 150, 531, 150, 520, 150, 532, 150, 534, 150, 520, 149, 521, 
40, 150, 532, 150, 523, 150, 533, 149, 535, 149, 518, 150, 521, 
45, 150, 527, 150, 519, 150, 533, 149, 535, 150, 519, 150, 522, 
50, 150, 525, 150, 519, 150, 532, 149, 535, 150, 515, 150, 522, 
55, 150, 522, 150, 519, 150, 535, 149, 534, 150, 515, 150, 521, 
60, 150, 516, 150, 514, 150, 535, 150, 535, 149, 512, 150, 519, 
65, 150, 511, 149, 512, 150, 534, 149, 533, 149, 509, 150, 518, 
70, 150, 510, 150, 512, 150, 529, 150, 534, 149, 508, 150, 518, 
75, 150, 507, 150, 510, 150, 532, 150, 534, 149, 505, 150, 519, 
80, 150, 507, 150, 508, 150, 531, 149, 534, 149, 505, 150, 517, 
85, 150, 506, 150, 510, 150, 530, 149, 534, 150, 507, 149, 519, 
90, 150, 507, 148, 508, 150, 530, 149, 534, 150, 515, 150, 521, 
95, 149, 504, 150, 507, 150, 536, 149, 535, 151, 519, 150, 521, 
100, 150, 507, 150, 508, 150, 532, 149, 535, 150, 523, 150, 524, 
105, 150, 512, 150, 513, 149, 528, 149, 537, 150, 529, 150, 524, 
110, 150, 517, 150, 515, 150, 528, 149, 537, 150, 530, 150, 527, 
115, 149, 524, 150, 518, 150, 530, 149, 538, 150, 536, 150, 527, 
120, 150, 529, 150, 525, 150, 531, 149, 538, 149, 540, 150, 528, 
125, 150, 536, 150, 526, 150, 528, 149, 540, 150, 549, 150, 529, 
130, 149, 541, 150, 530, 150, 530, 149, 540, 150, 548, 149, 529, 
135, 150, 546, 150, 536, 150, 528, 149, 542, 150, 553, 150, 531, 
140, 150, 552, 148, 534, 150, 532, 149, 542, 150, 558, 150, 531, 
145, 150, 558, 150, 549, 150, 527, 149, 550, 149, 565, 150, 532, 
150, 149, 562, 150, 554, 150, 526, 149, 552, 149, 569, 149, 533, 
155, 149, 566, 150, 558, 149, 527, 149, 554, 149, 570, 150, 533, 
160, 150, 569, 150, 562, 150, 530, 149, 555, 149, 576, 150, 534, 
165, 150, 573, 150, 565, 150, 536, 149, 556, 149, 576, 150, 534, 
170, 150, 579, 150, 569, 150, 544, 149, 558, 150, 580, 150, 535, 
175, 149, 587, 150, 572, 150, 551, 149, 560, 149, 581, 149, 533, 
180, 149, 595, 150, 574, 150, 559, 150, 561, 149, 581, 150, 535, 
185, 150, 602, 150, 577, 150, 565, 150, 562, 150, 583, 150, 535, 
190, 150, 609, 149, 579, 150, 572, 150, 563, 150, 582, 149, 535, 
195, 150, 615, 149, 580, 150, 580, 149, 563, 150, 582, 149, 536, 
200, 150, 621, 149, 581, 150, 587, 149, 563, 149, 582, 150, 535, 
205, 150, 626, 150, 583, 150, 589, 149, 563, 149, 579, 149, 535, 
210, 150, 630, 150, 582, 150, 595, 150, 562, 150, 581, 150, 535, 
215, 150, 630, 150, 582, 150, 597, 150, 562, 150, 578, 150, 534, 
220, 150, 633, 150, 583, 150, 600, 150, 563, 150, 577, 150, 534, 
225, 150, 634, 150, 583, 150, 604, 149, 563, 149, 575, 149, 532, 
230, 150, 635, 150, 581, 149, 605, 149, 564, 150, 572, 150, 531, 
235, 150, 635, 150, 580, 150, 608, 149, 564, 150, 571, 150, 529, 
240, 150, 634, 150, 578, 149, 608, 149, 562, 150, 567, 149, 526, 
245, 150, 631, 150, 577, 150, 610, 149, 562, 150, 566, 150, 525, 
250, 150, 629, 150, 574, 150, 609, 149, 560, 149, 563, 149, 523, 
255, 150, 625, 150, 573, 150, 609, 149, 561, 149, 560, 150, 520, 
260, 150, 622, 150, 570, 150, 609, 149, 559, 149, 557, 150, 521, 
265, 150, 618, 150, 569, 149, 611, 150, 557, 149, 554, 150, 519, 
270, 150, 616, 150, 566, 150, 612, 150, 556, 149, 552, 150, 518, 
275, 150, 612, 150, 563, 150, 608, 149, 554, 150, 548, 150, 516, 
280, 150, 609, 150, 562, 150, 606, 150, 552, 150, 545, 150, 516, 
285, 150, 605, 150, 561, 150, 608, 149, 549, 149, 541, 150, 515, 
290, 150, 599, 150, 568, 149, 607, 150, 547, 149, 539, 149, 511, 
295, 150, 596, 150, 577, 149, 606, 149, 544, 149, 541, 150, 510, 
300, 150, 590, 149, 581, 150, 608, 149, 541, 150, 539, 150, 508, 
305, 150, 587, 150, 586, 150, 603, 150, 538, 149, 534, 150, 507, 
310, 150, 584, 150, 589, 150, 605, 149, 533, 150, 536, 149, 505, 
315, 150, 578, 150, 592, 150, 601, 149, 529, 150, 530, 150, 503, 
320, 150, 576, 149, 591, 150, 600, 149, 524, 150, 530, 150, 503, 
325, 150, 573, 150, 592, 150, 597, 149, 521, 149, 530, 150, 500, 
330, 150, 569, 150, 591, 150, 593, 150, 516, 150, 528, 150, 500, 
