t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 478, 149, 472, 149, 492, 150, 489, 150, 484, 150, 477, 
10, 150, 480, 150, 479, 149, 497, 149, 491, 149, 488, 150, 481, 
15, 150, 481, 149, 480, 150, 500, 149, 493, 150, 490, 150, 483, 
20, 150, 482, 150, 482, 150, 501, 150, 496, 149, 493, 150, 485, 
25, 150, 483, 150, 483, 150, 502, 150, 496, 149, 494, 150, 486, 
30, 150, 482, 149, 481, 150, 503, 149, 499, 149, 494, 150, 487, 
35, 150, 483, 150, 483, 150, 502, 150, 499, 150, 495, 150, 489, 
40, 150, 483, 150, 482, 150, 502, 149, 501, 150, 494, 150, 488, 
45, 150, 484, 150, 482, 150, 502, 150, 499, 150, 495, 149, 488, 
50, 150, 484, 150, 482, 150, 501, 149, 501, 150, 496, 150, 489, 
55, 150, 482, 150, 481, 149, 501, 150, 499, 150, 495, 149, 489, 
60, 150, 481, 150, 481, 150, 501, 149, 497, 150, 496, 149, 489, 
65, 149, 480, 150, 481, 150, 500, 150, 496, 150, 496, 150, 489, 
70, 150, 480, 151, 485, 149, 500, 150, 494, 149, 496, 150, 488, 
75, 150, 478, 150, 478, 149, 498, 149, 494, 150, 494, 150, 488, 
80, 150, 478, 150, 477, 150, 498, 150, 491, 150, 495, 150, 488, 
85, 150, 476, 150, 475, 150, 497, 150, 493, 149, 494, 150, 487, 
90, 150, 475, 150, 475, 149, 494, 150, 490, 150, 492, 150, 485, 
95, 150, 473, 150, 474, 150, 495, 150, 489, 150, 493, 150, 485, 
100, 150, 472, 149, 472, 150, 493, 149, 489, 150, 491, 150, 484, 
105, 150, 471, 149, 472, 150, 493, 149, 488, 149, 490, 150, 483, 
110, 150, 471, 150, 472, 150, 493, 150, 488, 150, 490, 150, 482, 
115, 150, 471, 150, 472, 150, 490, 150, 486, 150, 490, 150, 481, 
120, 150, 471, 150, 472, 150, 490, 150, 487, 150, 490, 150, 480, 
125, 150, 471, 149, 471, 149, 489, 149, 488, 150, 489, 150, 480, 
130, 150, 472, 150, 472, 150, 491, 149, 487, 150, 489, 150, 479, 
135, 149, 472, 150, 473, 149, 491, 150, 486, 150, 488, 150, 479, 
140, 150, 473, 150, 471, 149, 489, 149, 488, 149, 488, 150, 478, 
145, 150, 473, 150, 474, 150, 492, 149, 487, 150, 487, 150, 478, 
150, 150, 474, 150, 475, 150, 492, 150, 489, 150, 487, 150, 478, 
155, 150, 475, 150, 476, 150, 492, 150, 489, 149, 487, 150, 477, 
160, 150, 476, 149, 476, 150, 493, 150, 487, 150, 487, 150, 477, 
165, 150, 476, 150, 476, 150, 494, 150, 489, 150, 486, 150, 477, 
170, 150, 476, 149, 479, 150, 496, 149, 488, 149, 486, 150, 478, 
175, 150, 477, 150, 480, 150, 497, 149, 489, 149, 487, 150, 477, 
180, 150, 478, 150, 481, 150, 498, 149, 489, 149, 488, 150, 477, 
185, 149, 479, 150, 483, 148, 498, 150, 490, 149, 488, 150, 477, 
190, 150, 478, 149, 485, 150, 500, 149, 493, 150, 489, 150, 477, 
195, 150, 479, 150, 486, 150, 499, 149, 491, 150, 489, 150, 476, 
200, 150, 480, 149, 488, 150, 501, 150, 491, 150, 489, 150, 477, 
205, 150, 481, 150, 489, 150, 503, 149, 492, 149, 488, 149, 477, 
210, 150, 481, 150, 490, 150, 504, 150, 490, 150, 489, 149, 477, 
215, 150, 481, 149, 492, 150, 505, 149, 491, 150, 490, 150, 477, 
220, 150, 480, 150, 495, 149, 503, 149, 490, 149, 490, 150, 477, 
225, 150, 483, 150, 494, 150, 503, 150, 491, 149, 491, 150, 477, 
230, 150, 483, 150, 495, 150, 503, 150, 490, 150, 491, 150, 476, 
235, 150, 483, 150, 495, 150, 503, 149, 491, 149, 489, 149, 476, 
240, 150, 484, 150, 497, 149, 504, 150, 490, 149, 491, 150, 477, 
245, 150, 485, 150, 498, 150, 505, 150, 490, 149, 491, 150, 476, 
250, 150, 485, 150, 499, 150, 506, 150, 490, 150, 491, 150, 476, 
255, 150, 484, 150, 501, 150, 505, 149, 492, 150, 492, 150, 476, 
260, 150, 486, 150, 502, 149, 500, 149, 490, 150, 492, 150, 476, 
265, 150, 486, 149, 502, 149, 499, 150, 490, 149, 492, 150, 475, 
270, 150, 486, 150, 503, 150, 500, 149, 490, 149, 492, 150, 474, 
275, 150, 487, 150, 504, 149, 498, 149, 491, 149, 492, 150, 473, 
280, 149, 486, 150, 504, 149, 497, 149, 490, 150, 492, 150, 473, 
285, 150, 488, 150, 505, 150, 497, 149, 490, 149, 492, 150, 472, 
290, 149, 488, 150, 506, 150, 497, 150, 489, 150, 492, 150, 471, 
295, 150, 487, 150, 505, 150, 496, 149, 488, 149, 492, 150, 470, 
300, 150, 487, 150, 505, 150, 496, 150, 486, 150, 492, 150, 470, 
305, 150, 488, 150, 504, 149, 493, 149, 485, 150, 492, 150, 467, 
310, 150, 488, 150, 504, 150, 496, 149, 484, 149, 488, 150, 467, 
315, 150, 488, 150, 505, 150, 494, 150, 483, 150, 492, 150, 465, 
320, 149, 488, 150, 504, 149, 493, 150, 482, 150, 491, 150, 465, 
325, 150, 490, 150, 502, 150, 493, 150, 480, 149, 492, 150, 463, 
330, 150, 488, 150, 504, 150, 492, 150, 479, 150, 492, 150, 462, 
