t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 478, 150, 468, 150, 486, 150, 483, 149, 477, 150, 483, 
10, 150, 482, 150, 472, 150, 493, 149, 487, 150, 484, 150, 489, 
15, 150, 483, 150, 473, 150, 494, 150, 492, 150, 487, 149, 494, 
20, 150, 484, 150, 475, 150, 495, 150, 494, 150, 489, 150, 496, 
25, 150, 485, 150, 476, 150, 497, 150, 495, 149, 490, 149, 498, 
30, 150, 486, 149, 477, 149, 498, 150, 495, 150, 491, 150, 499, 
35, 150, 486, 150, 478, 150, 502, 149, 495, 149, 492, 149, 502, 
40, 150, 499, 150, 487, 150, 504, 150, 500, 150, 490, 150, 494, 
45, 150, 502, 148, 482, 150, 504, 149, 498, 150, 489, 149, 491, 
50, 149, 503, 150, 490, 150, 504, 150, 497, 150, 488, 150, 492, 
55, 150, 505, 150, 491, 150, 505, 149, 498, 150, 489, 150, 493, 
60, 150, 506, 149, 492, 148, 501, 149, 500, 150, 489, 150, 492, 
65, 150, 505, 150, 492, 150, 505, 150, 497, 149, 490, 150, 493, 
70, 150, 506, 149, 491, 150, 504, 150, 497, 150, 491, 150, 495, 
75, 150, 506, 149, 492, 150, 504, 149, 495, 150, 492, 150, 494, 
80, 150, 506, 150, 493, 149, 500, 149, 494, 149, 491, 150, 494, 
85, 150, 505, 149, 489, 149, 501, 149, 493, 150, 491, 150, 493, 
90, 149, 505, 150, 490, 150, 498, 150, 492, 150, 490, 150, 493, 
95, 149, 502, 149, 490, 150, 499, 150, 490, 150, 490, 150, 492, 
100, 150, 504, 150, 490, 150, 498, 149, 489, 150, 489, 150, 492, 
105, 149, 504, 149, 490, 150, 502, 150, 486, 150, 487, 150, 490, 
110, 150, 503, 150, 489, 150, 498, 149, 485, 150, 486, 150, 490, 
115, 150, 503, 150, 490, 150, 497, 150, 486, 149, 485, 150, 488, 
120, 150, 503, 150, 491, 150, 499, 149, 486, 150, 485, 149, 487, 
125, 150, 502, 150, 490, 150, 499, 150, 485, 149, 485, 150, 487, 
130, 150, 503, 150, 492, 150, 500, 150, 487, 149, 484, 150, 486, 
135, 150, 504, 149, 491, 149, 498, 150, 489, 150, 484, 150, 486, 
140, 150, 503, 149, 492, 150, 499, 150, 491, 149, 483, 150, 485, 
145, 150, 503, 149, 493, 149, 499, 150, 490, 150, 484, 150, 485, 
150, 150, 502, 150, 493, 149, 501, 150, 493, 149, 484, 150, 485, 
155, 150, 502, 150, 496, 150, 500, 150, 494, 150, 484, 150, 485, 
160, 149, 502, 150, 495, 150, 503, 149, 494, 150, 484, 150, 485, 
165, 150, 501, 150, 495, 150, 502, 149, 498, 150, 484, 149, 485, 
170, 150, 502, 150, 495, 149, 503, 150, 496, 150, 484, 150, 486, 
175, 150, 501, 150, 496, 149, 504, 150, 499, 150, 483, 149, 485, 
180, 149, 500, 150, 494, 149, 502, 149, 500, 150, 484, 150, 486, 
185, 150, 499, 150, 495, 149, 504, 150, 501, 150, 484, 150, 486, 
190, 149, 498, 149, 495, 149, 504, 150, 502, 149, 484, 150, 486, 
195, 150, 498, 149, 493, 150, 506, 150, 503, 150, 484, 149, 486, 
200, 150, 497, 150, 495, 150, 508, 150, 505, 150, 484, 150, 486, 
205, 150, 497, 150, 494, 150, 508, 150, 505, 149, 484, 150, 487, 
210, 150, 497, 149, 492, 150, 507, 149, 504, 150, 484, 150, 486, 
215, 150, 495, 149, 493, 150, 505, 150, 505, 149, 484, 150, 486, 
220, 149, 494, 150, 492, 149, 508, 150, 505, 150, 483, 150, 485, 
225, 150, 494, 149, 493, 149, 505, 149, 504, 150, 484, 150, 485, 
230, 150, 493, 150, 492, 150, 507, 149, 504, 149, 483, 150, 484, 
235, 150, 493, 150, 490, 149, 508, 149, 503, 150, 484, 150, 483, 
240, 150, 491, 150, 491, 150, 504, 149, 502, 149, 483, 149, 482, 
245, 150, 490, 150, 489, 150, 506, 150, 502, 150, 483, 150, 481, 
250, 150, 488, 150, 488, 150, 503, 150, 502, 150, 482, 150, 481, 
255, 150, 487, 150, 487, 150, 503, 149, 501, 150, 482, 150, 480, 
260, 150, 486, 150, 487, 150, 501, 149, 499, 150, 481, 150, 478, 
265, 150, 484, 150, 486, 150, 505, 150, 497, 149, 481, 150, 477, 
270, 150, 482, 150, 484, 149, 498, 149, 496, 149, 480, 150, 475, 
275, 150, 481, 151, 488, 150, 496, 150, 493, 150, 480, 150, 473, 
280, 150, 478, 150, 481, 149, 496, 150, 491, 150, 479, 149, 472, 
285, 150, 478, 149, 480, 150, 493, 149, 489, 150, 478, 150, 472, 
290, 150, 477, 149, 478, 150, 493, 150, 488, 150, 477, 150, 469, 
295, 150, 474, 150, 477, 150, 491, 149, 488, 150, 476, 149, 467, 
300, 150, 472, 150, 475, 150, 491, 150, 485, 149, 474, 149, 464, 
305, 150, 471, 150, 473, 150, 491, 149, 483, 150, 472, 150, 463, 
310, 150, 469, 150, 472, 149, 487, 149, 483, 150, 471, 150, 461, 
315, 150, 467, 150, 470, 149, 485, 149, 479, 149, 469, 150, 459, 
320, 149, 465, 150, 469, 150, 485, 150, 477, 149, 468, 150, 457, 
325, 150, 462, 150, 467, 150, 481, 149, 475, 149, 465, 150, 455, 
330, 150, 460, 150, 466, 149, 479, 150, 471, 150, 463, 150, 452, 
