t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 449, 150, 450, 150, 455, 149, 455, 150, 460, 149, 456, 
10, 150, 451, 150, 455, 150, 462, 150, 461, 150, 467, 149, 461, 
15, 150, 454, 150, 459, 149, 462, 150, 465, 150, 473, 150, 466, 
20, 150, 455, 150, 461, 150, 465, 149, 467, 150, 477, 149, 470, 
25, 150, 455, 150, 463, 150, 469, 150, 469, 150, 477, 150, 472, 
30, 150, 456, 150, 464, 148, 465, 149, 471, 150, 480, 150, 475, 
35, 150, 456, 150, 463, 149, 471, 149, 472, 150, 480, 150, 474, 
40, 149, 454, 150, 463, 150, 469, 149, 472, 150, 482, 150, 474, 
45, 150, 456, 150, 464, 150, 472, 150, 473, 149, 484, 150, 475, 
50, 150, 457, 150, 464, 150, 472, 150, 474, 149, 481, 150, 476, 
55, 150, 457, 150, 464, 149, 474, 149, 474, 149, 483, 149, 476, 
60, 150, 457, 150, 465, 149, 474, 149, 472, 149, 485, 150, 477, 
65, 150, 457, 150, 463, 150, 475, 149, 471, 150, 485, 150, 478, 
70, 150, 456, 150, 462, 150, 474, 149, 470, 149, 483, 149, 476, 
75, 150, 455, 150, 462, 150, 473, 150, 468, 149, 483, 150, 477, 
80, 150, 454, 150, 461, 149, 472, 149, 467, 150, 484, 150, 476, 
85, 149, 453, 150, 461, 150, 471, 150, 467, 150, 484, 150, 475, 
90, 150, 454, 150, 460, 150, 468, 150, 466, 150, 484, 150, 473, 
95, 149, 453, 150, 459, 150, 468, 149, 466, 149, 481, 150, 472, 
100, 150, 452, 150, 458, 149, 466, 150, 465, 150, 483, 150, 471, 
105, 150, 453, 150, 457, 150, 466, 149, 465, 149, 480, 150, 469, 
110, 150, 452, 149, 456, 150, 466, 149, 465, 149, 482, 150, 469, 
115, 150, 452, 150, 455, 150, 464, 150, 465, 149, 482, 150, 468, 
120, 150, 451, 150, 455, 149, 463, 149, 465, 149, 481, 149, 468, 
125, 150, 451, 150, 454, 149, 465, 150, 464, 150, 478, 150, 467, 
130, 150, 451, 150, 453, 149, 465, 149, 465, 150, 479, 150, 466, 
135, 149, 450, 150, 452, 150, 462, 149, 464, 149, 478, 150, 468, 
140, 150, 451, 150, 452, 150, 464, 150, 464, 150, 474, 150, 465, 
145, 150, 451, 150, 451, 150, 461, 149, 464, 150, 474, 150, 465, 
150, 150, 451, 150, 451, 150, 463, 150, 464, 150, 474, 150, 466, 
155, 150, 450, 150, 451, 150, 460, 149, 464, 149, 475, 149, 465, 
160, 150, 451, 150, 450, 150, 461, 150, 464, 149, 473, 150, 465, 
165, 150, 449, 150, 450, 150, 464, 149, 464, 150, 472, 150, 464, 
170, 150, 450, 150, 450, 150, 461, 150, 464, 150, 472, 150, 465, 
175, 149, 450, 150, 449, 150, 462, 149, 464, 149, 472, 149, 464, 
180, 150, 449, 150, 449, 150, 462, 150, 464, 150, 470, 150, 465, 
185, 150, 450, 150, 449, 150, 462, 150, 464, 150, 470, 150, 465, 
190, 149, 449, 150, 448, 150, 462, 150, 464, 149, 467, 150, 465, 
195, 150, 447, 150, 448, 150, 461, 149, 464, 149, 466, 150, 464, 
200, 150, 447, 149, 446, 150, 461, 149, 463, 149, 464, 150, 464, 
205, 150, 448, 150, 448, 150, 461, 150, 463, 150, 467, 149, 463, 
210, 150, 446, 150, 446, 150, 460, 149, 463, 150, 466, 150, 463, 
215, 150, 447, 150, 446, 150, 463, 149, 462, 150, 465, 150, 464, 
220, 150, 444, 150, 446, 150, 461, 150, 462, 150, 463, 150, 463, 
225, 150, 444, 150, 445, 150, 462, 149, 462, 149, 461, 150, 461, 
230, 150, 443, 150, 444, 150, 462, 149, 461, 149, 461, 150, 463, 
235, 150, 444, 150, 443, 149, 463, 150, 461, 150, 463, 150, 461, 
240, 150, 443, 150, 443, 150, 460, 150, 460, 149, 461, 150, 461, 
245, 150, 442, 150, 443, 150, 462, 149, 460, 150, 462, 150, 460, 
250, 150, 441, 150, 442, 150, 460, 149, 459, 150, 460, 150, 460, 
255, 150, 441, 149, 441, 150, 458, 150, 458, 149, 460, 150, 460, 
260, 150, 441, 150, 441, 150, 458, 150, 458, 149, 458, 150, 459, 
265, 150, 440, 150, 439, 150, 454, 150, 456, 150, 457, 150, 458, 
270, 150, 439, 150, 439, 149, 454, 149, 454, 150, 457, 149, 457, 
275, 150, 440, 149, 436, 150, 462, 149, 458, 150, 453, 150, 455, 
280, 149, 439, 150, 438, 149, 460, 149, 457, 150, 453, 149, 452, 
285, 150, 439, 149, 436, 151, 465, 150, 455, 150, 453, 150, 452, 
290, 150, 439, 150, 436, 149, 457, 149, 454, 149, 451, 150, 451, 
295, 150, 437, 150, 437, 150, 458, 149, 452, 150, 450, 150, 452, 
300, 150, 437, 150, 437, 149, 454, 149, 451, 150, 450, 150, 449, 
305, 150, 436, 150, 437, 150, 453, 150, 450, 149, 450, 150, 448, 
310, 150, 435, 150, 436, 149, 453, 149, 450, 150, 450, 150, 447, 
315, 150, 435, 150, 436, 150, 451, 149, 447, 150, 449, 150, 446, 
320, 150, 434, 150, 435, 150, 451, 150, 447, 149, 449, 150, 445, 
325, 150, 434, 150, 434, 150, 448, 149, 445, 150, 447, 150, 442, 
330, 150, 433, 150, 434, 150, 447, 150, 443, 150, 446, 150, 440, 
