t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 457, 150, 456, 150, 461, 149, 466, 149, 462, 150, 458, 
10, 150, 459, 150, 461, 150, 466, 149, 470, 150, 469, 149, 464, 
15, 150, 461, 150, 462, 149, 468, 149, 473, 149, 472, 150, 469, 
20, 150, 462, 149, 464, 149, 471, 150, 476, 150, 476, 149, 471, 
25, 150, 463, 150, 467, 149, 472, 149, 479, 150, 478, 150, 474, 
30, 150, 463, 150, 468, 150, 474, 149, 480, 149, 479, 150, 475, 
35, 150, 464, 150, 468, 149, 473, 150, 482, 149, 481, 150, 476, 
40, 149, 464, 150, 468, 150, 475, 149, 481, 150, 481, 150, 476, 
45, 150, 462, 150, 468, 149, 474, 149, 483, 150, 482, 149, 476, 
50, 150, 463, 150, 467, 150, 475, 149, 481, 149, 483, 150, 477, 
55, 150, 461, 150, 466, 150, 475, 150, 482, 150, 484, 149, 479, 
60, 150, 461, 150, 467, 150, 476, 149, 479, 150, 485, 150, 480, 
65, 150, 460, 150, 465, 149, 474, 149, 477, 150, 485, 150, 480, 
70, 150, 459, 150, 464, 150, 472, 149, 475, 149, 485, 150, 479, 
75, 150, 458, 150, 462, 150, 471, 150, 474, 149, 485, 150, 480, 
80, 150, 457, 150, 461, 150, 467, 149, 472, 149, 485, 150, 477, 
85, 150, 456, 149, 461, 150, 467, 150, 471, 150, 484, 150, 476, 
90, 150, 455, 150, 460, 150, 464, 149, 470, 150, 483, 149, 474, 
95, 150, 455, 150, 459, 149, 464, 150, 470, 150, 482, 150, 474, 
100, 150, 454, 150, 458, 150, 463, 149, 469, 150, 482, 150, 473, 
105, 150, 454, 150, 456, 150, 462, 149, 469, 150, 481, 150, 473, 
110, 149, 453, 150, 456, 150, 460, 149, 468, 149, 479, 150, 472, 
115, 150, 453, 149, 453, 150, 461, 150, 468, 150, 480, 150, 471, 
120, 150, 453, 149, 453, 150, 459, 150, 468, 149, 478, 150, 471, 
125, 150, 453, 149, 453, 150, 460, 149, 468, 150, 477, 150, 471, 
130, 150, 452, 150, 452, 150, 457, 150, 468, 150, 477, 150, 471, 
135, 150, 453, 150, 451, 150, 460, 149, 467, 150, 477, 149, 470, 
140, 150, 452, 150, 451, 150, 458, 150, 467, 150, 476, 150, 471, 
145, 150, 453, 150, 450, 150, 457, 149, 467, 150, 476, 149, 471, 
150, 149, 452, 150, 450, 150, 455, 150, 467, 150, 476, 150, 471, 
155, 150, 453, 150, 450, 150, 457, 150, 468, 150, 476, 150, 472, 
160, 150, 453, 149, 448, 150, 457, 149, 467, 150, 477, 150, 472, 
165, 150, 452, 150, 449, 149, 455, 150, 467, 149, 476, 150, 473, 
170, 150, 452, 149, 448, 150, 456, 149, 467, 150, 476, 150, 474, 
175, 150, 452, 150, 450, 149, 454, 150, 468, 150, 477, 150, 473, 
180, 150, 452, 149, 449, 150, 458, 149, 467, 150, 477, 150, 474, 
185, 150, 451, 150, 449, 150, 456, 150, 467, 149, 477, 150, 474, 
190, 149, 452, 150, 450, 150, 456, 150, 468, 150, 478, 150, 474, 
195, 150, 451, 150, 449, 150, 457, 150, 467, 150, 478, 150, 475, 
200, 149, 452, 150, 449, 150, 457, 149, 467, 149, 478, 150, 476, 
205, 150, 452, 150, 450, 150, 455, 150, 468, 149, 478, 150, 476, 
210, 150, 451, 150, 450, 150, 455, 149, 467, 149, 479, 150, 476, 
215, 150, 451, 150, 450, 150, 454, 149, 467, 149, 479, 150, 477, 
220, 150, 451, 149, 449, 149, 454, 150, 467, 150, 480, 150, 477, 
225, 150, 451, 150, 450, 150, 454, 149, 467, 150, 479, 150, 477, 
230, 150, 452, 150, 451, 150, 456, 150, 467, 149, 480, 150, 476, 
235, 150, 453, 150, 451, 149, 456, 150, 467, 149, 481, 150, 477, 
240, 150, 452, 150, 451, 149, 454, 149, 467, 150, 481, 150, 477, 
245, 150, 454, 149, 452, 150, 457, 149, 466, 149, 481, 150, 477, 
250, 150, 452, 150, 452, 150, 454, 149, 466, 149, 482, 150, 477, 
255, 149, 453, 149, 452, 150, 455, 149, 465, 149, 482, 150, 477, 
260, 150, 452, 149, 451, 150, 455, 150, 464, 150, 481, 150, 477, 
265, 149, 453, 150, 452, 149, 454, 149, 463, 149, 482, 150, 477, 
270, 150, 450, 150, 452, 150, 454, 149, 463, 150, 482, 150, 476, 
275, 150, 450, 150, 451, 150, 453, 150, 462, 149, 483, 150, 476, 
280, 150, 448, 150, 452, 149, 451, 149, 461, 149, 484, 150, 476, 
285, 150, 448, 150, 451, 150, 453, 150, 460, 150, 483, 150, 475, 
290, 150, 447, 150, 451, 150, 453, 150, 459, 150, 483, 150, 475, 
295, 150, 447, 150, 450, 150, 453, 150, 457, 150, 484, 149, 474, 
300, 149, 447, 150, 450, 149, 453, 149, 457, 150, 483, 149, 473, 
305, 150, 446, 150, 450, 150, 452, 149, 455, 150, 484, 150, 474, 
310, 150, 446, 150, 450, 150, 452, 149, 454, 150, 484, 150, 474, 
315, 150, 445, 149, 450, 150, 451, 149, 454, 149, 484, 150, 473, 
320, 150, 445, 150, 449, 149, 448, 149, 453, 149, 483, 150, 474, 
325, 150, 448, 150, 448, 149, 447, 149, 442, 149, 237, 149, 2, 
330, 150, 449, 150, 447, 150, 447, 150, 444, 150, 239, 150, 1, 
