t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 501, 150, 485, 150, 492, 150, 489, 150, 502, 150, 511, 
10, 150, 507, 150, 492, 150, 498, 149, 496, 149, 508, 150, 519, 
15, 150, 511, 150, 496, 149, 502, 149, 500, 149, 512, 150, 522, 
20, 150, 513, 150, 499, 150, 504, 149, 502, 149, 515, 150, 526, 
25, 150, 515, 150, 500, 149, 506, 150, 504, 150, 517, 149, 528, 
30, 150, 516, 149, 501, 150, 506, 149, 505, 149, 516, 150, 529, 
35, 150, 514, 149, 501, 150, 505, 150, 504, 150, 516, 150, 528, 
40, 150, 514, 150, 502, 148, 501, 149, 503, 150, 517, 150, 529, 
45, 149, 514, 150, 500, 150, 506, 150, 504, 150, 517, 149, 530, 
50, 150, 514, 149, 500, 150, 506, 149, 504, 150, 519, 150, 530, 
55, 150, 514, 150, 500, 150, 505, 150, 503, 150, 519, 150, 530, 
60, 149, 512, 150, 500, 149, 504, 149, 503, 150, 518, 149, 529, 
65, 150, 512, 150, 500, 150, 503, 149, 500, 150, 517, 150, 529, 
70, 150, 510, 149, 499, 150, 502, 149, 501, 149, 514, 150, 527, 
75, 150, 511, 150, 499, 149, 502, 150, 500, 150, 513, 150, 525, 
80, 150, 509, 150, 498, 150, 501, 150, 499, 149, 512, 150, 524, 
85, 149, 507, 150, 497, 149, 500, 149, 497, 150, 511, 149, 522, 
90, 150, 506, 150, 496, 150, 500, 149, 496, 149, 510, 150, 521, 
95, 150, 504, 150, 496, 150, 499, 149, 495, 150, 510, 149, 519, 
100, 150, 503, 150, 496, 149, 498, 150, 495, 149, 510, 150, 519, 
105, 150, 502, 150, 495, 150, 497, 149, 495, 150, 509, 149, 518, 
110, 150, 501, 149, 495, 150, 497, 149, 495, 150, 509, 149, 517, 
115, 150, 502, 150, 495, 149, 495, 149, 494, 149, 509, 150, 517, 
120, 149, 501, 149, 494, 150, 497, 149, 494, 150, 510, 149, 517, 
125, 150, 501, 150, 494, 149, 497, 150, 494, 150, 509, 150, 517, 
130, 150, 501, 149, 494, 150, 497, 149, 493, 150, 510, 150, 517, 
135, 150, 501, 150, 494, 150, 497, 149, 493, 150, 510, 150, 517, 
140, 150, 500, 150, 495, 149, 497, 150, 494, 150, 510, 150, 516, 
145, 150, 500, 150, 495, 150, 497, 150, 494, 150, 509, 150, 518, 
150, 149, 500, 150, 495, 149, 496, 150, 494, 149, 508, 149, 517, 
155, 150, 500, 150, 495, 150, 496, 150, 494, 150, 508, 150, 518, 
160, 150, 500, 150, 495, 149, 496, 149, 493, 150, 507, 150, 518, 
165, 149, 500, 150, 496, 150, 497, 150, 493, 150, 508, 149, 517, 
170, 150, 500, 150, 496, 150, 496, 150, 493, 149, 507, 150, 517, 
175, 149, 499, 150, 496, 150, 497, 150, 493, 150, 508, 150, 518, 
180, 150, 500, 150, 495, 149, 495, 149, 492, 150, 507, 150, 518, 
185, 150, 500, 150, 495, 149, 496, 149, 493, 150, 506, 150, 519, 
190, 150, 499, 150, 495, 150, 495, 150, 493, 150, 506, 150, 518, 
195, 150, 499, 150, 496, 150, 496, 150, 493, 150, 505, 150, 517, 
200, 150, 499, 150, 495, 150, 495, 150, 493, 150, 504, 149, 516, 
205, 149, 499, 150, 495, 149, 494, 149, 492, 149, 503, 150, 517, 
210, 150, 498, 150, 496, 150, 495, 150, 493, 150, 503, 149, 517, 
215, 150, 498, 150, 495, 150, 493, 150, 492, 149, 501, 150, 517, 
220, 150, 497, 149, 494, 150, 493, 150, 491, 150, 500, 149, 515, 
225, 149, 497, 150, 494, 149, 492, 149, 490, 149, 499, 150, 516, 
230, 149, 496, 150, 493, 150, 491, 150, 490, 150, 499, 150, 515, 
235, 150, 496, 150, 493, 150, 492, 150, 489, 150, 497, 150, 515, 
240, 150, 495, 150, 494, 149, 490, 150, 489, 150, 496, 150, 513, 
245, 150, 493, 150, 492, 150, 490, 150, 489, 150, 495, 150, 513, 
250, 149, 492, 150, 492, 149, 489, 150, 488, 150, 494, 150, 511, 
255, 150, 491, 150, 491, 150, 489, 150, 488, 150, 493, 150, 511, 
260, 150, 489, 150, 490, 149, 489, 150, 486, 150, 492, 150, 510, 
265, 150, 488, 150, 488, 150, 487, 150, 486, 150, 490, 150, 508, 
270, 150, 486, 150, 488, 149, 486, 150, 485, 150, 488, 150, 508, 
275, 150, 484, 150, 487, 150, 485, 150, 485, 150, 487, 150, 507, 
280, 149, 483, 150, 486, 150, 484, 150, 485, 150, 486, 149, 505, 
285, 150, 482, 149, 484, 149, 481, 150, 484, 150, 485, 150, 502, 
290, 150, 480, 150, 483, 149, 479, 150, 483, 150, 484, 150, 501, 
295, 149, 480, 150, 483, 150, 479, 149, 481, 150, 483, 150, 498, 
300, 150, 478, 150, 481, 149, 477, 150, 482, 149, 482, 150, 496, 
305, 150, 477, 150, 480, 149, 476, 150, 481, 149, 481, 150, 493, 
310, 150, 476, 150, 481, 150, 475, 149, 479, 150, 480, 150, 490, 
315, 150, 474, 150, 480, 150, 476, 150, 480, 149, 478, 150, 489, 
320, 150, 472, 150, 482, 150, 473, 150, 477, 150, 476, 150, 485, 
325, 149, 470, 150, 481, 149, 470, 149, 476, 149, 475, 150, 484, 
330, 150, 469, 150, 480, 150, 469, 149, 476, 150, 474, 150, 482, 
