t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 459, 150, 455, 150, 464, 149, 460, 150, 465, 150, 460, 
10, 150, 461, 150, 459, 149, 466, 149, 466, 150, 470, 150, 466, 
15, 150, 463, 150, 462, 150, 471, 150, 470, 150, 475, 150, 470, 
20, 150, 465, 150, 463, 150, 471, 150, 472, 149, 478, 150, 472, 
25, 150, 467, 149, 464, 149, 473, 150, 473, 150, 479, 150, 474, 
30, 149, 466, 150, 465, 150, 476, 149, 475, 149, 479, 149, 476, 
35, 150, 468, 150, 467, 150, 475, 149, 476, 149, 482, 150, 477, 
40, 150, 468, 150, 467, 150, 476, 150, 476, 150, 483, 150, 478, 
45, 150, 469, 150, 468, 150, 479, 150, 477, 149, 482, 149, 478, 
50, 150, 466, 150, 467, 150, 477, 149, 476, 150, 482, 150, 479, 
55, 150, 463, 150, 466, 150, 477, 149, 476, 150, 483, 150, 480, 
60, 150, 461, 150, 465, 149, 475, 149, 473, 149, 483, 150, 478, 
65, 150, 458, 150, 462, 150, 477, 149, 470, 150, 483, 150, 477, 
70, 149, 455, 150, 461, 150, 473, 149, 467, 150, 482, 150, 475, 
75, 150, 453, 150, 460, 150, 471, 150, 465, 149, 481, 150, 473, 
80, 150, 451, 150, 459, 150, 466, 150, 462, 150, 481, 150, 471, 
85, 150, 449, 149, 457, 149, 466, 150, 459, 149, 480, 150, 469, 
90, 150, 448, 150, 456, 150, 465, 150, 457, 150, 479, 150, 468, 
95, 150, 447, 149, 453, 150, 460, 149, 455, 149, 478, 150, 466, 
100, 150, 448, 149, 452, 150, 462, 149, 453, 150, 477, 150, 465, 
105, 150, 446, 150, 452, 150, 459, 150, 452, 150, 475, 150, 463, 
110, 149, 447, 151, 457, 150, 457, 149, 452, 149, 474, 150, 462, 
115, 150, 445, 150, 451, 150, 455, 149, 451, 150, 473, 150, 463, 
120, 150, 448, 150, 449, 149, 454, 150, 451, 149, 471, 149, 461, 
125, 150, 445, 150, 449, 150, 456, 149, 450, 149, 470, 150, 461, 
130, 150, 446, 149, 449, 150, 455, 149, 450, 150, 469, 150, 460, 
135, 150, 446, 150, 448, 150, 453, 150, 450, 150, 469, 150, 459, 
140, 150, 446, 149, 447, 150, 454, 150, 450, 150, 468, 150, 460, 
145, 150, 446, 150, 449, 150, 452, 149, 449, 149, 469, 150, 459, 
150, 150, 447, 150, 449, 150, 452, 150, 449, 150, 468, 150, 459, 
155, 149, 446, 150, 449, 150, 452, 149, 450, 149, 467, 150, 458, 
160, 150, 447, 150, 448, 150, 451, 150, 450, 149, 467, 150, 460, 
165, 150, 449, 150, 449, 150, 453, 150, 450, 150, 466, 150, 459, 
170, 150, 449, 150, 449, 150, 451, 149, 450, 150, 466, 150, 458, 
175, 150, 450, 150, 449, 149, 451, 150, 449, 149, 464, 150, 458, 
180, 150, 450, 150, 449, 150, 450, 149, 449, 149, 464, 150, 459, 
185, 150, 453, 149, 449, 150, 451, 150, 449, 150, 464, 150, 459, 
190, 150, 452, 149, 449, 150, 451, 149, 449, 149, 465, 150, 457, 
195, 150, 453, 149, 450, 150, 449, 150, 449, 150, 465, 150, 458, 
200, 150, 452, 150, 451, 150, 450, 150, 449, 150, 464, 150, 458, 
205, 150, 455, 150, 451, 150, 452, 150, 449, 150, 463, 150, 458, 
210, 150, 454, 150, 451, 150, 450, 149, 448, 149, 463, 150, 458, 
215, 150, 455, 150, 452, 149, 448, 149, 448, 149, 463, 149, 456, 
220, 150, 454, 150, 452, 149, 448, 149, 447, 149, 463, 150, 456, 
225, 150, 454, 150, 452, 150, 451, 150, 448, 149, 463, 150, 456, 
230, 150, 454, 150, 453, 150, 451, 149, 446, 149, 463, 150, 456, 
235, 150, 454, 150, 453, 150, 450, 149, 445, 150, 463, 150, 456, 
240, 149, 454, 150, 453, 150, 451, 149, 444, 149, 463, 150, 456, 
245, 149, 454, 150, 453, 150, 451, 149, 444, 149, 462, 150, 454, 
250, 150, 457, 149, 454, 150, 450, 150, 443, 150, 462, 150, 453, 
255, 150, 456, 150, 454, 149, 451, 149, 443, 150, 462, 150, 453, 
260, 150, 456, 150, 455, 150, 452, 149, 442, 150, 464, 150, 453, 
265, 150, 456, 150, 455, 150, 450, 149, 441, 150, 463, 150, 451, 
270, 149, 456, 150, 456, 149, 449, 150, 440, 149, 463, 150, 452, 
275, 150, 0, 149, 1, 150, 5, 150, 5, 150, 1, 150, -1, 
280, 149, 0, 149, 1, 150, 5, 150, 6, 150, 2, 150, 0, 
285, 149, 0, 149, 1, 149, 5, 149, 6, 150, 2, 150, -1, 
290, 150, 0, 150, 1, 150, 3, 149, 3, 150, 1, 150, -2, 
295, 149, 0, 149, 0, 150, 3, 149, 3, 150, 2, 150, -1, 
300, 149, 0, 150, 0, 150, 3, 149, 3, 149, 2, 150, -2, 
305, 149, 0, 150, 1, 150, 4, 150, 3, 150, 1, 150, -2, 
310, 150, 31, 149, 199, 148, 382, 149, 221, 150, 370, 150, 406, 
315, 150, 433, 150, 421, 150, 425, 149, 395, 150, 405, 150, 420, 
320, 150, 439, 150, 426, 150, 429, 149, 397, 150, 410, 150, 419, 
325, 150, 440, 149, 431, 150, 434, 150, 402, 150, 418, 150, 421, 
330, 150, 444, 150, 438, 150, 439, 149, 406, 150, 424, 150, 423, 
