t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 488, 150, 497, 149, 498, 149, 505, 150, 495, 150, 510, 
10, 150, 492, 149, 503, 150, 509, 149, 513, 149, 506, 150, 519, 
15, 150, 497, 150, 508, 150, 515, 150, 519, 150, 513, 150, 528, 
20, 150, 501, 149, 511, 149, 516, 150, 523, 149, 516, 149, 532, 
25, 150, 502, 150, 513, 150, 521, 150, 526, 150, 519, 150, 535, 
30, 150, 502, 150, 515, 149, 521, 149, 526, 150, 523, 149, 535, 
35, 150, 503, 150, 517, 150, 524, 150, 530, 149, 526, 150, 541, 
40, 150, 499, 150, 516, 150, 523, 149, 529, 150, 521, 149, 540, 
45, 150, 500, 149, 516, 150, 524, 150, 529, 149, 520, 150, 539, 
50, 149, 498, 149, 516, 150, 523, 150, 527, 150, 519, 150, 539, 
55, 149, 499, 150, 515, 149, 524, 149, 524, 150, 517, 150, 541, 
60, 150, 495, 150, 515, 150, 521, 149, 521, 149, 514, 150, 539, 
65, 150, 497, 149, 515, 150, 520, 150, 518, 150, 511, 150, 539, 
70, 150, 493, 150, 514, 150, 518, 149, 515, 149, 507, 150, 536, 
75, 150, 491, 150, 513, 150, 514, 150, 512, 150, 506, 150, 535, 
80, 150, 491, 149, 513, 151, 517, 150, 511, 150, 507, 150, 532, 
85, 150, 491, 149, 512, 149, 508, 149, 507, 149, 505, 150, 533, 
90, 150, 488, 150, 512, 151, 513, 150, 507, 149, 504, 150, 529, 
95, 150, 487, 150, 511, 150, 506, 149, 505, 149, 503, 150, 527, 
100, 150, 487, 150, 510, 150, 508, 150, 505, 150, 502, 150, 529, 
105, 150, 488, 150, 511, 150, 505, 149, 504, 150, 502, 150, 529, 
110, 149, 485, 149, 509, 150, 505, 150, 503, 150, 501, 150, 527, 
115, 150, 485, 150, 509, 150, 505, 149, 503, 150, 502, 150, 526, 
120, 150, 486, 149, 509, 150, 504, 149, 502, 150, 502, 150, 527, 
125, 150, 484, 150, 509, 150, 504, 150, 502, 150, 502, 150, 526, 
130, 150, 483, 150, 509, 150, 504, 149, 503, 150, 503, 150, 524, 
135, 150, 484, 150, 509, 150, 505, 149, 503, 150, 502, 150, 524, 
140, 150, 482, 150, 510, 150, 506, 150, 503, 149, 502, 150, 524, 
145, 150, 485, 150, 511, 150, 507, 149, 503, 149, 502, 150, 527, 
150, 150, 483, 150, 511, 150, 506, 150, 504, 150, 503, 149, 525, 
155, 150, 485, 149, 511, 150, 508, 150, 504, 149, 502, 150, 525, 
160, 150, 484, 150, 512, 150, 509, 149, 505, 149, 503, 150, 523, 
165, 150, 482, 150, 512, 150, 512, 149, 505, 150, 503, 150, 526, 
170, 149, 484, 149, 511, 150, 515, 150, 505, 150, 505, 150, 528, 
175, 150, 482, 150, 513, 150, 511, 149, 506, 149, 503, 150, 525, 
180, 150, 484, 150, 514, 150, 513, 149, 508, 150, 503, 150, 523, 
185, 150, 484, 149, 513, 150, 513, 150, 507, 149, 504, 149, 525, 
190, 150, 484, 150, 514, 150, 517, 150, 508, 149, 504, 150, 526, 
195, 149, 483, 150, 514, 150, 518, 149, 508, 149, 504, 150, 525, 
200, 150, 484, 149, 515, 150, 516, 150, 509, 149, 504, 150, 524, 
205, 150, 483, 150, 514, 150, 519, 150, 508, 149, 505, 150, 526, 
210, 150, 484, 150, 515, 150, 517, 150, 509, 150, 504, 149, 525, 
215, 150, 486, 149, 516, 149, 516, 149, 506, 150, 505, 149, 526, 
220, 150, 492, 150, 521, 149, 522, 149, 511, 149, 507, 150, 527, 
225, 150, 495, 150, 523, 150, 525, 149, 512, 150, 508, 150, 528, 
230, 150, 495, 150, 525, 150, 524, 150, 513, 150, 508, 150, 528, 
235, 150, 494, 150, 525, 150, 525, 149, 513, 150, 510, 150, 528, 
240, 150, 494, 150, 526, 150, 527, 150, 515, 150, 508, 150, 528, 
245, 150, 495, 150, 527, 149, 525, 149, 515, 149, 508, 150, 528, 
250, 150, 496, 150, 527, 150, 527, 149, 514, 150, 509, 150, 528, 
255, 150, 496, 150, 528, 150, 526, 149, 516, 149, 507, 150, 527, 
260, 150, 496, 150, 528, 150, 525, 149, 515, 150, 507, 149, 526, 
265, 150, 499, 150, 529, 150, 524, 150, 514, 150, 505, 150, 525, 
270, 150, 497, 149, 529, 150, 527, 150, 513, 149, 502, 150, 525, 
275, 150, 501, 150, 529, 150, 524, 150, 515, 149, 503, 150, 525, 
280, 150, 499, 149, 529, 150, 526, 149, 513, 150, 502, 149, 524, 
285, 149, 499, 150, 530, 150, 524, 149, 512, 149, 500, 150, 523, 
290, 150, 499, 150, 530, 150, 523, 150, 511, 149, 499, 150, 522, 
295, 150, 499, 150, 530, 150, 522, 149, 509, 150, 497, 150, 521, 
300, 150, 500, 150, 529, 150, 522, 149, 509, 150, 497, 150, 519, 
305, 150, 501, 150, 529, 150, 521, 149, 507, 150, 495, 150, 519, 
310, 150, 502, 150, 529, 150, 520, 149, 507, 150, 494, 150, 518, 
315, 150, 501, 150, 529, 149, 520, 150, 505, 150, 493, 150, 517, 
320, 150, 499, 150, 527, 150, 518, 150, 504, 150, 490, 149, 515, 
325, 150, 499, 150, 529, 150, 518, 150, 504, 150, 489, 149, 514, 
330, 150, 500, 150, 527, 149, 517, 149, 499, 150, 487, 150, 513, 
