t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 473, 149, 459, 150, 468, 150, 474, 150, 470, 150, 466, 
10, 150, 475, 150, 462, 150, 472, 149, 479, 150, 476, 150, 472, 
15, 150, 479, 150, 464, 150, 476, 149, 482, 150, 480, 150, 476, 
20, 149, 480, 150, 465, 150, 479, 150, 484, 149, 483, 150, 479, 
25, 150, 481, 149, 466, 149, 479, 150, 486, 150, 486, 150, 479, 
30, 150, 482, 149, 467, 150, 480, 150, 486, 150, 488, 150, 481, 
35, 150, 484, 150, 467, 150, 480, 150, 486, 150, 487, 149, 479, 
40, 150, 481, 150, 464, 150, 477, 149, 483, 149, 483, 150, 478, 
45, 150, 481, 150, 464, 150, 475, 149, 481, 149, 484, 149, 477, 
50, 150, 480, 150, 463, 149, 475, 149, 478, 149, 485, 150, 479, 
55, 149, 478, 150, 462, 149, 473, 149, 475, 150, 486, 150, 479, 
60, 150, 478, 149, 462, 150, 473, 150, 474, 150, 486, 150, 480, 
65, 150, 477, 150, 461, 150, 471, 149, 472, 150, 486, 150, 478, 
70, 150, 475, 150, 460, 150, 469, 150, 470, 150, 488, 150, 478, 
75, 150, 475, 150, 458, 150, 468, 149, 469, 149, 488, 150, 478, 
80, 150, 474, 150, 458, 150, 467, 149, 468, 150, 487, 149, 477, 
85, 150, 473, 150, 456, 150, 465, 149, 467, 150, 486, 149, 476, 
90, 149, 473, 150, 456, 150, 463, 150, 467, 150, 485, 150, 476, 
95, 150, 470, 150, 456, 150, 463, 149, 467, 149, 484, 150, 474, 
100, 150, 469, 150, 453, 150, 463, 149, 466, 150, 482, 150, 475, 
105, 150, 470, 150, 452, 150, 462, 150, 466, 149, 481, 150, 473, 
110, 150, 468, 150, 452, 149, 460, 150, 466, 150, 480, 150, 472, 
115, 150, 467, 150, 451, 150, 462, 149, 466, 150, 480, 150, 471, 
120, 150, 469, 150, 451, 150, 458, 150, 466, 149, 479, 149, 472, 
125, 150, 467, 150, 450, 150, 460, 149, 465, 150, 479, 150, 471, 
130, 150, 464, 150, 449, 150, 459, 149, 466, 149, 477, 150, 471, 
135, 150, 466, 150, 450, 150, 459, 150, 466, 150, 479, 149, 469, 
140, 150, 463, 150, 449, 149, 459, 150, 467, 149, 478, 150, 470, 
145, 149, 465, 150, 449, 150, 459, 149, 467, 150, 477, 150, 470, 
150, 150, 464, 149, 449, 150, 458, 149, 468, 149, 477, 150, 470, 
155, 149, 462, 149, 448, 150, 459, 149, 468, 150, 478, 150, 470, 
160, 150, 464, 150, 450, 149, 461, 150, 469, 150, 479, 150, 468, 
165, 150, 462, 150, 449, 149, 458, 149, 470, 149, 477, 150, 470, 
170, 149, 461, 150, 449, 151, 465, 150, 470, 150, 478, 150, 468, 
175, 150, 462, 149, 451, 150, 459, 149, 471, 149, 478, 150, 469, 
180, 150, 461, 150, 450, 150, 461, 149, 471, 150, 478, 149, 467, 
185, 149, 461, 150, 450, 149, 464, 150, 473, 149, 478, 150, 467, 
190, 150, 462, 149, 451, 150, 462, 149, 473, 149, 478, 150, 468, 
195, 150, 463, 150, 451, 150, 462, 150, 474, 150, 478, 150, 469, 
200, 150, 462, 149, 451, 149, 464, 150, 475, 149, 478, 150, 466, 
205, 150, 464, 150, 451, 150, 463, 150, 475, 149, 479, 150, 467, 
210, 150, 465, 149, 451, 150, 467, 149, 476, 150, 478, 150, 467, 
215, 150, 464, 150, 452, 150, 464, 149, 476, 150, 479, 150, 466, 
220, 150, 465, 150, 451, 150, 468, 150, 477, 150, 479, 150, 465, 
225, 150, 466, 150, 452, 149, 470, 150, 478, 149, 478, 149, 467, 
230, 150, 466, 149, 452, 149, 467, 149, 478, 150, 479, 150, 464, 
235, 150, 466, 150, 453, 150, 467, 149, 478, 149, 477, 150, 465, 
240, 150, 465, 150, 453, 150, 468, 149, 478, 149, 478, 150, 465, 
245, 150, 466, 150, 453, 149, 469, 150, 479, 149, 478, 150, 465, 
250, 150, 468, 150, 453, 149, 469, 150, 479, 150, 477, 149, 466, 
255, 150, 467, 150, 453, 150, 472, 149, 480, 150, 478, 150, 463, 
260, 150, 467, 150, 453, 149, 470, 149, 480, 149, 477, 150, 464, 
265, 150, 468, 150, 454, 149, 471, 149, 480, 149, 475, 150, 465, 
270, 150, 468, 149, 452, 150, 471, 150, 480, 150, 475, 150, 465, 
275, 150, 467, 150, 454, 150, 470, 149, 479, 149, 474, 150, 464, 
280, 150, 468, 150, 454, 150, 473, 149, 479, 149, 473, 149, 464, 
285, 150, 469, 150, 454, 150, 472, 150, 478, 150, 473, 150, 462, 
290, 150, 468, 150, 454, 149, 473, 150, 478, 149, 472, 150, 462, 
295, 150, 466, 150, 454, 150, 471, 149, 476, 149, 470, 150, 462, 
300, 150, 470, 150, 454, 150, 471, 149, 476, 149, 469, 150, 461, 
305, 150, 470, 150, 454, 150, 472, 150, 474, 150, 469, 150, 460, 
310, 150, 469, 149, 453, 150, 471, 149, 474, 150, 467, 150, 459, 
315, 150, 472, 150, 453, 149, 472, 150, 472, 150, 466, 149, 458, 
320, 150, 470, 150, 453, 149, 474, 149, 471, 149, 465, 149, 457, 
325, 150, 470, 150, 452, 150, 471, 149, 470, 149, 464, 150, 456, 
330, 150, 472, 150, 452, 149, 473, 149, 468, 149, 463, 150, 456, 
