t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 449, 150, 458, 150, 451, 150, 458, 150, 453, 149, 475, 
10, 150, 454, 149, 462, 150, 460, 150, 463, 149, 455, 149, 479, 
15, 150, 454, 150, 466, 150, 462, 150, 468, 150, 457, 150, 481, 
20, 150, 455, 150, 468, 150, 461, 150, 468, 150, 460, 150, 481, 
25, 150, 457, 150, 469, 150, 464, 149, 469, 150, 463, 149, 481, 
30, 150, 459, 150, 471, 150, 464, 149, 472, 149, 459, 150, 480, 
35, 150, 449, 150, 466, 150, 461, 150, 468, 150, 462, 149, 480, 
40, 150, 449, 150, 465, 150, 460, 149, 467, 149, 461, 150, 478, 
45, 150, 449, 150, 464, 150, 460, 150, 466, 150, 456, 150, 479, 
50, 150, 447, 150, 464, 150, 462, 149, 466, 150, 460, 150, 479, 
55, 150, 448, 150, 463, 150, 463, 149, 466, 150, 460, 150, 480, 
60, 150, 445, 150, 462, 149, 457, 150, 464, 149, 462, 149, 479, 
65, 150, 445, 150, 462, 150, 458, 150, 462, 150, 459, 150, 480, 
70, 150, 445, 150, 460, 150, 455, 150, 461, 149, 460, 150, 479, 
75, 150, 443, 149, 460, 150, 455, 149, 459, 149, 457, 150, 478, 
80, 150, 441, 150, 459, 150, 452, 150, 459, 150, 460, 149, 476, 
85, 150, 442, 150, 458, 150, 452, 150, 459, 149, 459, 150, 478, 
90, 150, 441, 150, 457, 150, 452, 150, 458, 150, 459, 149, 475, 
95, 150, 443, 150, 456, 150, 453, 150, 459, 149, 456, 149, 474, 
100, 149, 441, 150, 455, 150, 448, 149, 457, 149, 458, 150, 473, 
105, 150, 441, 149, 454, 149, 450, 149, 457, 150, 455, 150, 472, 
110, 150, 439, 150, 454, 150, 447, 150, 455, 150, 457, 150, 471, 
115, 150, 439, 150, 453, 150, 447, 149, 455, 150, 455, 150, 471, 
120, 150, 438, 150, 452, 150, 447, 150, 455, 150, 453, 150, 470, 
125, 150, 439, 150, 451, 149, 446, 150, 455, 149, 452, 150, 471, 
130, 150, 438, 149, 451, 150, 445, 150, 454, 149, 453, 150, 470, 
135, 150, 438, 150, 450, 150, 445, 149, 454, 150, 452, 149, 469, 
140, 149, 437, 150, 450, 150, 444, 149, 453, 150, 451, 150, 469, 
145, 150, 439, 149, 449, 149, 446, 149, 455, 149, 451, 150, 469, 
150, 150, 438, 150, 450, 150, 444, 149, 453, 150, 451, 150, 469, 
155, 150, 438, 149, 449, 149, 445, 150, 455, 149, 449, 150, 469, 
160, 150, 436, 150, 449, 150, 445, 149, 456, 150, 449, 149, 469, 
165, 150, 437, 150, 449, 150, 445, 150, 456, 149, 450, 149, 470, 
170, 150, 438, 150, 449, 149, 444, 150, 456, 150, 450, 150, 471, 
175, 150, 438, 150, 450, 149, 446, 150, 455, 150, 450, 150, 470, 
180, 149, 436, 150, 449, 150, 446, 150, 456, 150, 451, 150, 471, 
185, 150, 436, 150, 449, 150, 447, 149, 456, 150, 450, 150, 471, 
190, 150, 436, 149, 449, 151, 452, 150, 456, 150, 452, 150, 472, 
195, 150, 437, 150, 449, 149, 446, 149, 455, 150, 453, 150, 472, 
200, 150, 437, 150, 450, 150, 447, 150, 456, 149, 454, 150, 473, 
205, 149, 436, 150, 449, 150, 450, 150, 455, 150, 453, 149, 473, 
210, 150, 437, 150, 450, 150, 448, 150, 456, 150, 451, 150, 474, 
215, 150, 436, 150, 449, 149, 450, 149, 454, 150, 451, 150, 474, 
220, 150, 438, 150, 449, 149, 452, 149, 456, 150, 456, 150, 474, 
225, 150, 436, 150, 449, 150, 450, 149, 454, 150, 455, 150, 475, 
230, 150, 436, 150, 449, 150, 450, 150, 454, 149, 455, 150, 475, 
235, 150, 436, 149, 447, 150, 451, 149, 453, 149, 457, 150, 476, 
240, 150, 436, 150, 449, 150, 450, 149, 452, 150, 459, 150, 476, 
245, 150, 436, 150, 449, 150, 452, 150, 451, 150, 458, 150, 477, 
250, 150, 435, 150, 448, 150, 449, 149, 448, 150, 459, 150, 477, 
255, 150, 436, 150, 448, 150, 451, 149, 449, 150, 458, 150, 477, 
260, 150, 436, 150, 448, 149, 451, 150, 448, 150, 461, 150, 478, 
265, 150, 441, 150, 446, 150, 462, 149, 451, 150, 463, 150, 479, 
270, 150, 441, 150, 445, 150, 461, 149, 449, 149, 462, 150, 479, 
275, 150, 440, 150, 444, 150, 463, 150, 448, 149, 462, 150, 478, 
280, 150, 440, 150, 444, 150, 462, 150, 448, 150, 462, 149, 478, 
285, 150, 440, 150, 445, 150, 461, 149, 447, 150, 462, 150, 479, 
290, 150, 439, 150, 444, 150, 462, 149, 445, 150, 464, 149, 479, 
295, 150, 439, 150, 444, 150, 462, 150, 445, 149, 463, 150, 479, 
300, 150, 439, 150, 445, 150, 462, 150, 444, 150, 465, 150, 479, 
305, 150, 439, 150, 445, 150, 462, 150, 444, 150, 466, 150, 480, 
310, 150, 439, 150, 446, 150, 462, 149, 443, 149, 465, 150, 480, 
315, 150, 439, 150, 445, 150, 462, 150, 442, 149, 466, 150, 480, 
320, 150, 439, 149, 446, 150, 463, 149, 441, 150, 467, 150, 480, 
325, 150, 439, 150, 446, 150, 462, 150, 441, 150, 468, 150, 479, 
330, 150, 438, 149, 445, 150, 462, 149, 439, 149, 468, 150, 478, 
