t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 438, 150, 436, 150, 447, 150, 440, 149, 442, 149, 450, 
10, 150, 441, 150, 439, 150, 452, 149, 444, 150, 448, 149, 455, 
15, 150, 443, 150, 441, 150, 453, 149, 447, 150, 451, 149, 459, 
20, 150, 443, 150, 442, 150, 456, 150, 448, 150, 452, 150, 461, 
25, 150, 443, 150, 443, 150, 456, 150, 450, 150, 454, 150, 462, 
30, 150, 443, 150, 444, 150, 458, 149, 451, 150, 454, 149, 464, 
35, 150, 443, 150, 444, 150, 459, 150, 452, 149, 457, 150, 464, 
40, 150, 440, 149, 443, 150, 457, 149, 451, 150, 456, 150, 464, 
45, 150, 440, 150, 442, 150, 459, 150, 452, 150, 456, 149, 464, 
50, 150, 437, 150, 440, 150, 456, 150, 451, 149, 454, 149, 463, 
55, 150, 436, 149, 438, 150, 454, 150, 447, 150, 454, 150, 461, 
60, 150, 433, 150, 437, 149, 453, 150, 445, 150, 452, 150, 462, 
65, 150, 432, 150, 435, 150, 450, 149, 441, 149, 451, 150, 460, 
70, 150, 428, 150, 434, 150, 449, 150, 439, 150, 451, 150, 459, 
75, 150, 427, 150, 432, 150, 446, 150, 436, 150, 451, 149, 458, 
80, 150, 424, 150, 430, 150, 443, 149, 433, 149, 450, 149, 457, 
85, 149, 422, 150, 429, 150, 443, 150, 433, 150, 448, 150, 455, 
90, 150, 421, 150, 427, 150, 441, 150, 431, 150, 446, 150, 454, 
95, 149, 421, 150, 426, 149, 438, 150, 430, 150, 446, 150, 453, 
100, 150, 420, 150, 424, 150, 438, 149, 429, 150, 444, 149, 451, 
105, 149, 419, 150, 423, 150, 437, 149, 429, 149, 443, 150, 450, 
110, 150, 419, 149, 422, 149, 437, 149, 429, 150, 443, 149, 449, 
115, 149, 419, 149, 419, 150, 437, 150, 430, 150, 441, 150, 448, 
120, 150, 418, 150, 421, 150, 437, 150, 429, 150, 440, 150, 448, 
125, 150, 419, 150, 421, 150, 436, 150, 429, 150, 440, 149, 448, 
130, 150, 419, 150, 420, 150, 436, 149, 429, 149, 439, 150, 447, 
135, 150, 419, 150, 421, 150, 436, 150, 430, 149, 438, 149, 447, 
140, 150, 420, 150, 420, 150, 437, 149, 431, 150, 437, 150, 445, 
145, 150, 420, 150, 421, 150, 437, 149, 430, 150, 438, 150, 445, 
150, 150, 421, 150, 421, 150, 438, 150, 431, 150, 437, 149, 446, 
155, 150, 422, 150, 422, 150, 438, 149, 431, 150, 437, 150, 444, 
160, 150, 423, 150, 422, 150, 439, 150, 432, 149, 437, 150, 445, 
165, 150, 424, 150, 422, 150, 440, 150, 433, 149, 437, 150, 444, 
170, 150, 425, 150, 423, 149, 440, 149, 434, 149, 437, 149, 445, 
175, 149, 425, 149, 424, 150, 441, 149, 434, 149, 438, 149, 444, 
180, 150, 427, 149, 425, 150, 442, 150, 434, 149, 437, 150, 446, 
185, 150, 428, 150, 426, 150, 442, 149, 435, 150, 438, 149, 445, 
190, 150, 429, 150, 427, 150, 443, 149, 435, 150, 439, 150, 445, 
195, 150, 429, 150, 427, 149, 443, 149, 435, 149, 439, 149, 445, 
200, 150, 431, 150, 427, 150, 445, 149, 437, 150, 439, 149, 447, 
205, 150, 432, 149, 429, 150, 446, 150, 437, 150, 440, 150, 447, 
210, 150, 433, 149, 430, 150, 447, 150, 437, 150, 439, 150, 447, 
215, 150, 434, 150, 431, 150, 448, 150, 438, 150, 441, 150, 448, 
220, 150, 435, 150, 431, 149, 449, 149, 438, 149, 441, 150, 448, 
225, 150, 436, 150, 432, 150, 449, 149, 438, 149, 442, 150, 448, 
230, 150, 437, 150, 433, 150, 450, 149, 439, 150, 441, 150, 449, 
235, 149, 438, 150, 434, 150, 451, 149, 438, 149, 442, 150, 449, 
240, 150, 439, 150, 434, 150, 452, 150, 439, 150, 441, 150, 450, 
245, 150, 440, 150, 436, 149, 451, 149, 440, 150, 442, 149, 451, 
250, 150, 441, 150, 434, 150, 453, 150, 439, 149, 441, 149, 450, 
255, 150, 442, 149, 434, 150, 454, 150, 440, 150, 442, 149, 451, 
260, 150, 443, 150, 437, 150, 455, 149, 440, 150, 441, 150, 451, 
265, 150, 444, 150, 436, 150, 455, 149, 440, 149, 441, 150, 454, 
270, 150, 445, 150, 436, 150, 456, 150, 440, 150, 441, 149, 452, 
275, 150, 446, 149, 438, 149, 456, 150, 439, 150, 442, 150, 452, 
280, 150, 447, 150, 438, 149, 457, 150, 440, 149, 441, 149, 453, 
285, 150, 448, 149, 437, 150, 456, 149, 440, 150, 441, 150, 453, 
290, 150, 448, 150, 439, 150, 457, 149, 439, 149, 442, 149, 452, 
295, 150, 448, 150, 438, 150, 457, 150, 439, 150, 440, 149, 453, 
300, 150, 448, 150, 437, 150, 458, 150, 438, 150, 440, 150, 453, 
305, 150, 449, 150, 439, 149, 457, 149, 437, 149, 438, 150, 453, 
310, 150, 450, 150, 438, 150, 458, 150, 437, 149, 438, 150, 453, 
315, 150, 450, 150, 439, 150, 458, 150, 437, 150, 438, 150, 453, 
320, 150, 451, 150, 440, 150, 458, 150, 436, 149, 437, 150, 453, 
325, 150, 451, 150, 438, 150, 459, 150, 436, 149, 436, 150, 453, 
330, 149, 450, 150, 440, 150, 458, 150, 435, 150, 435, 150, 454, 
