t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 441, 150, 448, 150, 441, 149, 450, 150, 442, 150, 456, 
10, 150, 444, 150, 452, 150, 450, 149, 456, 149, 448, 150, 461, 
15, 150, 446, 150, 455, 150, 450, 149, 459, 149, 452, 150, 466, 
20, 150, 446, 150, 458, 150, 454, 150, 462, 150, 455, 150, 467, 
25, 150, 447, 149, 458, 150, 454, 149, 461, 150, 457, 150, 469, 
30, 150, 447, 150, 460, 150, 458, 150, 465, 150, 457, 150, 471, 
35, 150, 448, 150, 459, 150, 457, 150, 466, 150, 458, 150, 471, 
40, 150, 448, 150, 461, 149, 457, 149, 467, 150, 458, 150, 473, 
45, 150, 449, 150, 460, 150, 461, 150, 467, 150, 459, 150, 474, 
50, 150, 448, 150, 462, 150, 458, 149, 465, 150, 460, 149, 475, 
55, 150, 449, 150, 462, 149, 460, 149, 465, 150, 462, 150, 475, 
60, 150, 443, 150, 456, 150, 452, 149, 460, 149, 457, 150, 470, 
65, 150, 443, 150, 454, 150, 452, 150, 458, 149, 454, 150, 469, 
70, 150, 439, 149, 450, 150, 446, 150, 450, 150, 448, 150, 462, 
75, 150, 439, 150, 449, 150, 448, 150, 450, 150, 448, 150, 461, 
80, 150, 438, 150, 450, 149, 444, 150, 448, 150, 449, 150, 459, 
85, 150, 439, 150, 451, 150, 447, 150, 450, 150, 450, 150, 460, 
90, 150, 440, 150, 453, 150, 448, 150, 448, 149, 450, 150, 461, 
95, 150, 440, 150, 453, 150, 451, 150, 452, 150, 451, 150, 462, 
100, 150, 440, 150, 452, 150, 448, 150, 451, 149, 448, 150, 462, 
105, 150, 440, 150, 452, 150, 448, 150, 452, 150, 449, 150, 462, 
110, 150, 441, 150, 453, 150, 445, 150, 451, 150, 447, 150, 461, 
115, 150, 440, 149, 450, 150, 447, 149, 451, 150, 447, 150, 461, 
120, 150, 441, 150, 450, 150, 446, 149, 449, 149, 446, 150, 460, 
125, 150, 439, 149, 449, 149, 444, 150, 450, 150, 445, 150, 461, 
130, 150, 438, 150, 449, 150, 442, 150, 449, 149, 444, 150, 461, 
135, 150, 438, 149, 447, 150, 445, 150, 449, 150, 444, 150, 461, 
140, 150, 437, 150, 447, 150, 443, 149, 447, 150, 442, 150, 460, 
145, 150, 436, 150, 448, 150, 444, 149, 446, 150, 443, 150, 460, 
150, 150, 436, 150, 445, 150, 440, 149, 447, 150, 442, 149, 459, 
155, 150, 435, 150, 444, 149, 442, 149, 444, 150, 444, 149, 459, 
160, 150, 434, 150, 446, 150, 442, 150, 445, 149, 439, 150, 459, 
165, 150, 433, 150, 445, 149, 443, 149, 444, 150, 440, 150, 457, 
170, 150, 432, 150, 445, 150, 442, 149, 443, 149, 440, 150, 457, 
175, 150, 431, 150, 443, 150, 440, 150, 442, 150, 440, 150, 457, 
180, 150, 430, 149, 443, 150, 439, 149, 442, 150, 438, 149, 455, 
185, 150, 429, 150, 442, 150, 440, 150, 441, 149, 438, 150, 455, 
190, 150, 428, 149, 442, 150, 437, 150, 440, 149, 438, 150, 454, 
195, 150, 426, 150, 443, 150, 440, 150, 441, 149, 437, 149, 454, 
200, 150, 426, 150, 440, 150, 439, 150, 441, 149, 437, 149, 452, 
205, 150, 424, 150, 441, 150, 437, 149, 438, 149, 436, 150, 451, 
210, 150, 424, 150, 440, 150, 437, 149, 438, 150, 435, 150, 450, 
215, 150, 423, 150, 439, 150, 437, 150, 438, 149, 435, 150, 448, 
220, 150, 421, 149, 441, 150, 438, 150, 438, 149, 434, 150, 449, 
225, 150, 421, 150, 440, 150, 437, 149, 437, 149, 434, 150, 447, 
230, 150, 420, 150, 440, 150, 439, 149, 435, 150, 433, 150, 446, 
235, 150, 419, 150, 438, 150, 436, 150, 435, 149, 433, 150, 445, 
240, 149, 418, 150, 439, 150, 440, 150, 433, 149, 433, 149, 443, 
245, 150, 417, 150, 439, 150, 437, 150, 434, 150, 432, 150, 443, 
250, 150, 417, 150, 439, 150, 434, 150, 432, 150, 431, 149, 442, 
255, 150, 415, 150, 437, 150, 435, 150, 432, 149, 430, 149, 442, 
260, 149, 415, 150, 438, 150, 438, 149, 429, 149, 431, 150, 441, 
265, 150, 415, 149, 435, 150, 435, 150, 430, 149, 430, 150, 440, 
270, 150, 415, 150, 437, 150, 439, 150, 428, 150, 430, 150, 439, 
275, 150, 414, 150, 437, 150, 435, 150, 428, 150, 428, 150, 438, 
280, 149, 412, 149, 435, 150, 437, 150, 427, 150, 429, 150, 437, 
285, 150, 413, 150, 437, 149, 433, 149, 425, 150, 426, 150, 435, 
290, 150, 413, 150, 437, 150, 436, 150, 425, 149, 427, 150, 433, 
295, 150, 412, 150, 436, 150, 433, 150, 422, 150, 425, 150, 432, 
300, 150, 413, 150, 434, 150, 434, 150, 420, 150, 425, 150, 430, 
305, 149, 411, 150, 435, 150, 433, 149, 421, 149, 423, 150, 429, 
310, 150, 412, 150, 435, 148, 428, 150, 419, 149, 422, 149, 427, 
315, 150, 411, 150, 436, 149, 433, 150, 418, 150, 421, 150, 426, 
320, 149, 410, 150, 435, 150, 429, 150, 418, 150, 420, 150, 425, 
325, 150, 410, 150, 433, 149, 429, 149, 415, 149, 418, 149, 423, 
330, 150, 410, 150, 433, 150, 431, 150, 415, 150, 418, 150, 422, 
