t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 466, 150, 464, 150, 472, 149, 472, 150, 469, 150, 473, 
10, 149, 468, 150, 468, 149, 476, 150, 477, 149, 473, 149, 477, 
15, 149, 469, 150, 471, 150, 478, 150, 479, 150, 476, 150, 478, 
20, 150, 471, 150, 471, 150, 480, 150, 480, 149, 478, 150, 481, 
25, 150, 471, 150, 472, 150, 480, 150, 481, 149, 478, 150, 482, 
30, 150, 476, 150, 474, 150, 480, 150, 481, 149, 480, 150, 486, 
35, 149, 476, 150, 476, 150, 480, 149, 482, 150, 482, 150, 486, 
40, 150, 468, 150, 474, 150, 481, 149, 481, 150, 483, 149, 487, 
45, 150, 467, 149, 473, 149, 480, 150, 482, 149, 482, 150, 489, 
50, 150, 465, 150, 472, 150, 480, 150, 482, 150, 483, 150, 489, 
55, 149, 464, 150, 471, 150, 480, 150, 482, 150, 484, 149, 488, 
60, 150, 462, 149, 468, 148, 474, 149, 478, 149, 482, 150, 488, 
65, 150, 461, 150, 466, 150, 477, 150, 478, 150, 481, 150, 486, 
70, 150, 461, 150, 464, 150, 475, 149, 477, 149, 480, 150, 486, 
75, 150, 461, 149, 463, 150, 476, 150, 476, 150, 480, 150, 486, 
80, 150, 460, 150, 463, 149, 474, 149, 477, 149, 480, 150, 487, 
85, 150, 459, 150, 464, 150, 474, 150, 477, 149, 479, 150, 487, 
90, 150, 461, 150, 463, 150, 473, 150, 479, 149, 479, 150, 486, 
95, 150, 461, 150, 464, 150, 473, 150, 478, 150, 478, 149, 485, 
100, 150, 462, 150, 465, 150, 473, 150, 477, 150, 477, 150, 485, 
105, 150, 464, 149, 464, 149, 472, 150, 477, 150, 477, 150, 485, 
110, 150, 465, 149, 465, 150, 472, 150, 477, 150, 476, 149, 485, 
115, 150, 466, 150, 467, 150, 471, 150, 477, 150, 477, 149, 485, 
120, 150, 468, 150, 468, 150, 471, 150, 475, 149, 476, 150, 484, 
125, 150, 469, 150, 470, 150, 471, 149, 476, 149, 476, 149, 485, 
130, 150, 469, 150, 471, 150, 471, 150, 476, 149, 475, 150, 483, 
135, 150, 470, 150, 469, 150, 471, 150, 474, 149, 475, 150, 483, 
140, 150, 470, 150, 469, 148, 469, 150, 473, 150, 475, 150, 483, 
145, 150, 470, 149, 468, 150, 472, 150, 473, 150, 475, 150, 482, 
150, 150, 470, 150, 466, 150, 471, 150, 472, 150, 474, 150, 482, 
155, 150, 470, 150, 467, 150, 470, 149, 471, 150, 474, 150, 483, 
160, 150, 470, 150, 463, 150, 470, 149, 470, 149, 473, 150, 483, 
165, 150, 469, 150, 463, 150, 469, 149, 470, 149, 470, 150, 482, 
170, 150, 469, 150, 463, 150, 469, 150, 469, 149, 471, 150, 482, 
175, 150, 468, 150, 462, 150, 469, 150, 470, 150, 470, 150, 481, 
180, 150, 467, 150, 461, 150, 469, 150, 469, 150, 469, 150, 480, 
185, 150, 466, 150, 460, 150, 469, 150, 468, 150, 469, 149, 480, 
190, 150, 465, 150, 460, 150, 469, 150, 466, 150, 468, 150, 481, 
195, 150, 465, 150, 460, 149, 469, 150, 465, 149, 467, 150, 479, 
200, 150, 462, 150, 461, 150, 469, 149, 465, 150, 468, 150, 479, 
205, 150, 462, 150, 459, 150, 469, 150, 464, 149, 465, 150, 478, 
210, 150, 461, 150, 458, 150, 469, 149, 465, 150, 464, 150, 477, 
215, 150, 461, 150, 459, 150, 469, 149, 464, 149, 461, 150, 476, 
220, 150, 460, 150, 458, 150, 469, 149, 463, 150, 462, 150, 474, 
225, 150, 460, 150, 457, 150, 468, 150, 462, 150, 461, 150, 474, 
230, 150, 459, 150, 457, 149, 468, 150, 462, 149, 459, 150, 473, 
235, 150, 459, 150, 457, 149, 467, 150, 460, 149, 458, 150, 470, 
240, 150, 459, 150, 457, 150, 467, 150, 460, 150, 457, 150, 470, 
245, 150, 459, 150, 456, 150, 467, 150, 459, 150, 454, 149, 468, 
250, 150, 458, 150, 456, 150, 466, 149, 458, 150, 453, 150, 467, 
255, 149, 457, 150, 457, 150, 468, 150, 458, 150, 452, 150, 466, 
260, 150, 457, 150, 456, 150, 466, 149, 456, 149, 449, 149, 464, 
265, 149, 456, 150, 457, 149, 465, 150, 455, 150, 447, 150, 462, 
270, 150, 455, 150, 457, 150, 464, 149, 454, 149, 445, 149, 460, 
275, 150, 455, 150, 457, 150, 463, 150, 453, 150, 443, 150, 460, 
280, 149, 454, 149, 456, 150, 462, 149, 453, 150, 441, 149, 459, 
285, 150, 454, 150, 457, 150, 460, 150, 451, 149, 438, 149, 458, 
290, 150, 453, 150, 457, 150, 459, 150, 451, 149, 437, 150, 456, 
295, 150, 452, 150, 457, 150, 458, 149, 448, 150, 434, 149, 453, 
300, 150, 453, 150, 456, 149, 457, 149, 448, 150, 433, 150, 451, 
305, 149, 451, 150, 456, 150, 459, 150, 448, 149, 430, 150, 449, 
310, 150, 450, 150, 455, 150, 455, 149, 447, 149, 428, 150, 449, 
315, 150, 450, 150, 455, 150, 453, 150, 446, 150, 426, 150, 448, 
320, 150, 449, 150, 455, 149, 452, 150, 445, 150, 424, 149, 447, 
325, 150, 448, 150, 455, 150, 450, 149, 443, 150, 422, 149, 446, 
330, 150, 448, 150, 455, 150, 449, 149, 442, 150, 421, 150, 444, 
