t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 423, 150, 414, 150, 429, 149, 430, 150, 427, 150, 427, 
10, 149, 426, 150, 419, 150, 434, 150, 434, 149, 432, 150, 432, 
15, 150, 428, 150, 421, 150, 436, 150, 436, 149, 435, 149, 434, 
20, 150, 429, 150, 423, 150, 438, 150, 439, 150, 436, 149, 435, 
25, 150, 430, 150, 424, 150, 439, 150, 440, 150, 437, 150, 436, 
30, 150, 431, 150, 425, 150, 440, 149, 439, 149, 438, 150, 438, 
35, 150, 429, 150, 424, 149, 440, 150, 439, 149, 438, 150, 436, 
40, 150, 428, 150, 424, 149, 439, 150, 438, 150, 439, 149, 436, 
45, 150, 425, 150, 421, 149, 436, 149, 437, 150, 435, 149, 434, 
50, 150, 423, 150, 418, 150, 436, 150, 435, 150, 434, 150, 432, 
55, 150, 421, 150, 417, 149, 434, 149, 435, 149, 432, 150, 431, 
60, 150, 420, 150, 416, 150, 436, 150, 433, 150, 433, 150, 430, 
65, 150, 420, 150, 416, 150, 434, 149, 432, 150, 430, 150, 429, 
70, 150, 420, 150, 416, 150, 434, 149, 430, 150, 429, 150, 429, 
75, 149, 419, 150, 417, 150, 432, 149, 428, 149, 429, 150, 428, 
80, 150, 418, 150, 416, 150, 432, 149, 427, 150, 429, 150, 427, 
85, 150, 417, 150, 416, 150, 431, 150, 427, 150, 429, 150, 427, 
90, 150, 417, 150, 416, 150, 431, 149, 426, 149, 428, 150, 427, 
95, 150, 416, 150, 415, 150, 430, 149, 426, 150, 428, 149, 426, 
100, 150, 416, 150, 415, 150, 430, 149, 426, 150, 427, 149, 426, 
105, 150, 415, 150, 417, 150, 429, 149, 426, 150, 427, 150, 426, 
110, 150, 414, 150, 415, 150, 428, 149, 426, 150, 428, 150, 426, 
115, 150, 413, 150, 414, 150, 429, 150, 425, 150, 429, 150, 426, 
120, 150, 413, 150, 414, 150, 427, 150, 425, 150, 427, 150, 424, 
125, 149, 412, 150, 414, 150, 428, 149, 425, 149, 427, 149, 425, 
130, 149, 412, 150, 413, 150, 428, 150, 424, 150, 428, 150, 424, 
135, 150, 411, 150, 412, 149, 427, 150, 423, 150, 427, 150, 424, 
140, 150, 411, 150, 413, 149, 428, 149, 423, 149, 426, 150, 424, 
145, 150, 410, 150, 412, 150, 427, 150, 423, 150, 425, 150, 423, 
150, 150, 409, 150, 412, 150, 427, 150, 422, 150, 426, 150, 423, 
155, 150, 410, 148, 407, 150, 427, 150, 422, 150, 426, 150, 422, 
160, 150, 409, 149, 411, 150, 427, 150, 421, 150, 425, 150, 422, 
165, 150, 409, 150, 410, 150, 427, 149, 421, 150, 424, 150, 421, 
170, 149, 408, 150, 411, 149, 427, 149, 420, 150, 425, 150, 422, 
175, 150, 409, 150, 410, 150, 426, 150, 420, 150, 423, 150, 422, 
180, 150, 408, 150, 410, 150, 426, 150, 418, 150, 422, 150, 420, 
185, 150, 407, 150, 410, 150, 427, 150, 418, 149, 420, 150, 420, 
190, 150, 407, 149, 409, 150, 426, 150, 419, 150, 420, 150, 417, 
195, 150, 406, 149, 409, 150, 426, 150, 417, 150, 419, 149, 417, 
200, 149, 406, 150, 409, 150, 427, 149, 417, 149, 418, 150, 417, 
205, 150, 405, 149, 408, 150, 427, 149, 416, 150, 418, 150, 416, 
210, 150, 404, 150, 409, 150, 426, 150, 415, 150, 418, 150, 415, 
215, 150, 404, 150, 408, 150, 427, 150, 414, 150, 417, 150, 413, 
220, 150, 403, 150, 408, 149, 426, 149, 413, 149, 416, 150, 412, 
225, 150, 404, 150, 408, 149, 427, 150, 412, 150, 413, 150, 411, 
230, 150, 402, 150, 407, 150, 426, 150, 412, 150, 414, 149, 411, 
235, 150, 401, 150, 407, 150, 425, 150, 411, 150, 413, 150, 408, 
240, 150, 400, 150, 408, 150, 427, 149, 410, 149, 411, 149, 409, 
245, 150, 400, 150, 407, 149, 426, 150, 409, 150, 409, 150, 408, 
250, 150, 398, 150, 407, 150, 426, 149, 409, 150, 408, 150, 405, 
255, 150, 398, 150, 407, 150, 425, 150, 408, 150, 408, 150, 405, 
260, 150, 397, 149, 407, 149, 425, 149, 408, 149, 407, 150, 404, 
265, 150, 396, 150, 407, 150, 425, 149, 407, 150, 406, 150, 401, 
270, 150, 396, 150, 406, 149, 424, 149, 406, 150, 405, 150, 402, 
275, 150, 395, 150, 406, 150, 424, 149, 405, 150, 404, 150, 399, 
280, 150, 393, 150, 405, 150, 424, 149, 404, 150, 403, 150, 398, 
285, 150, 393, 150, 406, 149, 423, 149, 404, 150, 404, 150, 398, 
290, 149, 391, 150, 405, 150, 422, 150, 403, 149, 401, 149, 395, 
295, 150, 391, 150, 405, 150, 422, 150, 402, 150, 400, 150, 394, 
300, 150, 389, 149, 404, 150, 421, 149, 402, 149, 398, 150, 394, 
305, 150, 389, 149, 404, 150, 422, 150, 401, 149, 399, 150, 393, 
310, 150, 388, 149, 404, 150, 422, 150, 401, 150, 398, 150, 390, 
315, 150, 388, 150, 403, 149, 417, 150, 399, 150, 398, 149, 390, 
320, 150, 388, 150, 403, 150, 418, 149, 399, 150, 396, 150, 388, 
325, 149, 387, 149, 403, 150, 418, 149, 398, 149, 395, 150, 388, 
330, 150, 387, 150, 402, 150, 417, 150, 396, 149, 395, 150, 388, 
