t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 386, 150, 382, 150, 394, 150, 392, 149, 397, 150, 392, 
10, 150, 390, 150, 389, 150, 399, 149, 398, 150, 403, 149, 399, 
15, 150, 392, 150, 392, 150, 402, 150, 401, 149, 406, 150, 401, 
20, 150, 394, 149, 392, 149, 404, 149, 403, 149, 409, 150, 404, 
25, 150, 396, 149, 394, 150, 406, 150, 406, 149, 411, 150, 404, 
30, 149, 396, 150, 393, 150, 407, 150, 409, 150, 412, 150, 407, 
35, 149, 397, 150, 395, 150, 409, 150, 408, 149, 414, 150, 407, 
40, 150, 395, 150, 394, 150, 407, 149, 406, 149, 412, 149, 407, 
45, 150, 395, 150, 397, 149, 407, 149, 407, 149, 413, 149, 408, 
50, 150, 392, 150, 393, 149, 405, 149, 405, 149, 411, 149, 406, 
55, 149, 391, 150, 392, 150, 406, 150, 406, 150, 413, 150, 408, 
60, 150, 391, 150, 391, 149, 407, 150, 406, 150, 414, 150, 410, 
65, 150, 389, 149, 391, 150, 407, 150, 404, 149, 414, 150, 411, 
70, 150, 389, 150, 392, 149, 406, 149, 403, 149, 415, 150, 410, 
75, 149, 388, 150, 393, 150, 406, 150, 402, 150, 415, 150, 411, 
80, 150, 389, 150, 391, 150, 404, 150, 402, 149, 416, 150, 411, 
85, 150, 388, 150, 392, 149, 404, 149, 401, 149, 415, 150, 410, 
90, 150, 388, 150, 389, 150, 404, 149, 401, 149, 415, 150, 409, 
95, 149, 388, 150, 387, 150, 403, 150, 400, 149, 415, 150, 409, 
100, 150, 388, 150, 390, 150, 402, 150, 399, 149, 414, 150, 409, 
105, 149, 388, 150, 386, 150, 402, 150, 399, 150, 413, 150, 409, 
110, 149, 388, 150, 387, 150, 402, 150, 399, 150, 413, 149, 408, 
115, 150, 388, 150, 385, 149, 401, 149, 398, 150, 413, 150, 407, 
120, 150, 388, 150, 387, 150, 401, 150, 399, 149, 413, 150, 408, 
125, 150, 388, 150, 387, 150, 401, 150, 398, 150, 412, 150, 408, 
130, 150, 388, 150, 386, 150, 400, 150, 398, 150, 411, 149, 408, 
135, 150, 388, 150, 386, 149, 400, 149, 398, 150, 411, 150, 408, 
140, 150, 387, 150, 383, 150, 401, 149, 396, 150, 410, 149, 408, 
145, 150, 387, 150, 385, 150, 400, 150, 397, 149, 409, 150, 407, 
150, 150, 387, 150, 385, 149, 400, 150, 397, 150, 409, 149, 408, 
155, 150, 386, 150, 384, 150, 400, 149, 396, 149, 408, 150, 407, 
160, 150, 386, 150, 383, 150, 399, 150, 396, 150, 408, 149, 407, 
165, 150, 386, 150, 384, 150, 399, 149, 395, 150, 408, 150, 407, 
170, 150, 385, 150, 385, 150, 399, 150, 394, 149, 405, 150, 406, 
175, 150, 385, 149, 385, 150, 398, 149, 394, 150, 406, 149, 406, 
180, 149, 384, 150, 384, 150, 398, 150, 394, 150, 405, 150, 406, 
185, 150, 384, 150, 383, 150, 397, 149, 393, 150, 405, 150, 406, 
190, 150, 383, 150, 385, 150, 397, 150, 393, 150, 403, 149, 405, 
195, 150, 383, 150, 384, 150, 397, 149, 393, 150, 402, 150, 405, 
200, 150, 383, 150, 383, 150, 395, 149, 392, 150, 400, 150, 404, 
205, 149, 381, 150, 384, 150, 396, 150, 392, 150, 400, 150, 404, 
210, 150, 381, 150, 383, 150, 394, 149, 391, 150, 398, 150, 402, 
215, 150, 381, 150, 383, 150, 394, 150, 391, 150, 398, 150, 402, 
220, 150, 380, 150, 381, 149, 394, 149, 390, 149, 396, 150, 401, 
225, 150, 379, 150, 382, 150, 393, 149, 389, 149, 395, 150, 402, 
230, 150, 379, 150, 381, 150, 393, 149, 389, 149, 393, 150, 399, 
235, 150, 378, 149, 382, 150, 392, 149, 389, 150, 394, 150, 400, 
240, 150, 378, 150, 382, 150, 391, 149, 387, 149, 391, 150, 399, 
245, 150, 377, 149, 381, 150, 391, 150, 387, 150, 390, 150, 398, 
250, 150, 377, 150, 379, 149, 390, 149, 386, 150, 389, 150, 398, 
255, 150, 376, 150, 381, 150, 389, 150, 385, 150, 387, 150, 398, 
260, 150, 375, 150, 379, 150, 389, 149, 384, 150, 385, 150, 397, 
265, 150, 374, 150, 380, 149, 387, 150, 383, 150, 383, 150, 397, 
270, 150, 374, 148, 375, 150, 387, 149, 381, 150, 381, 150, 396, 
275, 149, 373, 149, 380, 150, 386, 150, 381, 150, 379, 150, 395, 
280, 150, 372, 150, 378, 150, 385, 149, 380, 150, 377, 150, 392, 
285, 150, 372, 149, 380, 150, 385, 149, 378, 150, 374, 149, 392, 
290, 150, 371, 150, 379, 150, 384, 150, 376, 149, 372, 150, 391, 
295, 150, 371, 149, 378, 150, 383, 150, 377, 150, 371, 150, 390, 
300, 150, 370, 150, 377, 150, 382, 150, 374, 150, 369, 150, 389, 
305, 150, 370, 150, 378, 149, 382, 150, 373, 150, 367, 150, 388, 
310, 150, 370, 150, 377, 150, 381, 150, 370, 150, 364, 150, 387, 
315, 150, 369, 149, 376, 150, 379, 149, 370, 150, 363, 150, 386, 
320, 149, 369, 150, 376, 150, 378, 150, 366, 150, 361, 150, 385, 
325, 150, 369, 150, 376, 150, 377, 150, 367, 150, 359, 149, 383, 
330, 150, 369, 150, 375, 150, 376, 149, 363, 149, 356, 149, 382, 
