t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 433, 150, 423, 149, 429, 149, 433, 150, 432, 150, 449, 
10, 150, 437, 150, 427, 150, 434, 150, 437, 149, 438, 150, 454, 
15, 150, 439, 150, 429, 150, 437, 150, 440, 150, 441, 149, 458, 
20, 150, 441, 150, 431, 150, 439, 149, 442, 150, 442, 150, 460, 
25, 150, 442, 150, 432, 149, 438, 150, 443, 150, 443, 150, 460, 
30, 150, 442, 150, 433, 149, 440, 149, 444, 150, 445, 150, 461, 
35, 149, 442, 150, 434, 150, 443, 150, 445, 149, 444, 149, 461, 
40, 150, 439, 150, 430, 149, 436, 150, 442, 150, 441, 150, 459, 
45, 150, 437, 150, 429, 149, 435, 150, 440, 149, 438, 150, 458, 
50, 150, 433, 150, 425, 149, 432, 149, 436, 150, 432, 150, 454, 
55, 150, 431, 150, 424, 150, 432, 149, 434, 150, 429, 150, 452, 
60, 150, 430, 149, 421, 149, 429, 150, 432, 149, 425, 150, 450, 
65, 150, 428, 150, 420, 150, 429, 149, 430, 150, 423, 150, 448, 
70, 150, 426, 150, 419, 150, 427, 149, 429, 150, 421, 149, 447, 
75, 150, 425, 150, 418, 150, 425, 149, 427, 150, 418, 149, 447, 
80, 150, 424, 149, 417, 149, 422, 150, 427, 150, 417, 150, 446, 
85, 150, 423, 150, 416, 150, 425, 150, 426, 149, 416, 150, 445, 
90, 150, 422, 150, 415, 150, 420, 150, 425, 150, 413, 149, 444, 
95, 150, 421, 150, 413, 150, 420, 150, 425, 150, 413, 150, 444, 
100, 150, 420, 150, 413, 150, 419, 149, 424, 150, 412, 149, 442, 
105, 150, 419, 150, 412, 150, 418, 149, 423, 150, 412, 150, 441, 
110, 150, 418, 150, 412, 150, 417, 150, 422, 149, 412, 150, 441, 
115, 150, 417, 149, 409, 150, 416, 149, 421, 150, 412, 149, 440, 
120, 150, 417, 150, 410, 150, 416, 149, 421, 150, 412, 150, 440, 
125, 150, 417, 150, 410, 150, 416, 149, 420, 149, 411, 150, 440, 
130, 150, 416, 150, 408, 149, 415, 150, 420, 150, 411, 150, 439, 
135, 149, 417, 150, 408, 150, 415, 149, 419, 149, 411, 149, 439, 
140, 150, 416, 150, 408, 150, 415, 150, 418, 150, 409, 150, 439, 
145, 149, 416, 150, 408, 150, 415, 149, 418, 150, 410, 150, 439, 
150, 150, 417, 150, 407, 150, 416, 150, 418, 149, 410, 150, 439, 
155, 150, 416, 150, 407, 150, 416, 149, 417, 150, 411, 150, 437, 
160, 150, 415, 150, 407, 150, 415, 149, 417, 150, 410, 149, 437, 
165, 150, 416, 150, 408, 150, 415, 149, 417, 150, 409, 150, 437, 
170, 150, 416, 150, 407, 150, 416, 149, 417, 149, 409, 150, 436, 
175, 150, 415, 150, 408, 150, 415, 150, 417, 150, 410, 150, 436, 
180, 150, 415, 150, 407, 150, 415, 149, 417, 150, 411, 150, 436, 
185, 150, 416, 149, 408, 150, 414, 150, 416, 150, 411, 150, 437, 
190, 150, 415, 150, 408, 149, 415, 150, 416, 149, 410, 149, 436, 
195, 150, 415, 150, 408, 149, 414, 149, 416, 150, 410, 150, 435, 
200, 150, 414, 150, 408, 150, 415, 149, 416, 150, 410, 150, 437, 
205, 150, 415, 150, 408, 150, 414, 149, 415, 149, 409, 150, 436, 
210, 150, 414, 149, 407, 150, 414, 150, 415, 149, 407, 150, 435, 
215, 150, 413, 150, 407, 150, 414, 149, 416, 150, 407, 150, 436, 
220, 149, 413, 150, 408, 150, 414, 150, 415, 150, 407, 149, 435, 
225, 150, 413, 150, 407, 150, 414, 150, 415, 150, 408, 150, 434, 
230, 150, 411, 150, 408, 150, 414, 149, 415, 150, 406, 150, 434, 
235, 150, 412, 150, 407, 150, 414, 150, 415, 149, 405, 150, 433, 
240, 150, 411, 150, 407, 150, 413, 149, 414, 149, 406, 150, 433, 
245, 150, 409, 150, 406, 150, 413, 150, 414, 150, 406, 150, 432, 
250, 150, 410, 150, 407, 150, 413, 149, 414, 149, 405, 150, 432, 
255, 149, 408, 150, 407, 150, 413, 150, 414, 150, 404, 150, 431, 
260, 150, 408, 150, 406, 150, 412, 150, 414, 150, 402, 150, 430, 
265, 150, 407, 150, 405, 149, 412, 150, 413, 150, 402, 150, 430, 
270, 150, 407, 150, 405, 150, 412, 149, 412, 150, 400, 150, 430, 
275, 149, 405, 150, 404, 150, 412, 150, 412, 150, 400, 149, 430, 
280, 149, 405, 150, 404, 149, 411, 149, 411, 150, 399, 149, 428, 
285, 150, 402, 150, 404, 150, 411, 150, 410, 149, 399, 150, 428, 
290, 150, 402, 150, 404, 150, 411, 149, 409, 150, 397, 150, 426, 
295, 150, 400, 149, 403, 149, 409, 150, 408, 149, 397, 150, 426, 
300, 150, 400, 150, 403, 150, 409, 150, 408, 149, 395, 149, 425, 
305, 150, 399, 150, 403, 149, 408, 150, 407, 150, 394, 150, 426, 
310, 150, 397, 150, 402, 150, 408, 149, 406, 150, 393, 150, 424, 
315, 150, 397, 150, 402, 150, 407, 149, 405, 149, 393, 149, 425, 
320, 150, 397, 149, 402, 150, 406, 150, 404, 149, 393, 150, 423, 
325, 150, 394, 150, 402, 150, 406, 150, 403, 150, 392, 150, 423, 
330, 150, 395, 150, 401, 150, 404, 149, 402, 150, 390, 150, 422, 
