t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 393, 150, 384, 150, 387, 150, 392, 150, 396, 149, 400, 
10, 150, 396, 150, 388, 150, 389, 150, 395, 149, 398, 150, 403, 
15, 150, 396, 150, 388, 150, 391, 149, 397, 150, 400, 149, 406, 
20, 150, 396, 150, 390, 150, 391, 149, 398, 149, 402, 150, 406, 
25, 150, 396, 150, 390, 149, 392, 150, 399, 150, 403, 150, 407, 
30, 150, 398, 150, 389, 150, 393, 150, 400, 149, 404, 150, 408, 
35, 150, 397, 150, 389, 149, 393, 150, 400, 149, 404, 150, 407, 
40, 150, 396, 150, 389, 149, 393, 149, 400, 150, 404, 150, 407, 
45, 150, 397, 150, 390, 150, 393, 150, 401, 150, 404, 149, 407, 
50, 149, 396, 150, 388, 150, 392, 150, 399, 150, 402, 150, 407, 
55, 150, 395, 150, 389, 150, 391, 150, 398, 149, 401, 150, 406, 
60, 150, 394, 149, 386, 149, 390, 150, 396, 149, 400, 150, 407, 
65, 150, 393, 150, 386, 150, 390, 149, 395, 150, 401, 150, 406, 
70, 150, 392, 150, 385, 150, 388, 150, 395, 149, 401, 150, 405, 
75, 149, 390, 150, 386, 150, 387, 149, 395, 150, 401, 149, 404, 
80, 150, 389, 150, 384, 150, 385, 149, 392, 150, 400, 149, 403, 
85, 150, 387, 150, 383, 150, 385, 149, 391, 149, 397, 149, 401, 
90, 150, 385, 149, 382, 150, 384, 150, 390, 149, 397, 150, 399, 
95, 150, 386, 150, 382, 150, 382, 149, 388, 149, 395, 150, 398, 
100, 150, 383, 150, 379, 149, 382, 150, 387, 150, 393, 150, 397, 
105, 150, 383, 150, 378, 150, 381, 149, 385, 149, 392, 149, 397, 
110, 150, 382, 150, 377, 150, 380, 149, 384, 150, 391, 150, 396, 
115, 150, 382, 150, 378, 150, 380, 150, 383, 149, 390, 150, 394, 
120, 149, 380, 150, 377, 150, 380, 150, 381, 149, 389, 149, 393, 
125, 150, 380, 150, 376, 149, 378, 149, 379, 150, 387, 150, 393, 
130, 150, 381, 150, 375, 150, 379, 149, 379, 149, 388, 150, 391, 
135, 150, 379, 150, 375, 149, 378, 149, 379, 150, 388, 150, 390, 
140, 149, 378, 150, 374, 150, 378, 149, 379, 149, 386, 150, 391, 
145, 150, 379, 150, 375, 149, 377, 149, 378, 150, 385, 149, 390, 
150, 150, 378, 150, 374, 150, 377, 150, 377, 149, 385, 150, 390, 
155, 150, 379, 149, 373, 150, 377, 150, 378, 150, 385, 150, 388, 
160, 150, 378, 150, 373, 150, 377, 149, 378, 149, 385, 150, 389, 
165, 150, 378, 150, 374, 150, 377, 150, 378, 149, 384, 150, 388, 
170, 150, 378, 150, 372, 150, 376, 150, 378, 150, 385, 150, 389, 
175, 150, 378, 150, 373, 149, 376, 149, 378, 149, 385, 150, 388, 
180, 149, 378, 150, 373, 150, 376, 149, 378, 149, 385, 150, 388, 
185, 150, 378, 150, 373, 150, 377, 150, 378, 149, 384, 150, 389, 
190, 150, 379, 149, 372, 150, 377, 149, 379, 149, 385, 149, 388, 
195, 150, 378, 150, 373, 150, 376, 150, 378, 150, 385, 150, 388, 
200, 150, 379, 150, 372, 149, 376, 149, 378, 150, 385, 150, 388, 
205, 150, 378, 150, 373, 150, 377, 150, 378, 149, 384, 150, 387, 
210, 150, 378, 149, 372, 150, 376, 149, 378, 149, 384, 150, 388, 
215, 150, 379, 150, 371, 150, 377, 149, 377, 150, 384, 150, 387, 
220, 150, 379, 150, 372, 150, 377, 149, 378, 149, 384, 150, 387, 
225, 150, 379, 150, 372, 149, 377, 150, 378, 149, 383, 149, 386, 
230, 150, 378, 149, 372, 150, 377, 150, 377, 150, 383, 150, 387, 
235, 150, 378, 150, 372, 149, 377, 149, 377, 149, 383, 150, 387, 
240, 150, 378, 149, 371, 150, 377, 150, 377, 149, 383, 150, 386, 
245, 150, 378, 150, 372, 149, 377, 150, 378, 150, 383, 150, 386, 
250, 150, 378, 150, 371, 150, 377, 150, 377, 150, 383, 150, 385, 
255, 149, 378, 150, 372, 150, 376, 149, 378, 149, 382, 150, 385, 
260, 150, 378, 150, 373, 150, 376, 149, 378, 149, 381, 149, 384, 
265, 150, 378, 150, 371, 150, 377, 149, 377, 150, 382, 150, 384, 
270, 150, 378, 150, 371, 150, 375, 150, 378, 150, 381, 150, 384, 
275, 150, 378, 150, 371, 150, 375, 150, 377, 150, 381, 150, 384, 
280, 150, 378, 150, 372, 148, 372, 149, 376, 149, 379, 149, 383, 
285, 149, 377, 150, 371, 150, 376, 149, 376, 149, 380, 150, 383, 
290, 150, 378, 150, 371, 148, 370, 149, 375, 149, 380, 150, 382, 
295, 150, 378, 150, 371, 150, 373, 150, 375, 150, 378, 150, 382, 
300, 150, 377, 150, 371, 150, 373, 150, 375, 149, 377, 150, 382, 
305, 149, 376, 149, 370, 150, 373, 150, 375, 150, 377, 150, 381, 
310, 150, 377, 149, 371, 150, 372, 149, 373, 150, 376, 150, 381, 
315, 150, 377, 149, 369, 150, 371, 150, 374, 149, 376, 149, 381, 
320, 150, 376, 150, 371, 150, 371, 149, 371, 149, 374, 150, 380, 
325, 150, 376, 150, 370, 150, 370, 149, 372, 150, 374, 150, 379, 
330, 150, 375, 150, 371, 150, 369, 149, 371, 149, 372, 149, 379, 
