t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 413, 150, 404, 150, 398, 149, 401, 150, 410, 150, 409, 
10, 150, 418, 150, 409, 150, 404, 149, 407, 149, 414, 150, 412, 
15, 150, 421, 150, 413, 149, 406, 149, 408, 149, 417, 150, 413, 
20, 150, 424, 150, 415, 150, 409, 149, 410, 150, 418, 150, 414, 
25, 150, 425, 150, 416, 150, 409, 150, 411, 150, 420, 150, 414, 
30, 150, 425, 150, 418, 150, 412, 150, 412, 149, 420, 149, 415, 
35, 150, 427, 150, 419, 150, 411, 150, 413, 149, 421, 149, 415, 
40, 150, 428, 150, 420, 150, 412, 149, 414, 150, 422, 150, 414, 
45, 150, 428, 149, 420, 149, 412, 149, 414, 150, 421, 150, 413, 
50, 150, 428, 150, 420, 150, 410, 149, 413, 150, 419, 150, 412, 
55, 150, 422, 150, 416, 150, 407, 150, 410, 150, 417, 150, 412, 
60, 150, 422, 150, 415, 150, 407, 150, 410, 150, 417, 150, 412, 
65, 150, 418, 150, 411, 150, 404, 150, 406, 149, 413, 149, 410, 
70, 150, 419, 150, 410, 150, 402, 150, 405, 150, 412, 149, 409, 
75, 150, 417, 150, 410, 150, 401, 150, 405, 150, 411, 150, 409, 
80, 150, 416, 150, 408, 149, 400, 150, 404, 149, 411, 150, 407, 
85, 150, 414, 150, 407, 149, 400, 149, 403, 150, 411, 150, 409, 
90, 150, 415, 150, 406, 149, 399, 149, 403, 150, 410, 149, 408, 
95, 149, 412, 150, 406, 150, 400, 150, 403, 150, 410, 150, 408, 
100, 150, 412, 150, 406, 150, 399, 149, 402, 150, 409, 150, 406, 
105, 149, 410, 150, 406, 150, 398, 149, 402, 150, 409, 150, 406, 
110, 150, 409, 150, 406, 150, 397, 150, 401, 150, 407, 150, 404, 
115, 150, 408, 150, 405, 149, 395, 149, 400, 150, 407, 150, 404, 
120, 150, 407, 150, 405, 150, 395, 150, 398, 150, 405, 150, 400, 
125, 150, 406, 150, 404, 150, 394, 149, 398, 149, 404, 150, 400, 
130, 150, 407, 149, 404, 150, 393, 149, 396, 149, 403, 150, 400, 
135, 150, 405, 150, 403, 149, 393, 149, 395, 150, 403, 150, 399, 
140, 149, 406, 150, 403, 150, 392, 149, 395, 150, 402, 149, 399, 
145, 149, 406, 150, 403, 150, 392, 149, 394, 149, 402, 150, 398, 
150, 150, 407, 151, 405, 149, 388, 149, 394, 150, 401, 150, 397, 
155, 150, 405, 150, 401, 150, 391, 150, 395, 149, 401, 150, 397, 
160, 150, 406, 150, 402, 150, 390, 149, 394, 149, 401, 150, 397, 
165, 150, 406, 150, 400, 150, 390, 150, 394, 150, 400, 150, 396, 
170, 149, 406, 150, 399, 149, 390, 149, 393, 149, 400, 150, 395, 
175, 150, 404, 150, 399, 150, 390, 150, 393, 149, 400, 150, 397, 
180, 150, 405, 150, 398, 150, 388, 149, 393, 150, 400, 150, 397, 
185, 150, 405, 150, 398, 150, 389, 149, 393, 149, 400, 150, 394, 
190, 150, 404, 150, 396, 150, 391, 150, 393, 149, 400, 150, 396, 
195, 150, 404, 150, 396, 150, 388, 150, 393, 150, 399, 150, 394, 
200, 150, 404, 150, 394, 150, 387, 149, 393, 150, 399, 150, 396, 
205, 150, 403, 150, 392, 150, 387, 149, 394, 149, 399, 150, 394, 
210, 150, 403, 149, 391, 150, 387, 150, 393, 150, 398, 150, 392, 
215, 150, 402, 150, 390, 150, 385, 150, 393, 149, 398, 149, 393, 
220, 150, 402, 150, 389, 150, 386, 150, 393, 149, 397, 150, 392, 
225, 150, 400, 150, 389, 150, 385, 149, 392, 149, 396, 149, 391, 
230, 150, 401, 150, 388, 150, 385, 150, 392, 150, 396, 150, 391, 
235, 150, 399, 150, 386, 150, 384, 149, 392, 150, 396, 150, 389, 
240, 150, 401, 150, 387, 150, 384, 149, 391, 150, 396, 150, 390, 
245, 150, 400, 150, 384, 150, 384, 150, 392, 150, 394, 150, 390, 
250, 150, 400, 150, 383, 150, 383, 149, 391, 149, 395, 150, 387, 
255, 150, 399, 150, 383, 149, 382, 150, 390, 149, 393, 150, 385, 
260, 150, 399, 150, 381, 150, 382, 150, 390, 149, 394, 149, 385, 
265, 149, 398, 150, 381, 150, 382, 150, 390, 149, 392, 149, 384, 
270, 150, 398, 150, 380, 150, 381, 149, 390, 150, 392, 150, 382, 
275, 150, 398, 149, 380, 149, 380, 149, 389, 149, 391, 150, 383, 
280, 150, 398, 150, 377, 150, 380, 150, 389, 149, 391, 150, 382, 
285, 149, 398, 150, 377, 150, 379, 149, 387, 150, 390, 150, 382, 
290, 150, 397, 150, 376, 150, 378, 149, 387, 149, 389, 149, 381, 
295, 150, 398, 149, 376, 150, 378, 150, 385, 150, 388, 150, 378, 
300, 150, 396, 149, 375, 150, 377, 150, 386, 150, 386, 150, 380, 
305, 150, 396, 149, 373, 149, 377, 150, 385, 149, 385, 150, 377, 
310, 150, 396, 149, 371, 150, 375, 150, 385, 149, 384, 150, 378, 
315, 150, 396, 149, 372, 150, 376, 149, 383, 150, 383, 150, 376, 
320, 150, 394, 150, 372, 150, 374, 149, 383, 149, 382, 150, 375, 
325, 149, 394, 150, 372, 150, 374, 150, 382, 149, 381, 150, 374, 
330, 150, 392, 150, 371, 149, 373, 149, 382, 150, 379, 150, 375, 
