t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 440, 150, 442, 150, 448, 150, 449, 150, 453, 150, 451, 
10, 150, 442, 149, 443, 151, 457, 150, 453, 150, 458, 150, 455, 
15, 149, 442, 150, 446, 149, 455, 149, 456, 150, 460, 149, 457, 
20, 150, 443, 150, 445, 150, 454, 150, 458, 150, 462, 150, 459, 
25, 150, 444, 150, 446, 150, 454, 150, 458, 150, 463, 149, 461, 
30, 150, 445, 150, 447, 150, 456, 149, 460, 149, 465, 150, 461, 
35, 150, 442, 150, 444, 150, 455, 150, 457, 150, 462, 150, 457, 
40, 149, 440, 150, 443, 150, 452, 150, 456, 150, 460, 150, 454, 
45, 149, 436, 149, 439, 150, 449, 150, 451, 149, 456, 150, 451, 
50, 150, 435, 150, 438, 150, 444, 149, 449, 150, 453, 150, 450, 
55, 150, 436, 149, 437, 150, 449, 150, 449, 150, 453, 150, 449, 
60, 150, 435, 150, 439, 150, 447, 149, 449, 150, 453, 149, 449, 
65, 150, 437, 150, 440, 150, 448, 150, 450, 150, 455, 149, 451, 
70, 150, 436, 150, 439, 150, 448, 149, 450, 149, 455, 150, 451, 
75, 150, 438, 150, 440, 150, 449, 150, 450, 150, 456, 150, 452, 
80, 150, 436, 150, 440, 150, 448, 150, 451, 150, 457, 150, 451, 
85, 150, 436, 150, 440, 150, 450, 150, 451, 150, 458, 149, 451, 
90, 150, 437, 150, 440, 150, 450, 150, 450, 150, 457, 150, 452, 
95, 149, 436, 150, 441, 150, 450, 150, 452, 149, 459, 149, 453, 
100, 150, 437, 150, 442, 150, 450, 149, 452, 150, 460, 149, 453, 
105, 150, 437, 150, 440, 150, 449, 150, 452, 150, 460, 149, 452, 
110, 150, 437, 150, 441, 151, 455, 150, 452, 150, 461, 149, 452, 
115, 150, 438, 149, 441, 150, 449, 150, 452, 150, 461, 150, 451, 
120, 149, 436, 150, 444, 150, 447, 149, 451, 149, 460, 150, 452, 
125, 150, 437, 150, 443, 150, 450, 149, 450, 150, 459, 150, 451, 
130, 149, 436, 149, 443, 149, 445, 150, 449, 150, 458, 150, 450, 
135, 150, 435, 150, 442, 150, 445, 150, 448, 150, 456, 149, 449, 
140, 150, 433, 150, 441, 150, 443, 150, 446, 150, 455, 149, 447, 
145, 149, 431, 150, 441, 150, 442, 149, 445, 150, 453, 150, 447, 
150, 150, 429, 150, 437, 149, 439, 150, 443, 150, 451, 150, 446, 
155, 150, 427, 150, 436, 149, 437, 150, 443, 149, 448, 150, 446, 
160, 150, 426, 150, 433, 150, 434, 150, 439, 150, 446, 149, 443, 
165, 150, 424, 150, 431, 149, 432, 150, 438, 149, 444, 149, 443, 
170, 150, 423, 150, 430, 150, 429, 150, 436, 150, 441, 150, 441, 
175, 150, 420, 150, 429, 150, 422, 150, 433, 150, 439, 150, 439, 
180, 150, 420, 150, 428, 149, 422, 150, 429, 149, 436, 150, 438, 
185, 150, 419, 150, 427, 150, 417, 150, 429, 150, 433, 150, 436, 
190, 150, 418, 149, 426, 150, 419, 150, 427, 150, 431, 150, 435, 
195, 150, 418, 150, 422, 150, 417, 150, 426, 150, 428, 150, 434, 
200, 150, 418, 150, 423, 149, 414, 149, 422, 150, 425, 150, 433, 
205, 150, 417, 150, 420, 150, 416, 150, 422, 150, 423, 150, 431, 
210, 150, 416, 150, 419, 150, 411, 149, 421, 149, 421, 150, 429, 
215, 150, 416, 149, 419, 150, 411, 149, 417, 149, 419, 150, 428, 
220, 150, 415, 150, 417, 150, 412, 149, 416, 150, 417, 150, 425, 
225, 150, 414, 150, 417, 150, 411, 150, 416, 150, 416, 150, 423, 
230, 150, 413, 150, 416, 149, 408, 149, 414, 150, 414, 149, 423, 
235, 149, 412, 150, 415, 150, 408, 149, 411, 149, 414, 150, 421, 
240, 150, 412, 149, 412, 150, 405, 150, 409, 149, 413, 150, 420, 
245, 150, 411, 150, 412, 150, 408, 149, 409, 149, 410, 150, 418, 
250, 150, 410, 150, 410, 151, 408, 150, 407, 149, 408, 149, 416, 
255, 149, 410, 150, 410, 150, 405, 149, 404, 150, 406, 149, 416, 
260, 150, 409, 150, 409, 150, 403, 150, 401, 150, 404, 150, 415, 
265, 150, 410, 149, 406, 150, 403, 149, 400, 150, 402, 150, 412, 
270, 150, 408, 150, 406, 150, 400, 149, 398, 149, 399, 150, 410, 
275, 150, 407, 150, 407, 149, 399, 149, 397, 149, 398, 150, 409, 
280, 149, 407, 150, 407, 150, 396, 150, 395, 150, 398, 150, 408, 
285, 150, 406, 149, 405, 150, 396, 149, 393, 150, 398, 150, 407, 
290, 150, 405, 150, 407, 150, 393, 150, 391, 150, 397, 150, 405, 
295, 150, 405, 150, 404, 150, 393, 150, 391, 150, 397, 150, 404, 
300, 150, 404, 149, 405, 150, 392, 150, 388, 150, 396, 150, 402, 
305, 149, 403, 150, 404, 150, 394, 150, 386, 149, 396, 149, 402, 
310, 149, 402, 150, 405, 150, 390, 149, 386, 150, 395, 150, 401, 
315, 150, 402, 149, 403, 150, 389, 150, 385, 150, 394, 150, 400, 
320, 150, 401, 150, 404, 149, 389, 150, 382, 150, 393, 150, 399, 
325, 150, 401, 150, 405, 149, 390, 149, 379, 150, 392, 150, 396, 
330, 150, 400, 150, 404, 150, 387, 149, 380, 149, 391, 150, 396, 
