t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 106, 150, 106, 150, 113, 149, 114, 150, 110, 150, 111, 
10, 150, 106, 149, 107, 150, 114, 150, 114, 150, 110, 150, 110, 
15, 150, 106, 150, 106, 150, 114, 149, 114, 150, 109, 150, 111, 
20, 150, 106, 150, 106, 150, 114, 149, 114, 150, 109, 149, 111, 
25, 150, 105, 150, 106, 150, 114, 149, 114, 150, 109, 149, 111, 
30, 150, 106, 150, 106, 150, 114, 150, 114, 150, 109, 150, 111, 
35, 150, 105, 150, 106, 149, 114, 149, 114, 150, 109, 150, 110, 
40, 150, 105, 150, 106, 150, 114, 150, 114, 149, 109, 150, 111, 
45, 150, 105, 150, 106, 150, 114, 149, 114, 150, 109, 150, 110, 
50, 150, 105, 150, 106, 150, 114, 149, 113, 150, 109, 150, 110, 
55, 150, 105, 150, 105, 150, 113, 149, 113, 150, 108, 149, 110, 
60, 150, 105, 150, 105, 149, 113, 150, 113, 150, 108, 150, 109, 
65, 150, 105, 150, 106, 149, 113, 150, 113, 149, 108, 150, 109, 
70, 149, 105, 150, 105, 150, 113, 149, 113, 150, 108, 150, 109, 
75, 150, 105, 150, 105, 150, 112, 150, 113, 150, 107, 150, 109, 
80, 149, 105, 150, 105, 150, 113, 149, 113, 149, 107, 149, 109, 
85, 149, 104, 150, 105, 150, 113, 150, 113, 149, 107, 150, 108, 
90, 149, 104, 150, 105, 150, 112, 149, 112, 150, 107, 150, 108, 
95, 150, 104, 150, 105, 150, 112, 149, 112, 149, 107, 150, 108, 
100, 150, 105, 150, 105, 150, 113, 149, 112, 150, 107, 150, 108, 
105, 149, 104, 150, 104, 150, 113, 150, 112, 149, 107, 150, 108, 
110, 150, 103, 150, 104, 150, 113, 149, 112, 149, 107, 150, 108, 
115, 150, 104, 150, 105, 150, 112, 149, 112, 150, 106, 150, 108, 
120, 150, 104, 150, 105, 150, 112, 149, 112, 150, 107, 150, 108, 
125, 150, 104, 150, 105, 150, 112, 149, 112, 150, 106, 150, 107, 
130, 150, 104, 150, 104, 149, 112, 150, 112, 150, 107, 150, 107, 
135, 150, 104, 150, 104, 150, 112, 150, 111, 150, 106, 150, 107, 
140, 150, 104, 150, 105, 150, 112, 150, 111, 150, 106, 150, 107, 
145, 150, 104, 150, 104, 149, 112, 149, 111, 149, 106, 150, 107, 
150, 150, 104, 150, 104, 150, 111, 150, 111, 150, 107, 150, 107, 
155, 150, 104, 150, 104, 150, 111, 149, 111, 150, 106, 150, 106, 
160, 150, 103, 150, 104, 150, 112, 149, 111, 150, 107, 150, 107, 
165, 150, 103, 150, 103, 150, 112, 150, 110, 150, 106, 150, 107, 
170, 150, 103, 150, 104, 150, 111, 150, 110, 150, 106, 150, 106, 
175, 150, 103, 150, 104, 150, 112, 149, 110, 149, 107, 150, 107, 
180, 150, 103, 150, 104, 150, 111, 149, 110, 150, 107, 149, 106, 
185, 150, 103, 150, 103, 150, 111, 149, 110, 150, 106, 150, 106, 
190, 150, 103, 150, 104, 150, 112, 150, 110, 150, 106, 150, 106, 
195, 150, 103, 150, 104, 149, 111, 149, 110, 150, 107, 150, 106, 
200, 150, 103, 150, 104, 149, 111, 149, 110, 149, 106, 150, 106, 
205, 150, 103, 150, 103, 150, 111, 149, 110, 150, 106, 150, 106, 
210, 150, 102, 150, 104, 150, 111, 150, 110, 150, 107, 150, 106, 
215, 150, 103, 150, 104, 150, 111, 149, 110, 150, 106, 150, 106, 
220, 150, 103, 150, 103, 150, 111, 150, 110, 150, 107, 150, 106, 
225, 150, 102, 150, 103, 150, 111, 149, 110, 150, 107, 150, 106, 
230, 150, 102, 150, 104, 150, 110, 150, 110, 150, 106, 150, 106, 
235, 150, 102, 150, 103, 149, 111, 149, 110, 150, 107, 150, 106, 
240, 150, 103, 150, 104, 150, 111, 149, 110, 150, 107, 150, 106, 
245, 150, 103, 149, 104, 149, 111, 149, 110, 150, 107, 150, 106, 
250, 150, 103, 150, 103, 150, 111, 150, 110, 150, 108, 150, 106, 
255, 150, 102, 150, 103, 150, 111, 149, 110, 149, 107, 150, 106, 
260, 150, 102, 150, 103, 150, 110, 150, 110, 149, 107, 150, 106, 
265, 150, 102, 150, 103, 150, 111, 149, 110, 150, 107, 150, 106, 
270, 150, 102, 150, 103, 150, 110, 149, 110, 149, 107, 150, 106, 
275, 150, 103, 150, 103, 150, 111, 150, 110, 149, 107, 150, 106, 
280, 150, 102, 150, 103, 150, 111, 150, 110, 150, 108, 150, 106, 
285, 150, 103, 150, 103, 150, 111, 150, 110, 150, 108, 150, 105, 
290, 150, 103, 150, 103, 150, 111, 150, 110, 150, 107, 150, 106, 
295, 150, 102, 150, 103, 150, 111, 149, 110, 149, 108, 150, 106, 
300, 150, 103, 150, 103, 150, 111, 149, 110, 149, 108, 150, 106, 
305, 150, 103, 150, 103, 149, 111, 150, 111, 149, 108, 150, 105, 
310, 150, 103, 150, 103, 150, 111, 149, 110, 150, 107, 150, 106, 
315, 150, 103, 150, 103, 150, 111, 149, 110, 150, 108, 150, 106, 
320, 150, 103, 150, 103, 150, 111, 149, 110, 150, 108, 150, 106, 
325, 150, 102, 150, 103, 149, 111, 149, 110, 150, 108, 150, 106, 
330, 150, 102, 150, 104, 150, 111, 149, 111, 150, 108, 149, 106, 
