t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 426, 150, 418, 150, 431, 150, 433, 150, 436, 150, 433, 
10, 150, 429, 150, 423, 150, 436, 150, 439, 149, 441, 150, 439, 
15, 150, 429, 150, 424, 150, 438, 150, 441, 150, 444, 150, 441, 
20, 150, 431, 150, 426, 150, 440, 150, 443, 150, 447, 149, 443, 
25, 150, 431, 150, 427, 150, 441, 149, 443, 150, 448, 150, 443, 
30, 150, 431, 150, 427, 150, 442, 149, 445, 150, 450, 150, 444, 
35, 150, 429, 150, 425, 150, 440, 150, 443, 149, 448, 149, 443, 
40, 149, 430, 150, 424, 149, 439, 149, 442, 150, 448, 150, 441, 
45, 150, 427, 150, 423, 150, 438, 149, 440, 149, 445, 150, 441, 
50, 150, 426, 150, 421, 149, 437, 149, 438, 150, 443, 150, 439, 
55, 150, 424, 150, 421, 150, 435, 149, 439, 150, 442, 150, 438, 
60, 150, 424, 150, 419, 150, 434, 150, 437, 150, 440, 150, 438, 
65, 150, 425, 150, 419, 150, 434, 150, 437, 150, 439, 149, 436, 
70, 149, 423, 150, 419, 150, 433, 149, 436, 149, 438, 150, 436, 
75, 149, 423, 150, 418, 150, 433, 150, 436, 149, 437, 150, 436, 
80, 150, 424, 150, 419, 149, 432, 149, 435, 150, 438, 150, 435, 
85, 150, 423, 150, 417, 149, 432, 149, 433, 150, 436, 150, 434, 
90, 150, 420, 150, 418, 149, 431, 149, 433, 150, 436, 149, 434, 
95, 150, 420, 150, 417, 149, 431, 150, 431, 150, 436, 150, 432, 
100, 150, 419, 150, 417, 149, 430, 149, 431, 150, 436, 150, 433, 
105, 150, 420, 150, 418, 149, 429, 150, 430, 150, 439, 150, 432, 
110, 150, 419, 150, 418, 150, 430, 150, 429, 150, 438, 150, 432, 
115, 150, 420, 150, 417, 150, 430, 149, 429, 150, 439, 150, 431, 
120, 150, 418, 149, 418, 150, 431, 150, 429, 150, 441, 149, 432, 
125, 150, 420, 149, 418, 150, 430, 149, 428, 149, 443, 150, 432, 
130, 150, 420, 150, 419, 150, 431, 150, 429, 150, 444, 150, 433, 
135, 150, 420, 150, 418, 149, 432, 150, 429, 149, 444, 150, 434, 
140, 149, 420, 150, 419, 151, 438, 150, 431, 149, 445, 150, 435, 
145, 150, 423, 150, 419, 150, 433, 149, 431, 149, 446, 150, 435, 
150, 150, 422, 150, 419, 151, 438, 150, 432, 149, 445, 150, 434, 
155, 150, 422, 150, 420, 149, 433, 150, 432, 149, 446, 149, 436, 
160, 150, 421, 150, 420, 149, 434, 150, 432, 149, 447, 149, 435, 
165, 150, 423, 150, 420, 149, 434, 149, 433, 150, 446, 150, 436, 
170, 150, 422, 150, 421, 150, 436, 149, 433, 149, 446, 150, 435, 
175, 150, 422, 149, 421, 150, 435, 150, 434, 150, 446, 150, 436, 
180, 150, 422, 149, 419, 150, 435, 150, 434, 150, 446, 150, 436, 
185, 150, 421, 150, 421, 150, 438, 150, 435, 149, 447, 149, 437, 
190, 150, 421, 150, 420, 149, 435, 149, 433, 150, 445, 149, 437, 
195, 150, 421, 150, 421, 150, 437, 149, 434, 150, 445, 150, 436, 
200, 149, 421, 150, 420, 150, 435, 149, 435, 149, 445, 150, 436, 
205, 150, 419, 150, 420, 150, 435, 149, 434, 149, 443, 149, 435, 
210, 150, 420, 150, 421, 149, 436, 149, 434, 149, 444, 150, 435, 
215, 150, 420, 150, 420, 150, 435, 150, 434, 150, 441, 149, 435, 
220, 149, 419, 150, 420, 150, 436, 150, 434, 150, 440, 149, 435, 
225, 150, 419, 150, 421, 150, 435, 150, 434, 149, 440, 150, 434, 
230, 149, 418, 150, 419, 150, 435, 149, 433, 149, 439, 150, 435, 
235, 150, 418, 149, 419, 150, 434, 149, 432, 149, 438, 150, 434, 
240, 150, 417, 150, 418, 150, 434, 149, 431, 150, 436, 150, 433, 
245, 150, 417, 150, 418, 150, 434, 149, 429, 150, 437, 149, 433, 
250, 150, 417, 151, 422, 150, 434, 149, 428, 149, 435, 150, 432, 
255, 149, 416, 150, 418, 150, 433, 149, 427, 149, 433, 150, 432, 
260, 149, 415, 149, 417, 150, 433, 149, 425, 150, 432, 149, 431, 
265, 150, 415, 150, 417, 149, 432, 150, 424, 149, 432, 150, 431, 
270, 150, 414, 149, 417, 150, 431, 150, 422, 149, 428, 150, 430, 
275, 150, 414, 150, 418, 150, 430, 149, 421, 149, 426, 150, 429, 
280, 150, 415, 150, 416, 150, 430, 150, 419, 150, 426, 150, 429, 
285, 150, 414, 150, 416, 150, 430, 149, 417, 149, 424, 150, 428, 
290, 150, 414, 150, 415, 150, 429, 149, 415, 150, 422, 150, 427, 
295, 150, 413, 150, 416, 150, 429, 149, 414, 149, 420, 150, 427, 
300, 150, 413, 150, 415, 150, 428, 150, 412, 150, 418, 150, 426, 
305, 150, 412, 150, 415, 150, 427, 149, 410, 150, 418, 149, 425, 
310, 150, 412, 150, 415, 150, 426, 150, 408, 149, 414, 150, 424, 
315, 149, 411, 150, 414, 150, 424, 149, 407, 149, 413, 150, 423, 
320, 150, 412, 150, 414, 150, 424, 150, 405, 150, 410, 150, 422, 
325, 150, 411, 149, 414, 150, 423, 149, 404, 150, 409, 149, 421, 
330, 150, 410, 150, 413, 150, 422, 149, 402, 150, 409, 150, 420, 
