t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 427, 150, 408, 150, 418, 150, 429, 149, 433, 150, 441, 
10, 150, 430, 150, 412, 150, 422, 149, 432, 150, 437, 149, 445, 
15, 150, 432, 149, 413, 150, 424, 149, 434, 150, 440, 150, 448, 
20, 150, 432, 150, 414, 150, 425, 150, 436, 149, 441, 149, 450, 
25, 150, 431, 150, 414, 150, 425, 150, 436, 150, 442, 150, 451, 
30, 149, 432, 150, 415, 150, 426, 149, 437, 150, 443, 150, 451, 
35, 150, 431, 150, 415, 149, 424, 149, 435, 150, 442, 149, 448, 
40, 150, 432, 150, 414, 150, 425, 149, 434, 150, 443, 150, 447, 
45, 150, 429, 150, 411, 150, 423, 149, 432, 150, 438, 150, 445, 
50, 150, 427, 149, 409, 150, 422, 149, 430, 150, 437, 150, 442, 
55, 149, 428, 150, 408, 150, 421, 149, 429, 150, 437, 150, 440, 
60, 150, 427, 150, 407, 150, 421, 149, 429, 150, 436, 149, 439, 
65, 150, 426, 150, 407, 150, 418, 150, 429, 150, 436, 149, 439, 
70, 150, 426, 150, 406, 150, 418, 150, 428, 150, 435, 149, 438, 
75, 149, 425, 150, 406, 150, 417, 150, 427, 150, 435, 150, 439, 
80, 149, 425, 150, 406, 149, 415, 150, 425, 149, 432, 150, 439, 
85, 150, 426, 150, 406, 150, 415, 149, 425, 149, 433, 149, 438, 
90, 150, 424, 149, 405, 149, 414, 150, 424, 150, 432, 150, 439, 
95, 150, 422, 150, 406, 149, 413, 149, 423, 150, 431, 150, 437, 
100, 150, 423, 150, 405, 150, 413, 149, 423, 149, 429, 150, 438, 
105, 149, 422, 150, 405, 150, 412, 149, 422, 150, 429, 150, 438, 
110, 150, 421, 150, 405, 150, 411, 150, 421, 150, 430, 150, 436, 
115, 150, 421, 149, 404, 150, 411, 149, 421, 150, 428, 149, 435, 
120, 150, 420, 149, 403, 150, 410, 149, 419, 149, 427, 150, 434, 
125, 149, 420, 149, 402, 151, 413, 150, 419, 150, 428, 150, 435, 
130, 150, 420, 150, 402, 150, 410, 149, 420, 150, 426, 150, 434, 
135, 150, 419, 150, 402, 150, 409, 149, 417, 149, 426, 150, 433, 
140, 150, 420, 150, 402, 150, 409, 149, 417, 150, 427, 150, 432, 
145, 150, 418, 150, 401, 149, 409, 150, 418, 150, 426, 150, 432, 
150, 150, 417, 149, 400, 150, 408, 150, 416, 150, 426, 150, 431, 
155, 150, 417, 150, 400, 149, 408, 149, 417, 150, 427, 149, 432, 
160, 150, 416, 150, 399, 151, 414, 149, 417, 150, 425, 150, 432, 
165, 149, 415, 150, 399, 150, 408, 150, 416, 150, 425, 150, 432, 
170, 150, 416, 150, 399, 150, 408, 150, 417, 150, 425, 150, 431, 
175, 150, 415, 150, 398, 150, 408, 150, 416, 150, 425, 150, 431, 
180, 150, 416, 149, 397, 150, 408, 150, 416, 150, 425, 150, 430, 
185, 150, 415, 150, 398, 150, 408, 150, 417, 150, 424, 150, 430, 
190, 150, 414, 150, 398, 150, 408, 149, 417, 149, 425, 150, 429, 
195, 150, 413, 149, 397, 150, 407, 150, 416, 149, 425, 150, 429, 
200, 150, 415, 151, 400, 150, 408, 149, 416, 150, 424, 150, 428, 
205, 150, 412, 150, 397, 150, 407, 149, 417, 150, 424, 150, 429, 
210, 150, 412, 150, 396, 150, 407, 149, 416, 150, 422, 150, 428, 
215, 150, 412, 150, 396, 150, 408, 150, 416, 149, 422, 150, 428, 
220, 150, 411, 150, 396, 150, 407, 150, 417, 150, 422, 150, 427, 
225, 150, 410, 149, 395, 150, 407, 149, 415, 150, 421, 150, 426, 
230, 149, 409, 150, 394, 150, 407, 149, 416, 149, 420, 149, 427, 
235, 150, 407, 150, 394, 149, 406, 149, 416, 149, 419, 150, 426, 
240, 150, 409, 150, 394, 150, 406, 149, 415, 150, 419, 150, 427, 
245, 150, 406, 150, 393, 150, 406, 149, 414, 149, 418, 149, 426, 
250, 149, 404, 150, 392, 150, 406, 149, 414, 150, 417, 150, 425, 
255, 150, 404, 150, 392, 150, 405, 149, 413, 149, 416, 149, 424, 
260, 149, 405, 150, 391, 150, 405, 149, 412, 150, 415, 150, 422, 
265, 150, 402, 149, 391, 150, 405, 150, 412, 149, 414, 149, 423, 
270, 150, 402, 150, 390, 150, 404, 150, 410, 149, 411, 150, 421, 
275, 150, 401, 149, 389, 150, 403, 149, 411, 149, 411, 150, 421, 
280, 150, 400, 150, 389, 149, 403, 149, 410, 149, 410, 150, 421, 
285, 150, 400, 149, 388, 150, 402, 149, 409, 149, 409, 150, 419, 
290, 150, 399, 150, 388, 150, 401, 149, 409, 150, 407, 150, 418, 
295, 149, 398, 150, 388, 149, 400, 149, 408, 150, 407, 149, 418, 
300, 149, 399, 149, 387, 150, 399, 150, 407, 150, 405, 149, 416, 
305, 150, 398, 149, 387, 149, 399, 150, 407, 150, 404, 150, 414, 
310, 150, 397, 149, 386, 150, 398, 150, 406, 150, 402, 149, 414, 
315, 150, 396, 150, 386, 150, 398, 150, 405, 149, 402, 150, 412, 
320, 150, 395, 150, 385, 150, 397, 149, 404, 150, 399, 150, 411, 
325, 150, 396, 150, 385, 149, 394, 149, 403, 149, 397, 150, 409, 
330, 150, 395, 150, 384, 150, 396, 149, 402, 150, 396, 150, 408, 
