t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 438, 150, 431, 150, 448, 149, 456, 150, 453, 150, 448, 
10, 149, 440, 150, 436, 150, 452, 150, 461, 150, 459, 150, 454, 
15, 150, 443, 150, 437, 150, 455, 149, 464, 149, 461, 149, 457, 
20, 149, 443, 150, 437, 150, 457, 150, 467, 149, 462, 149, 458, 
25, 150, 444, 150, 439, 150, 457, 150, 467, 150, 465, 150, 460, 
30, 149, 444, 150, 440, 150, 459, 149, 468, 149, 466, 150, 460, 
35, 149, 442, 150, 439, 150, 458, 149, 467, 149, 463, 150, 458, 
40, 150, 443, 150, 440, 150, 458, 150, 467, 150, 464, 150, 458, 
45, 150, 442, 150, 437, 150, 455, 149, 464, 150, 461, 150, 456, 
50, 150, 440, 150, 437, 150, 456, 149, 465, 149, 459, 150, 456, 
55, 150, 440, 150, 436, 150, 456, 149, 464, 149, 457, 150, 454, 
60, 150, 441, 150, 436, 150, 455, 149, 463, 150, 456, 150, 454, 
65, 150, 440, 150, 436, 150, 455, 149, 463, 150, 457, 150, 453, 
70, 150, 440, 149, 435, 150, 454, 150, 461, 149, 455, 150, 452, 
75, 150, 439, 150, 436, 150, 454, 149, 460, 150, 453, 150, 451, 
80, 150, 439, 150, 434, 149, 452, 149, 458, 149, 452, 150, 451, 
85, 150, 437, 150, 434, 150, 451, 149, 457, 150, 452, 150, 450, 
90, 150, 437, 150, 433, 150, 450, 149, 455, 150, 451, 150, 449, 
95, 150, 437, 150, 432, 150, 449, 150, 456, 150, 449, 150, 449, 
100, 150, 436, 150, 431, 150, 448, 149, 454, 150, 449, 150, 448, 
105, 150, 434, 150, 430, 150, 448, 150, 454, 149, 448, 150, 447, 
110, 150, 433, 150, 431, 150, 447, 149, 454, 150, 450, 150, 447, 
115, 150, 433, 150, 430, 150, 446, 149, 454, 150, 450, 150, 446, 
120, 150, 433, 150, 432, 149, 446, 149, 455, 150, 449, 150, 446, 
125, 150, 434, 149, 429, 149, 445, 150, 454, 150, 452, 149, 445, 
130, 150, 434, 150, 428, 150, 445, 149, 454, 149, 451, 150, 445, 
135, 150, 434, 150, 429, 150, 445, 149, 455, 150, 451, 150, 444, 
140, 150, 434, 149, 430, 150, 446, 150, 455, 150, 452, 150, 443, 
145, 150, 433, 150, 430, 149, 444, 149, 454, 149, 453, 149, 443, 
150, 150, 433, 150, 429, 150, 445, 149, 454, 150, 454, 150, 443, 
155, 150, 433, 149, 429, 150, 446, 150, 453, 149, 452, 149, 442, 
160, 150, 433, 149, 429, 149, 444, 150, 453, 149, 453, 150, 442, 
165, 150, 432, 149, 430, 150, 446, 149, 452, 150, 454, 150, 442, 
170, 150, 432, 150, 430, 150, 447, 149, 451, 150, 454, 150, 441, 
175, 150, 431, 150, 429, 150, 447, 150, 452, 149, 454, 150, 442, 
180, 150, 430, 150, 428, 150, 447, 149, 451, 149, 453, 149, 442, 
185, 150, 429, 149, 428, 150, 448, 150, 450, 150, 453, 149, 442, 
190, 150, 429, 150, 427, 150, 448, 150, 448, 150, 452, 150, 441, 
195, 150, 428, 150, 428, 150, 448, 150, 448, 149, 451, 149, 441, 
200, 150, 427, 150, 426, 150, 447, 149, 447, 149, 450, 150, 440, 
205, 150, 426, 150, 427, 150, 447, 149, 445, 150, 450, 150, 440, 
210, 150, 426, 150, 427, 149, 447, 149, 445, 149, 449, 150, 441, 
215, 150, 424, 150, 426, 149, 446, 150, 443, 149, 448, 150, 439, 
220, 150, 424, 150, 425, 150, 447, 149, 442, 149, 446, 150, 439, 
225, 150, 423, 150, 425, 150, 447, 150, 440, 149, 445, 150, 440, 
230, 150, 422, 150, 425, 150, 446, 149, 440, 150, 443, 149, 439, 
235, 150, 422, 150, 423, 149, 446, 149, 439, 149, 441, 149, 439, 
240, 150, 421, 150, 422, 150, 445, 150, 439, 150, 440, 150, 438, 
245, 149, 421, 149, 422, 150, 445, 150, 436, 150, 439, 150, 437, 
250, 150, 420, 150, 421, 149, 443, 149, 435, 149, 438, 150, 437, 
255, 150, 419, 150, 420, 150, 443, 150, 435, 150, 436, 149, 435, 
260, 150, 420, 150, 419, 149, 442, 149, 433, 149, 434, 150, 435, 
265, 150, 418, 150, 420, 150, 441, 150, 432, 150, 432, 150, 435, 
270, 150, 417, 149, 417, 150, 441, 149, 431, 150, 431, 150, 435, 
275, 149, 418, 150, 417, 150, 440, 150, 430, 149, 429, 150, 433, 
280, 150, 416, 150, 417, 150, 439, 149, 428, 150, 427, 150, 432, 
285, 150, 415, 150, 416, 150, 438, 150, 428, 149, 425, 150, 432, 
290, 150, 415, 150, 416, 149, 437, 150, 425, 149, 424, 149, 430, 
295, 150, 415, 150, 415, 149, 436, 150, 426, 150, 422, 150, 429, 
300, 150, 413, 150, 414, 150, 435, 150, 423, 150, 420, 150, 428, 
305, 150, 413, 149, 413, 150, 434, 150, 422, 150, 419, 150, 428, 
310, 150, 413, 150, 413, 150, 433, 149, 421, 150, 416, 150, 425, 
315, 150, 410, 150, 411, 149, 432, 150, 418, 150, 414, 150, 424, 
320, 150, 410, 150, 411, 149, 430, 149, 417, 150, 413, 150, 425, 
325, 150, 410, 150, 410, 150, 429, 149, 415, 150, 411, 149, 423, 
330, 150, 408, 150, 410, 150, 428, 150, 415, 149, 409, 150, 422, 
