t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 421, 150, 409, 150, 421, 150, 422, 150, 424, 150, 424, 
10, 149, 424, 150, 414, 150, 427, 149, 427, 149, 429, 149, 430, 
15, 150, 426, 149, 414, 149, 428, 149, 429, 150, 431, 150, 432, 
20, 149, 427, 150, 417, 150, 431, 149, 431, 149, 435, 150, 435, 
25, 150, 428, 150, 417, 150, 432, 149, 432, 149, 434, 150, 436, 
30, 150, 428, 149, 418, 150, 432, 149, 433, 150, 437, 149, 436, 
35, 150, 428, 150, 419, 149, 433, 149, 434, 150, 436, 150, 436, 
40, 149, 425, 150, 416, 150, 430, 150, 432, 149, 435, 149, 433, 
45, 150, 421, 150, 411, 150, 425, 150, 426, 150, 429, 149, 430, 
50, 150, 413, 150, 403, 150, 417, 150, 418, 150, 421, 150, 422, 
55, 149, 408, 150, 400, 150, 414, 149, 415, 149, 417, 150, 418, 
60, 150, 406, 150, 399, 150, 412, 150, 415, 150, 417, 150, 418, 
65, 150, 407, 150, 399, 150, 413, 150, 415, 150, 417, 150, 419, 
70, 150, 408, 150, 399, 150, 413, 149, 415, 150, 416, 150, 419, 
75, 150, 405, 150, 400, 150, 412, 149, 414, 149, 417, 150, 418, 
80, 150, 406, 149, 400, 150, 411, 149, 414, 150, 416, 150, 420, 
85, 150, 404, 150, 400, 149, 411, 149, 413, 149, 416, 150, 418, 
90, 150, 405, 150, 400, 149, 410, 149, 412, 149, 416, 150, 419, 
95, 150, 403, 150, 400, 149, 410, 149, 412, 150, 415, 149, 418, 
100, 150, 403, 150, 399, 149, 410, 149, 412, 149, 413, 150, 418, 
105, 150, 404, 150, 398, 149, 408, 150, 412, 149, 414, 149, 417, 
110, 150, 402, 150, 398, 150, 409, 149, 411, 149, 413, 150, 418, 
115, 150, 401, 150, 398, 150, 409, 150, 411, 149, 414, 150, 418, 
120, 150, 402, 150, 398, 150, 409, 149, 411, 149, 414, 150, 417, 
125, 150, 403, 149, 398, 150, 409, 149, 410, 150, 414, 150, 418, 
130, 151, 406, 150, 397, 149, 409, 150, 410, 149, 414, 150, 417, 
135, 150, 403, 150, 397, 150, 409, 150, 410, 150, 416, 149, 417, 
140, 150, 403, 150, 397, 149, 410, 150, 409, 150, 416, 150, 417, 
145, 150, 402, 150, 397, 149, 409, 149, 409, 150, 415, 150, 416, 
150, 150, 402, 150, 397, 149, 409, 150, 408, 150, 414, 150, 415, 
155, 150, 402, 150, 398, 151, 414, 150, 408, 150, 415, 150, 415, 
160, 150, 401, 150, 398, 150, 410, 149, 407, 150, 414, 150, 414, 
165, 150, 403, 150, 397, 150, 410, 149, 406, 149, 413, 150, 414, 
170, 150, 400, 150, 397, 150, 410, 149, 406, 149, 413, 150, 413, 
175, 150, 400, 150, 398, 150, 409, 150, 405, 150, 413, 150, 413, 
180, 150, 402, 150, 398, 150, 409, 150, 403, 150, 412, 150, 412, 
185, 149, 401, 150, 398, 149, 410, 149, 402, 150, 412, 150, 412, 
190, 150, 401, 149, 397, 150, 409, 150, 402, 150, 411, 150, 411, 
195, 150, 401, 150, 399, 149, 409, 150, 401, 150, 410, 149, 411, 
200, 150, 401, 149, 397, 150, 409, 149, 400, 150, 409, 150, 410, 
205, 150, 401, 149, 397, 149, 409, 149, 400, 150, 408, 150, 409, 
210, 150, 400, 150, 397, 149, 407, 149, 398, 149, 407, 150, 408, 
215, 149, 401, 150, 398, 150, 409, 149, 397, 149, 406, 150, 408, 
220, 150, 401, 150, 397, 149, 407, 150, 397, 149, 407, 149, 407, 
225, 150, 401, 150, 397, 150, 409, 149, 396, 149, 405, 150, 407, 
230, 150, 400, 150, 397, 150, 409, 150, 395, 149, 404, 150, 406, 
235, 150, 400, 150, 397, 150, 408, 149, 393, 149, 403, 150, 406, 
240, 150, 399, 150, 396, 150, 408, 150, 393, 149, 401, 150, 404, 
245, 150, 399, 150, 396, 150, 408, 149, 391, 149, 400, 150, 403, 
250, 150, 399, 151, 402, 150, 409, 150, 391, 150, 397, 150, 401, 
255, 149, 399, 150, 396, 150, 408, 150, 389, 150, 396, 150, 401, 
260, 150, 397, 150, 396, 150, 407, 150, 389, 150, 394, 150, 400, 
265, 150, 397, 150, 395, 150, 407, 150, 387, 150, 392, 150, 399, 
270, 150, 396, 149, 395, 150, 406, 149, 386, 150, 390, 150, 398, 
275, 150, 397, 150, 395, 150, 406, 150, 386, 150, 387, 149, 397, 
280, 150, 397, 150, 394, 150, 406, 149, 383, 149, 386, 150, 396, 
285, 150, 396, 149, 394, 150, 406, 150, 383, 149, 384, 150, 396, 
290, 150, 396, 150, 393, 150, 405, 150, 381, 149, 382, 150, 394, 
295, 150, 394, 149, 393, 150, 405, 150, 382, 149, 381, 150, 393, 
300, 149, 393, 150, 393, 150, 404, 149, 382, 149, 378, 150, 392, 
305, 149, 394, 150, 392, 150, 403, 149, 380, 149, 376, 150, 391, 
310, 150, 394, 149, 391, 150, 403, 150, 381, 149, 375, 150, 392, 
315, 149, 392, 150, 391, 149, 402, 150, 380, 149, 373, 149, 390, 
320, 150, 393, 150, 391, 149, 402, 149, 380, 150, 372, 150, 389, 
325, 150, 392, 150, 390, 150, 401, 150, 379, 150, 371, 150, 389, 
330, 150, 390, 150, 390, 150, 401, 149, 378, 149, 369, 150, 388, 
