t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 525, 150, 516, 150, 529, 150, 535, 150, 541, 149, 547, 
10, 150, 527, 150, 521, 150, 533, 149, 542, 149, 549, 150, 556, 
15, 150, 530, 150, 523, 150, 537, 150, 547, 150, 554, 150, 560, 
20, 150, 528, 149, 525, 150, 538, 150, 548, 149, 555, 150, 564, 
25, 150, 529, 150, 525, 150, 540, 149, 550, 149, 557, 150, 565, 
30, 150, 530, 150, 527, 150, 541, 150, 551, 149, 560, 150, 568, 
35, 150, 530, 150, 526, 150, 540, 150, 552, 150, 561, 150, 570, 
40, 150, 527, 150, 526, 150, 541, 149, 552, 150, 561, 150, 568, 
45, 150, 527, 149, 525, 150, 541, 149, 553, 149, 561, 150, 570, 
50, 150, 525, 150, 524, 149, 539, 149, 552, 150, 559, 150, 570, 
55, 150, 523, 150, 523, 150, 542, 149, 552, 149, 559, 149, 569, 
60, 150, 521, 150, 523, 149, 541, 149, 552, 149, 557, 149, 570, 
65, 150, 519, 149, 522, 150, 541, 149, 550, 149, 556, 149, 568, 
70, 150, 516, 149, 522, 150, 540, 150, 551, 149, 554, 150, 568, 
75, 150, 516, 150, 522, 150, 538, 149, 548, 149, 556, 150, 570, 
80, 150, 515, 150, 522, 150, 538, 149, 551, 150, 554, 150, 570, 
85, 150, 514, 150, 521, 150, 538, 150, 550, 150, 555, 150, 568, 
90, 150, 514, 150, 521, 150, 538, 149, 549, 150, 555, 150, 569, 
95, 150, 514, 150, 520, 150, 536, 149, 548, 150, 558, 149, 568, 
100, 150, 513, 150, 519, 150, 537, 150, 548, 150, 554, 150, 568, 
105, 150, 513, 150, 518, 150, 535, 150, 548, 150, 556, 150, 567, 
110, 150, 512, 150, 519, 150, 536, 149, 545, 150, 554, 150, 567, 
115, 150, 512, 150, 516, 150, 535, 150, 546, 150, 554, 150, 567, 
120, 150, 513, 150, 516, 149, 533, 149, 543, 150, 554, 150, 566, 
125, 149, 511, 150, 515, 150, 534, 149, 542, 149, 555, 150, 566, 
130, 150, 510, 150, 514, 150, 535, 150, 541, 149, 554, 150, 567, 
135, 150, 511, 150, 513, 150, 533, 149, 541, 149, 554, 149, 565, 
140, 150, 511, 150, 512, 149, 532, 150, 540, 149, 553, 150, 565, 
145, 150, 510, 150, 511, 150, 532, 150, 540, 149, 552, 150, 564, 
150, 150, 509, 150, 510, 150, 532, 150, 539, 149, 552, 150, 561, 
155, 150, 510, 150, 509, 150, 531, 150, 537, 149, 551, 150, 560, 
160, 150, 509, 150, 509, 150, 529, 150, 537, 150, 553, 150, 558, 
165, 150, 509, 150, 507, 150, 529, 150, 534, 149, 551, 150, 556, 
170, 150, 508, 150, 507, 150, 528, 150, 534, 149, 549, 150, 556, 
175, 149, 508, 150, 505, 150, 527, 149, 533, 150, 547, 150, 552, 
180, 150, 507, 150, 503, 150, 527, 150, 532, 149, 545, 150, 549, 
185, 150, 507, 150, 502, 150, 525, 149, 529, 149, 546, 150, 546, 
190, 150, 506, 150, 501, 150, 523, 149, 529, 150, 545, 150, 545, 
195, 150, 505, 150, 499, 150, 523, 149, 527, 150, 540, 150, 541, 
200, 150, 503, 150, 497, 149, 521, 150, 526, 150, 538, 150, 538, 
205, 150, 502, 150, 495, 150, 518, 149, 524, 150, 535, 150, 535, 
210, 149, 502, 150, 493, 150, 517, 150, 523, 149, 533, 150, 533, 
215, 150, 501, 150, 491, 150, 514, 149, 521, 149, 531, 150, 529, 
220, 150, 500, 150, 489, 150, 512, 150, 520, 150, 529, 150, 525, 
225, 150, 500, 150, 486, 150, 511, 149, 518, 149, 525, 150, 523, 
230, 150, 499, 150, 485, 150, 510, 150, 516, 150, 524, 150, 519, 
235, 150, 497, 150, 483, 150, 507, 149, 513, 149, 521, 150, 517, 
240, 150, 498, 150, 480, 150, 506, 150, 511, 149, 519, 150, 513, 
245, 150, 496, 150, 479, 150, 506, 150, 509, 149, 515, 150, 512, 
250, 150, 496, 150, 477, 150, 504, 149, 507, 149, 514, 149, 509, 
255, 150, 494, 150, 475, 149, 503, 150, 504, 149, 509, 149, 507, 
260, 150, 493, 150, 473, 150, 501, 149, 502, 150, 507, 150, 506, 
265, 150, 492, 150, 471, 151, 505, 149, 501, 149, 504, 150, 502, 
270, 150, 491, 150, 469, 150, 499, 150, 498, 149, 503, 150, 499, 
275, 150, 490, 149, 468, 150, 498, 150, 497, 150, 499, 150, 496, 
280, 150, 490, 149, 464, 150, 497, 149, 494, 150, 495, 150, 494, 
285, 150, 489, 149, 464, 150, 493, 150, 494, 150, 492, 150, 491, 
290, 150, 488, 150, 461, 149, 493, 150, 492, 150, 490, 150, 488, 
295, 150, 487, 150, 460, 150, 492, 150, 489, 150, 487, 150, 486, 
300, 150, 487, 150, 459, 150, 489, 150, 489, 150, 484, 149, 483, 
305, 150, 486, 150, 457, 149, 488, 149, 487, 149, 483, 150, 481, 
310, 150, 484, 150, 455, 150, 485, 149, 484, 149, 480, 150, 479, 
315, 150, 483, 150, 453, 149, 484, 150, 483, 149, 478, 150, 478, 
320, 150, 483, 149, 449, 150, 483, 149, 482, 150, 474, 150, 475, 
325, 150, 482, 150, 449, 150, 481, 149, 479, 150, 470, 150, 472, 
330, 149, 480, 150, 446, 150, 481, 150, 478, 150, 469, 150, 470, 
