t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 469, 150, 456, 150, 464, 149, 482, 150, 474, 149, 487, 
10, 150, 473, 150, 459, 149, 468, 149, 486, 149, 479, 150, 492, 
15, 150, 474, 150, 461, 150, 473, 149, 489, 150, 481, 150, 495, 
20, 150, 474, 150, 462, 150, 471, 150, 491, 150, 483, 149, 496, 
25, 150, 476, 150, 462, 149, 473, 149, 492, 149, 481, 150, 499, 
30, 150, 475, 150, 462, 150, 473, 149, 492, 150, 483, 150, 498, 
35, 150, 475, 150, 463, 150, 473, 150, 493, 150, 484, 150, 499, 
40, 150, 474, 150, 463, 150, 475, 150, 494, 149, 484, 150, 497, 
45, 150, 474, 150, 463, 150, 473, 150, 494, 150, 483, 150, 498, 
50, 150, 474, 150, 463, 149, 473, 150, 493, 150, 482, 149, 498, 
55, 150, 473, 150, 464, 150, 473, 150, 492, 150, 479, 150, 499, 
60, 150, 472, 150, 463, 150, 470, 150, 492, 150, 478, 149, 499, 
65, 150, 472, 149, 462, 150, 472, 150, 489, 150, 480, 150, 498, 
70, 150, 471, 149, 462, 150, 470, 149, 487, 149, 477, 150, 499, 
75, 150, 470, 150, 462, 150, 470, 149, 486, 149, 476, 150, 500, 
80, 150, 470, 150, 461, 150, 469, 150, 486, 150, 475, 150, 499, 
85, 150, 470, 149, 460, 150, 468, 150, 485, 149, 474, 149, 499, 
90, 150, 469, 149, 459, 150, 468, 149, 485, 150, 476, 149, 500, 
95, 150, 469, 149, 458, 150, 467, 150, 484, 150, 475, 150, 501, 
100, 150, 468, 150, 458, 150, 467, 149, 484, 150, 474, 150, 500, 
105, 150, 468, 150, 457, 150, 466, 150, 484, 149, 474, 150, 502, 
110, 150, 467, 150, 457, 149, 466, 150, 484, 149, 474, 150, 502, 
115, 150, 466, 150, 457, 150, 466, 149, 484, 149, 475, 150, 500, 
120, 149, 466, 150, 458, 150, 466, 150, 483, 150, 474, 150, 500, 
125, 150, 466, 150, 458, 150, 466, 149, 483, 150, 474, 150, 501, 
130, 150, 466, 150, 459, 150, 465, 149, 482, 150, 475, 150, 499, 
135, 149, 465, 150, 459, 150, 465, 149, 481, 150, 474, 150, 497, 
140, 149, 465, 149, 459, 150, 464, 150, 481, 150, 474, 150, 497, 
145, 150, 464, 150, 459, 149, 464, 149, 480, 150, 472, 149, 496, 
150, 149, 464, 150, 460, 150, 464, 149, 480, 150, 473, 150, 495, 
155, 150, 464, 149, 458, 148, 461, 149, 479, 149, 473, 150, 495, 
160, 150, 463, 150, 458, 150, 465, 150, 479, 150, 472, 150, 491, 
165, 150, 463, 150, 458, 150, 462, 149, 477, 150, 473, 150, 490, 
170, 150, 462, 150, 457, 150, 464, 149, 477, 150, 473, 150, 489, 
175, 150, 461, 150, 456, 150, 462, 150, 477, 150, 471, 149, 489, 
180, 150, 461, 150, 456, 150, 463, 149, 476, 149, 471, 150, 487, 
185, 150, 460, 150, 456, 149, 462, 150, 476, 149, 471, 149, 486, 
190, 150, 459, 149, 456, 148, 458, 149, 473, 149, 471, 150, 484, 
195, 150, 458, 150, 454, 150, 462, 149, 473, 149, 470, 150, 482, 
200, 150, 457, 150, 453, 150, 461, 149, 471, 150, 471, 150, 479, 
205, 150, 456, 150, 452, 150, 461, 149, 471, 149, 469, 150, 478, 
210, 150, 455, 150, 453, 150, 464, 149, 469, 150, 468, 150, 478, 
215, 150, 454, 150, 451, 149, 459, 150, 468, 150, 467, 150, 475, 
220, 150, 453, 150, 451, 150, 461, 149, 467, 149, 465, 150, 474, 
225, 150, 451, 150, 453, 150, 460, 149, 465, 149, 465, 150, 471, 
230, 150, 449, 150, 454, 150, 459, 150, 463, 149, 464, 150, 470, 
235, 150, 447, 149, 453, 150, 459, 150, 462, 150, 462, 149, 469, 
240, 150, 445, 149, 454, 150, 458, 149, 461, 149, 460, 150, 466, 
245, 150, 443, 150, 454, 150, 462, 150, 460, 149, 458, 149, 464, 
250, 150, 443, 150, 453, 150, 458, 149, 459, 150, 458, 149, 462, 
255, 150, 441, 150, 453, 150, 457, 150, 458, 149, 455, 150, 460, 
260, 150, 440, 149, 452, 150, 457, 150, 456, 149, 452, 150, 457, 
265, 150, 439, 149, 451, 150, 457, 150, 456, 149, 451, 150, 455, 
270, 149, 438, 150, 452, 150, 455, 150, 454, 149, 448, 150, 453, 
275, 150, 437, 151, 455, 149, 453, 149, 453, 150, 447, 150, 450, 
280, 150, 436, 150, 451, 150, 452, 149, 452, 150, 445, 149, 447, 
285, 150, 436, 150, 449, 149, 451, 150, 450, 149, 442, 150, 446, 
290, 149, 435, 150, 448, 151, 456, 150, 449, 150, 441, 150, 442, 
295, 150, 434, 150, 448, 150, 448, 149, 446, 150, 440, 150, 440, 
300, 150, 433, 150, 448, 150, 447, 149, 444, 150, 438, 150, 437, 
305, 150, 432, 150, 448, 149, 445, 149, 443, 150, 437, 150, 434, 
310, 150, 431, 150, 448, 149, 442, 149, 442, 150, 434, 150, 432, 
315, 150, 431, 150, 446, 150, 442, 150, 441, 150, 433, 150, 431, 
320, 150, 430, 150, 446, 149, 438, 150, 439, 150, 431, 149, 428, 
325, 150, 430, 150, 445, 150, 438, 150, 438, 150, 430, 149, 427, 
330, 150, 429, 150, 444, 149, 435, 149, 436, 150, 428, 150, 424, 
