t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 432, 150, 429, 149, 443, 149, 442, 150, 447, 150, 450, 
10, 150, 434, 149, 431, 150, 447, 150, 445, 150, 451, 150, 454, 
15, 150, 434, 150, 434, 149, 447, 150, 447, 150, 453, 149, 456, 
20, 150, 435, 150, 434, 150, 449, 149, 446, 149, 453, 150, 458, 
25, 150, 434, 150, 435, 149, 448, 150, 446, 149, 454, 150, 457, 
30, 150, 435, 150, 435, 150, 450, 150, 446, 149, 454, 149, 458, 
35, 150, 434, 150, 435, 150, 449, 150, 448, 149, 454, 150, 458, 
40, 150, 434, 150, 435, 150, 450, 150, 445, 150, 454, 150, 458, 
45, 150, 431, 150, 433, 149, 447, 150, 445, 150, 454, 150, 457, 
50, 150, 429, 150, 432, 149, 446, 150, 442, 149, 452, 150, 457, 
55, 150, 427, 150, 430, 150, 444, 149, 441, 149, 451, 150, 456, 
60, 149, 426, 150, 429, 149, 444, 149, 440, 150, 451, 150, 455, 
65, 150, 424, 149, 427, 149, 441, 149, 439, 150, 450, 150, 454, 
70, 150, 423, 150, 430, 150, 442, 149, 438, 150, 450, 150, 453, 
75, 150, 423, 150, 431, 150, 441, 149, 437, 150, 451, 150, 452, 
80, 150, 423, 150, 434, 150, 440, 149, 436, 150, 450, 150, 453, 
85, 150, 424, 150, 436, 150, 439, 149, 435, 150, 449, 150, 452, 
90, 150, 424, 150, 438, 149, 438, 149, 435, 149, 449, 150, 451, 
95, 150, 426, 150, 439, 149, 438, 150, 437, 150, 448, 149, 451, 
100, 149, 427, 150, 440, 150, 437, 150, 435, 149, 448, 150, 449, 
105, 150, 429, 150, 439, 150, 436, 149, 435, 149, 446, 150, 449, 
110, 150, 430, 150, 439, 149, 435, 150, 434, 150, 447, 150, 450, 
115, 149, 432, 150, 439, 149, 434, 149, 434, 149, 446, 149, 449, 
120, 150, 433, 150, 439, 149, 435, 149, 433, 150, 446, 150, 448, 
125, 150, 435, 150, 438, 150, 434, 150, 432, 150, 445, 150, 448, 
130, 150, 435, 150, 437, 150, 433, 149, 432, 150, 445, 149, 448, 
135, 150, 435, 151, 441, 150, 433, 150, 431, 149, 444, 150, 447, 
140, 150, 436, 150, 436, 150, 433, 149, 429, 150, 443, 150, 446, 
145, 150, 435, 150, 436, 150, 433, 150, 429, 150, 443, 150, 445, 
150, 150, 435, 150, 436, 149, 433, 150, 429, 149, 442, 150, 445, 
155, 150, 435, 150, 435, 149, 432, 149, 428, 150, 441, 150, 444, 
160, 150, 434, 150, 435, 150, 432, 150, 428, 149, 440, 150, 444, 
165, 150, 434, 150, 433, 150, 431, 149, 428, 150, 439, 150, 443, 
170, 150, 434, 150, 433, 150, 432, 150, 428, 150, 438, 150, 443, 
175, 150, 433, 150, 433, 150, 431, 150, 427, 150, 436, 150, 442, 
180, 150, 433, 150, 432, 150, 431, 150, 426, 150, 436, 150, 442, 
185, 149, 432, 150, 432, 150, 430, 150, 425, 150, 433, 150, 442, 
190, 150, 431, 150, 431, 150, 430, 150, 425, 150, 432, 150, 442, 
195, 150, 431, 149, 430, 150, 430, 149, 424, 149, 430, 150, 439, 
200, 150, 430, 150, 430, 150, 429, 150, 423, 150, 429, 150, 440, 
205, 150, 429, 150, 429, 150, 430, 150, 422, 150, 427, 150, 441, 
210, 150, 429, 149, 429, 150, 429, 150, 421, 150, 425, 150, 439, 
215, 150, 429, 150, 428, 150, 428, 150, 420, 150, 424, 150, 438, 
220, 150, 428, 150, 427, 150, 428, 149, 419, 150, 421, 150, 438, 
225, 150, 427, 150, 427, 150, 428, 149, 420, 149, 419, 150, 437, 
230, 150, 426, 149, 426, 150, 428, 149, 418, 149, 417, 150, 439, 
235, 150, 426, 150, 426, 149, 426, 149, 416, 150, 415, 150, 437, 
240, 150, 425, 150, 425, 150, 428, 150, 416, 150, 413, 150, 436, 
245, 149, 425, 150, 424, 150, 428, 150, 413, 150, 411, 150, 437, 
250, 150, 423, 150, 423, 150, 427, 149, 412, 149, 409, 150, 436, 
255, 150, 423, 149, 423, 150, 427, 150, 412, 149, 408, 150, 435, 
260, 150, 422, 150, 423, 150, 427, 150, 410, 150, 406, 150, 434, 
265, 150, 422, 149, 422, 150, 426, 149, 408, 149, 404, 150, 434, 
270, 150, 421, 149, 421, 150, 426, 149, 408, 149, 402, 150, 433, 
275, 150, 420, 148, 416, 150, 424, 150, 406, 149, 400, 150, 433, 
280, 149, 419, 150, 420, 150, 424, 150, 406, 149, 399, 150, 432, 
285, 150, 418, 150, 421, 149, 424, 150, 404, 149, 398, 150, 431, 
290, 150, 417, 149, 419, 149, 423, 150, 403, 150, 395, 150, 430, 
295, 150, 416, 150, 418, 150, 422, 149, 402, 149, 394, 150, 428, 
300, 149, 416, 150, 418, 150, 421, 149, 401, 149, 391, 150, 427, 
305, 150, 415, 150, 417, 149, 420, 150, 400, 149, 390, 150, 426, 
310, 150, 414, 150, 417, 149, 420, 149, 398, 150, 388, 149, 425, 
315, 149, 414, 150, 417, 150, 419, 150, 398, 150, 387, 150, 425, 
320, 150, 412, 150, 417, 149, 418, 149, 396, 150, 385, 150, 423, 
325, 150, 411, 150, 415, 150, 417, 149, 395, 150, 383, 149, 422, 
330, 150, 410, 149, 415, 150, 417, 149, 394, 150, 382, 150, 421, 
