t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 441, 150, 428, 150, 432, 150, 436, 149, 440, 150, 454, 
10, 150, 443, 149, 430, 150, 438, 149, 440, 150, 446, 150, 459, 
15, 150, 444, 150, 432, 150, 439, 149, 442, 149, 447, 150, 460, 
20, 150, 443, 150, 433, 149, 438, 150, 443, 150, 449, 150, 463, 
25, 150, 444, 150, 433, 150, 440, 150, 444, 150, 450, 150, 463, 
30, 150, 444, 150, 435, 150, 440, 150, 445, 150, 450, 150, 463, 
35, 150, 444, 149, 434, 150, 442, 149, 446, 150, 451, 150, 465, 
40, 150, 445, 149, 433, 150, 441, 150, 445, 149, 452, 149, 463, 
45, 150, 444, 150, 434, 150, 442, 150, 445, 150, 450, 150, 462, 
50, 149, 440, 149, 432, 150, 442, 150, 444, 150, 451, 150, 460, 
55, 150, 441, 149, 431, 149, 438, 150, 442, 150, 449, 150, 459, 
60, 150, 440, 149, 430, 150, 440, 149, 440, 150, 448, 149, 458, 
65, 150, 440, 150, 431, 150, 438, 150, 440, 150, 447, 150, 458, 
70, 149, 439, 149, 429, 150, 435, 149, 438, 150, 446, 150, 458, 
75, 150, 440, 150, 430, 150, 437, 149, 437, 150, 444, 149, 457, 
80, 150, 439, 150, 429, 149, 434, 149, 437, 150, 444, 150, 457, 
85, 150, 438, 150, 430, 150, 434, 149, 435, 149, 444, 150, 458, 
90, 150, 439, 150, 430, 150, 431, 149, 436, 150, 443, 149, 459, 
95, 150, 439, 150, 432, 150, 431, 150, 435, 149, 443, 150, 458, 
100, 150, 441, 150, 432, 150, 432, 150, 435, 150, 442, 150, 459, 
105, 149, 444, 150, 436, 150, 431, 150, 434, 150, 442, 150, 457, 
110, 150, 447, 150, 436, 149, 431, 150, 435, 150, 441, 150, 459, 
115, 150, 448, 150, 438, 150, 432, 150, 434, 150, 441, 150, 458, 
120, 150, 451, 149, 440, 150, 432, 149, 433, 150, 441, 150, 459, 
125, 150, 454, 150, 440, 150, 434, 150, 433, 150, 442, 150, 458, 
130, 150, 455, 150, 440, 150, 433, 149, 432, 149, 440, 149, 459, 
135, 150, 456, 150, 442, 150, 431, 150, 432, 149, 440, 150, 460, 
140, 150, 456, 150, 442, 150, 434, 149, 432, 149, 440, 150, 459, 
145, 150, 456, 150, 441, 150, 431, 150, 432, 150, 441, 149, 459, 
150, 150, 455, 150, 443, 150, 430, 150, 432, 150, 440, 149, 459, 
155, 150, 456, 150, 441, 150, 431, 149, 431, 150, 441, 150, 459, 
160, 150, 455, 150, 441, 150, 429, 150, 431, 149, 439, 150, 459, 
165, 150, 454, 149, 440, 150, 431, 150, 430, 149, 440, 150, 459, 
170, 150, 454, 150, 440, 150, 430, 149, 430, 149, 440, 150, 459, 
175, 150, 453, 150, 439, 150, 428, 149, 430, 150, 439, 150, 458, 
180, 150, 452, 150, 439, 150, 428, 150, 430, 150, 439, 150, 458, 
185, 150, 452, 150, 437, 150, 428, 150, 430, 149, 438, 150, 457, 
190, 150, 451, 149, 436, 150, 427, 150, 429, 149, 437, 149, 456, 
195, 150, 450, 149, 435, 150, 429, 150, 431, 149, 437, 150, 456, 
200, 150, 449, 150, 434, 150, 428, 149, 428, 150, 436, 150, 455, 
205, 150, 448, 150, 433, 149, 429, 149, 427, 150, 435, 149, 454, 
210, 150, 446, 150, 432, 149, 427, 149, 427, 150, 435, 150, 453, 
215, 150, 445, 150, 431, 150, 428, 149, 426, 150, 433, 149, 451, 
220, 150, 445, 150, 430, 149, 428, 149, 425, 149, 431, 150, 450, 
225, 149, 444, 150, 429, 150, 429, 149, 424, 149, 430, 150, 450, 
230, 149, 443, 150, 428, 149, 426, 149, 423, 149, 429, 150, 448, 
235, 150, 442, 150, 426, 150, 428, 150, 422, 149, 427, 149, 447, 
240, 150, 441, 149, 425, 150, 427, 150, 422, 150, 426, 150, 447, 
245, 149, 440, 150, 424, 150, 427, 150, 420, 150, 424, 149, 445, 
250, 149, 438, 149, 423, 150, 426, 150, 419, 149, 422, 150, 444, 
255, 150, 438, 150, 423, 150, 427, 150, 418, 150, 420, 149, 444, 
260, 150, 438, 150, 421, 149, 426, 150, 416, 150, 418, 149, 441, 
265, 150, 436, 150, 420, 150, 426, 150, 415, 149, 416, 149, 442, 
270, 150, 435, 150, 419, 150, 425, 150, 413, 149, 415, 150, 441, 
275, 149, 434, 150, 418, 150, 425, 149, 412, 149, 413, 150, 439, 
280, 150, 433, 150, 416, 149, 424, 149, 409, 150, 412, 149, 439, 
285, 150, 433, 150, 415, 150, 423, 149, 406, 149, 410, 149, 438, 
290, 150, 431, 150, 414, 150, 423, 150, 404, 149, 408, 150, 436, 
295, 150, 431, 149, 413, 149, 422, 149, 402, 150, 406, 150, 435, 
300, 150, 430, 150, 411, 150, 422, 149, 400, 150, 405, 149, 434, 
305, 150, 429, 150, 410, 150, 421, 149, 398, 150, 403, 149, 433, 
310, 150, 429, 149, 409, 149, 418, 150, 397, 150, 400, 149, 431, 
315, 150, 427, 150, 408, 150, 419, 150, 395, 150, 399, 150, 430, 
320, 149, 426, 150, 407, 149, 418, 150, 394, 150, 396, 150, 429, 
325, 150, 426, 150, 406, 150, 418, 150, 393, 150, 395, 150, 427, 
330, 150, 425, 150, 405, 150, 417, 150, 391, 150, 392, 150, 426, 
