t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 476, 150, 466, 150, 483, 150, 489, 150, 479, 150, 486, 
10, 150, 478, 150, 469, 149, 487, 150, 493, 149, 484, 149, 492, 
15, 150, 479, 150, 471, 149, 488, 149, 497, 150, 487, 150, 495, 
20, 150, 479, 149, 472, 150, 490, 149, 499, 150, 489, 150, 496, 
25, 149, 479, 149, 473, 150, 493, 149, 500, 149, 491, 150, 500, 
30, 150, 478, 150, 472, 150, 490, 150, 500, 150, 492, 150, 500, 
35, 150, 475, 150, 470, 150, 490, 149, 499, 150, 491, 150, 500, 
40, 150, 475, 150, 470, 150, 491, 150, 500, 149, 491, 150, 501, 
45, 150, 476, 150, 471, 150, 490, 150, 500, 150, 493, 150, 503, 
50, 150, 475, 150, 471, 150, 490, 150, 500, 149, 494, 150, 504, 
55, 149, 475, 150, 471, 150, 490, 150, 501, 150, 495, 149, 504, 
60, 150, 475, 150, 471, 150, 489, 150, 500, 150, 495, 150, 505, 
65, 150, 473, 150, 470, 150, 488, 150, 497, 150, 496, 149, 505, 
70, 149, 473, 150, 469, 149, 489, 150, 496, 150, 496, 149, 505, 
75, 150, 473, 150, 469, 150, 489, 150, 494, 150, 497, 149, 503, 
80, 150, 472, 150, 468, 150, 487, 149, 493, 150, 495, 150, 504, 
85, 150, 470, 150, 468, 150, 485, 149, 492, 149, 494, 149, 502, 
90, 149, 470, 150, 467, 150, 484, 150, 492, 149, 494, 150, 503, 
95, 150, 469, 150, 467, 150, 484, 149, 491, 150, 493, 149, 501, 
100, 149, 468, 150, 467, 150, 483, 149, 491, 150, 492, 150, 501, 
105, 150, 468, 150, 466, 150, 483, 149, 490, 149, 492, 150, 500, 
110, 150, 468, 151, 470, 150, 483, 150, 492, 150, 490, 149, 499, 
115, 150, 467, 150, 465, 150, 482, 150, 490, 149, 490, 150, 499, 
120, 150, 466, 150, 464, 150, 481, 149, 492, 149, 489, 150, 498, 
125, 150, 465, 150, 464, 149, 483, 149, 493, 149, 489, 150, 498, 
130, 150, 463, 150, 463, 149, 483, 150, 492, 149, 489, 150, 498, 
135, 150, 464, 150, 463, 150, 482, 149, 493, 149, 489, 150, 499, 
140, 150, 463, 150, 464, 150, 482, 150, 495, 150, 489, 150, 497, 
145, 150, 462, 150, 463, 150, 483, 150, 495, 149, 489, 150, 498, 
150, 150, 462, 150, 463, 150, 483, 149, 495, 149, 490, 150, 497, 
155, 150, 463, 149, 462, 150, 484, 150, 497, 150, 490, 150, 497, 
160, 150, 462, 150, 463, 149, 484, 150, 497, 149, 491, 150, 496, 
165, 150, 461, 150, 463, 149, 483, 149, 499, 150, 491, 150, 496, 
170, 149, 460, 150, 463, 150, 484, 150, 499, 150, 491, 150, 497, 
175, 150, 462, 150, 463, 150, 484, 149, 500, 150, 492, 150, 496, 
180, 150, 461, 150, 464, 150, 485, 149, 500, 149, 492, 150, 497, 
185, 150, 461, 150, 464, 150, 485, 150, 501, 150, 492, 149, 495, 
190, 150, 462, 149, 463, 150, 486, 150, 503, 149, 493, 150, 496, 
195, 150, 462, 150, 463, 149, 486, 149, 503, 149, 493, 150, 496, 
200, 150, 462, 150, 464, 149, 487, 150, 504, 150, 495, 150, 497, 
205, 150, 463, 149, 464, 150, 488, 150, 504, 149, 494, 150, 497, 
210, 150, 463, 150, 464, 149, 489, 149, 505, 150, 495, 150, 496, 
215, 150, 464, 150, 464, 150, 487, 149, 505, 149, 496, 150, 496, 
220, 149, 463, 150, 465, 150, 490, 149, 506, 149, 496, 150, 496, 
225, 150, 464, 150, 465, 150, 494, 150, 508, 150, 497, 150, 495, 
230, 150, 464, 150, 464, 150, 490, 149, 508, 150, 497, 150, 497, 
235, 150, 465, 150, 465, 150, 491, 150, 508, 150, 497, 150, 496, 
240, 150, 465, 150, 466, 150, 492, 150, 510, 150, 498, 150, 497, 
245, 150, 466, 150, 465, 149, 492, 150, 509, 150, 499, 150, 497, 
250, 150, 466, 150, 466, 150, 492, 150, 510, 149, 499, 150, 497, 
255, 149, 466, 150, 465, 149, 495, 150, 511, 149, 500, 150, 497, 
260, 150, 467, 151, 469, 150, 494, 149, 510, 149, 501, 149, 495, 
265, 150, 468, 150, 465, 150, 495, 150, 511, 149, 501, 150, 497, 
270, 150, 468, 150, 465, 150, 495, 150, 512, 150, 502, 149, 497, 
275, 150, 468, 150, 465, 150, 495, 150, 511, 149, 502, 150, 495, 
280, 150, 469, 149, 465, 150, 497, 149, 512, 150, 503, 150, 495, 
285, 150, 469, 150, 464, 150, 497, 150, 512, 150, 504, 150, 495, 
290, 150, 469, 150, 465, 150, 496, 150, 513, 150, 505, 150, 495, 
295, 150, 469, 150, 465, 150, 496, 150, 512, 149, 505, 149, 494, 
300, 150, 470, 150, 464, 150, 497, 149, 511, 150, 506, 149, 495, 
305, 150, 471, 150, 464, 150, 498, 149, 511, 149, 505, 150, 493, 
310, 150, 470, 150, 464, 150, 496, 149, 511, 149, 505, 150, 494, 
315, 150, 471, 150, 463, 149, 497, 149, 509, 149, 506, 149, 492, 
320, 150, 471, 150, 464, 150, 497, 149, 511, 149, 507, 150, 492, 
325, 150, 472, 150, 463, 148, 494, 149, 510, 149, 506, 149, 492, 
330, 150, 472, 150, 463, 150, 498, 149, 509, 150, 507, 150, 491, 
