t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 473, 150, 451, 149, 462, 149, 465, 150, 460, 150, 467, 
10, 150, 475, 149, 454, 150, 468, 149, 470, 150, 465, 150, 472, 
15, 150, 475, 150, 456, 150, 470, 150, 473, 150, 467, 150, 475, 
20, 150, 476, 150, 458, 150, 473, 149, 474, 150, 470, 150, 477, 
25, 150, 477, 150, 458, 150, 473, 150, 476, 150, 472, 149, 479, 
30, 150, 480, 149, 461, 150, 475, 150, 478, 149, 472, 150, 483, 
35, 150, 484, 150, 464, 150, 478, 150, 480, 149, 474, 149, 483, 
40, 150, 476, 150, 458, 150, 474, 150, 477, 150, 473, 150, 482, 
45, 150, 473, 148, 451, 150, 473, 149, 477, 150, 473, 150, 482, 
50, 150, 473, 150, 455, 150, 471, 150, 476, 150, 473, 150, 482, 
55, 150, 471, 150, 454, 150, 470, 149, 474, 149, 473, 150, 482, 
60, 150, 470, 150, 452, 151, 473, 150, 475, 149, 473, 150, 482, 
65, 150, 469, 150, 451, 149, 468, 149, 470, 150, 473, 150, 482, 
70, 150, 470, 150, 450, 150, 469, 149, 471, 149, 474, 150, 485, 
75, 150, 468, 149, 449, 150, 468, 149, 468, 149, 473, 150, 482, 
80, 150, 467, 150, 447, 150, 466, 149, 467, 149, 471, 150, 481, 
85, 150, 466, 150, 446, 149, 464, 150, 466, 150, 471, 150, 480, 
90, 150, 465, 150, 445, 150, 463, 150, 464, 149, 470, 150, 479, 
95, 149, 469, 150, 448, 150, 465, 149, 466, 150, 471, 150, 479, 
100, 150, 473, 150, 451, 150, 467, 149, 466, 149, 472, 150, 482, 
105, 149, 474, 150, 452, 150, 468, 150, 466, 149, 472, 149, 479, 
110, 149, 474, 150, 452, 150, 468, 150, 466, 149, 471, 150, 477, 
115, 150, 474, 150, 453, 150, 470, 150, 467, 150, 472, 150, 479, 
120, 150, 474, 150, 453, 150, 467, 150, 466, 150, 471, 150, 477, 
125, 150, 473, 149, 453, 150, 469, 150, 466, 149, 471, 150, 476, 
130, 149, 474, 149, 454, 150, 467, 149, 467, 149, 471, 150, 476, 
135, 150, 474, 150, 454, 150, 469, 150, 467, 150, 472, 150, 476, 
140, 150, 472, 150, 455, 150, 469, 149, 468, 149, 472, 150, 476, 
145, 150, 473, 150, 455, 150, 469, 149, 469, 150, 473, 150, 475, 
150, 150, 473, 150, 458, 149, 469, 150, 469, 149, 472, 150, 474, 
155, 150, 473, 150, 458, 149, 470, 150, 470, 149, 472, 150, 475, 
160, 150, 474, 150, 459, 150, 471, 149, 471, 150, 473, 150, 474, 
165, 150, 475, 150, 460, 150, 472, 150, 472, 149, 473, 150, 474, 
170, 150, 475, 150, 462, 150, 471, 150, 474, 150, 474, 149, 474, 
175, 150, 476, 150, 461, 150, 473, 149, 474, 150, 473, 149, 473, 
180, 150, 476, 150, 463, 150, 473, 149, 475, 150, 473, 150, 473, 
185, 150, 478, 150, 463, 150, 475, 150, 476, 150, 474, 150, 473, 
190, 150, 479, 150, 465, 149, 472, 149, 478, 149, 474, 150, 473, 
195, 150, 479, 150, 467, 149, 475, 150, 478, 150, 475, 150, 472, 
200, 150, 481, 149, 466, 150, 478, 149, 479, 150, 474, 150, 472, 
205, 150, 482, 150, 468, 150, 477, 149, 480, 150, 474, 150, 472, 
210, 150, 482, 150, 469, 150, 479, 149, 480, 149, 473, 150, 472, 
215, 150, 482, 150, 468, 150, 479, 149, 482, 150, 474, 150, 471, 
220, 150, 483, 150, 472, 150, 480, 149, 483, 150, 474, 149, 472, 
225, 150, 485, 150, 472, 150, 480, 149, 483, 150, 473, 150, 471, 
230, 150, 486, 150, 473, 150, 480, 149, 484, 149, 472, 149, 470, 
235, 150, 486, 150, 474, 150, 482, 149, 484, 149, 471, 149, 471, 
240, 150, 488, 150, 474, 149, 482, 149, 484, 150, 472, 150, 471, 
245, 150, 488, 150, 475, 150, 483, 149, 484, 150, 471, 150, 470, 
250, 150, 489, 150, 477, 150, 483, 149, 484, 150, 472, 150, 469, 
255, 150, 491, 149, 476, 150, 484, 149, 486, 149, 471, 150, 470, 
260, 150, 490, 150, 476, 149, 482, 149, 485, 149, 470, 150, 469, 
265, 150, 491, 150, 477, 150, 483, 150, 486, 149, 470, 150, 469, 
270, 150, 491, 150, 478, 149, 484, 149, 486, 150, 470, 150, 468, 
275, 150, 492, 149, 479, 150, 483, 149, 486, 150, 470, 149, 466, 
280, 150, 492, 149, 478, 150, 484, 149, 486, 150, 470, 150, 468, 
285, 150, 491, 150, 478, 149, 483, 149, 485, 150, 469, 150, 467, 
290, 150, 491, 150, 479, 150, 483, 150, 484, 150, 468, 149, 465, 
295, 150, 492, 149, 478, 149, 481, 149, 484, 150, 468, 150, 464, 
300, 150, 492, 149, 477, 149, 482, 149, 484, 150, 467, 150, 465, 
305, 150, 493, 150, 477, 149, 484, 150, 483, 150, 466, 150, 463, 
310, 150, 493, 150, 476, 150, 482, 150, 484, 150, 465, 150, 464, 
315, 150, 493, 150, 476, 150, 484, 150, 483, 150, 465, 150, 462, 
320, 150, 494, 150, 475, 150, 482, 149, 483, 149, 464, 150, 461, 
325, 150, 493, 150, 475, 150, 482, 150, 482, 150, 464, 150, 462, 
330, 150, 493, 150, 475, 149, 480, 149, 483, 150, 464, 149, 462, 
