t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 467, 150, 454, 149, 464, 150, 460, 149, 453, 150, 456, 
10, 150, 470, 150, 459, 150, 471, 149, 466, 150, 458, 150, 462, 
15, 149, 473, 150, 462, 149, 475, 149, 468, 149, 462, 150, 465, 
20, 150, 473, 148, 461, 150, 478, 150, 471, 149, 464, 150, 467, 
25, 150, 474, 150, 465, 149, 478, 149, 472, 150, 465, 150, 469, 
30, 150, 473, 150, 466, 149, 479, 150, 473, 149, 466, 150, 470, 
35, 150, 472, 150, 467, 150, 480, 150, 473, 149, 466, 150, 470, 
40, 150, 470, 150, 466, 150, 481, 149, 473, 150, 467, 150, 472, 
45, 150, 467, 150, 465, 150, 480, 149, 472, 149, 467, 150, 473, 
50, 150, 464, 150, 464, 150, 479, 149, 470, 150, 467, 150, 474, 
55, 150, 463, 150, 463, 150, 477, 149, 467, 149, 464, 149, 472, 
60, 150, 461, 150, 459, 150, 475, 149, 465, 149, 464, 150, 470, 
65, 150, 459, 150, 459, 150, 474, 149, 461, 150, 463, 150, 471, 
70, 150, 456, 150, 459, 150, 471, 150, 457, 150, 461, 150, 470, 
75, 149, 455, 150, 455, 150, 468, 150, 455, 149, 460, 150, 470, 
80, 150, 452, 150, 454, 149, 466, 150, 452, 150, 458, 150, 470, 
85, 150, 451, 150, 452, 150, 463, 149, 450, 150, 456, 150, 468, 
90, 150, 451, 149, 450, 150, 462, 149, 448, 149, 455, 149, 466, 
95, 150, 452, 150, 449, 150, 461, 149, 447, 149, 454, 150, 463, 
100, 150, 449, 150, 447, 150, 460, 150, 446, 150, 453, 149, 464, 
105, 150, 451, 150, 446, 150, 458, 149, 445, 150, 452, 150, 462, 
110, 150, 449, 150, 445, 149, 458, 150, 445, 150, 452, 150, 462, 
115, 150, 450, 150, 444, 150, 458, 150, 444, 149, 451, 149, 459, 
120, 150, 449, 150, 444, 150, 457, 150, 445, 150, 450, 150, 459, 
125, 150, 449, 150, 443, 150, 458, 149, 444, 149, 450, 150, 459, 
130, 150, 450, 149, 444, 149, 458, 149, 444, 149, 449, 150, 459, 
135, 150, 450, 150, 445, 150, 459, 149, 444, 150, 449, 150, 458, 
140, 149, 450, 150, 444, 150, 459, 150, 446, 149, 449, 149, 457, 
145, 150, 452, 150, 444, 150, 460, 149, 445, 149, 449, 150, 459, 
150, 150, 451, 149, 444, 150, 460, 150, 446, 150, 448, 150, 459, 
155, 150, 453, 150, 444, 149, 461, 149, 446, 149, 448, 150, 459, 
160, 150, 453, 150, 445, 150, 462, 149, 446, 150, 448, 149, 459, 
165, 150, 455, 150, 445, 150, 464, 149, 447, 150, 448, 150, 459, 
170, 150, 455, 150, 445, 150, 465, 149, 448, 149, 447, 150, 460, 
175, 150, 456, 150, 446, 150, 466, 149, 449, 150, 447, 149, 460, 
180, 149, 455, 150, 447, 150, 465, 150, 449, 150, 447, 150, 460, 
185, 149, 457, 150, 448, 150, 468, 149, 450, 149, 447, 149, 462, 
190, 150, 458, 149, 448, 150, 469, 150, 451, 149, 447, 150, 461, 
195, 150, 459, 150, 449, 150, 468, 150, 451, 150, 446, 150, 462, 
200, 149, 461, 150, 449, 149, 470, 150, 451, 149, 445, 149, 463, 
205, 150, 461, 149, 450, 150, 470, 150, 451, 149, 445, 150, 464, 
210, 150, 462, 150, 451, 150, 471, 150, 452, 150, 445, 149, 464, 
215, 150, 462, 150, 450, 150, 471, 149, 452, 150, 444, 149, 465, 
220, 150, 464, 150, 451, 150, 472, 149, 452, 150, 444, 150, 466, 
225, 150, 464, 150, 452, 150, 471, 150, 452, 150, 443, 150, 467, 
230, 150, 465, 150, 452, 150, 473, 150, 452, 150, 443, 150, 467, 
235, 149, 465, 150, 452, 150, 472, 149, 453, 150, 443, 149, 467, 
240, 150, 465, 150, 451, 150, 474, 149, 452, 149, 442, 150, 468, 
245, 150, 466, 150, 451, 150, 474, 149, 452, 149, 441, 150, 469, 
250, 150, 467, 150, 452, 150, 472, 150, 452, 150, 443, 150, 468, 
255, 150, 466, 150, 451, 150, 471, 149, 453, 150, 440, 150, 469, 
260, 150, 466, 150, 451, 149, 471, 149, 452, 149, 439, 150, 469, 
265, 149, 466, 150, 452, 150, 472, 149, 452, 150, 439, 149, 469, 
270, 150, 467, 150, 451, 149, 471, 150, 452, 149, 438, 150, 470, 
275, 150, 467, 150, 451, 150, 472, 150, 451, 150, 437, 150, 470, 
280, 149, 466, 150, 452, 150, 469, 149, 450, 150, 437, 150, 469, 
285, 150, 466, 150, 450, 150, 467, 149, 450, 149, 435, 150, 468, 
290, 150, 465, 150, 449, 149, 467, 149, 449, 149, 434, 150, 467, 
295, 150, 465, 150, 449, 149, 466, 150, 449, 150, 435, 150, 468, 
300, 150, 463, 150, 449, 149, 465, 150, 447, 150, 433, 150, 467, 
305, 150, 463, 150, 449, 149, 464, 150, 446, 150, 432, 149, 465, 
310, 150, 462, 150, 449, 150, 464, 150, 446, 150, 431, 150, 465, 
315, 150, 461, 149, 448, 150, 464, 150, 445, 150, 430, 150, 463, 
320, 150, 460, 150, 448, 150, 461, 149, 444, 149, 429, 150, 464, 
325, 150, 460, 150, 447, 150, 462, 149, 442, 150, 427, 150, 462, 
330, 150, 458, 149, 446, 150, 458, 149, 441, 149, 426, 149, 461, 
