t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 514, 150, 509, 149, 514, 150, 524, 149, 520, 150, 516, 
10, 150, 518, 150, 513, 150, 520, 149, 528, 149, 525, 150, 524, 
15, 150, 520, 150, 515, 150, 523, 149, 532, 150, 530, 149, 523, 
20, 150, 521, 150, 518, 150, 525, 150, 533, 149, 531, 150, 526, 
25, 150, 522, 150, 518, 149, 525, 150, 536, 149, 534, 150, 530, 
30, 150, 523, 150, 520, 149, 527, 149, 538, 150, 536, 150, 530, 
35, 150, 521, 149, 521, 150, 527, 150, 539, 149, 536, 150, 531, 
40, 150, 522, 150, 520, 150, 527, 149, 537, 150, 537, 150, 532, 
45, 149, 518, 150, 519, 150, 526, 149, 538, 149, 538, 150, 531, 
50, 150, 520, 149, 519, 150, 524, 150, 538, 150, 540, 149, 533, 
55, 150, 519, 150, 517, 150, 526, 149, 536, 150, 540, 150, 531, 
60, 150, 515, 150, 516, 150, 524, 149, 533, 149, 540, 149, 532, 
65, 150, 515, 150, 516, 150, 524, 150, 531, 149, 539, 150, 531, 
70, 150, 513, 149, 515, 150, 522, 149, 530, 149, 539, 149, 532, 
75, 150, 513, 150, 514, 149, 519, 150, 527, 149, 537, 150, 529, 
80, 150, 511, 149, 513, 149, 518, 150, 528, 149, 536, 150, 529, 
85, 150, 509, 150, 512, 150, 517, 149, 524, 149, 534, 150, 527, 
90, 150, 509, 150, 511, 150, 516, 150, 524, 149, 532, 150, 527, 
95, 149, 508, 150, 510, 150, 514, 150, 526, 149, 532, 150, 526, 
100, 150, 506, 150, 507, 149, 513, 149, 523, 149, 531, 149, 524, 
105, 150, 506, 150, 508, 150, 512, 150, 524, 149, 531, 149, 523, 
110, 149, 503, 150, 508, 150, 513, 150, 523, 149, 528, 150, 523, 
115, 150, 501, 150, 507, 150, 512, 149, 524, 150, 530, 150, 522, 
120, 150, 503, 150, 506, 150, 514, 150, 522, 151, 532, 150, 521, 
125, 150, 501, 150, 506, 150, 510, 149, 523, 149, 530, 149, 521, 
130, 150, 499, 150, 506, 149, 513, 150, 522, 150, 529, 150, 520, 
135, 149, 501, 150, 505, 150, 513, 149, 523, 150, 528, 150, 521, 
140, 150, 499, 150, 506, 149, 511, 150, 522, 149, 528, 149, 519, 
145, 150, 502, 150, 504, 149, 514, 149, 523, 149, 526, 150, 519, 
150, 150, 501, 150, 506, 149, 512, 150, 524, 150, 529, 150, 518, 
155, 150, 501, 149, 504, 149, 515, 150, 524, 150, 529, 150, 519, 
160, 150, 500, 150, 505, 150, 513, 149, 523, 149, 528, 149, 518, 
165, 150, 499, 151, 507, 150, 514, 149, 526, 149, 529, 150, 519, 
170, 149, 500, 149, 504, 150, 517, 149, 525, 149, 527, 149, 518, 
175, 150, 502, 150, 503, 150, 517, 150, 526, 150, 529, 149, 518, 
180, 150, 502, 150, 506, 150, 515, 149, 526, 149, 531, 150, 518, 
185, 150, 503, 150, 504, 150, 515, 149, 527, 149, 532, 150, 517, 
190, 150, 502, 150, 503, 149, 519, 149, 528, 149, 532, 150, 517, 
195, 150, 501, 150, 506, 150, 517, 150, 529, 149, 531, 150, 517, 
200, 150, 502, 150, 503, 150, 518, 150, 528, 149, 534, 150, 517, 
205, 150, 502, 150, 503, 150, 519, 149, 530, 149, 531, 150, 516, 
210, 149, 500, 150, 503, 149, 516, 149, 531, 149, 534, 150, 515, 
215, 150, 501, 150, 502, 150, 519, 150, 529, 149, 531, 149, 515, 
220, 150, 501, 150, 503, 150, 517, 149, 530, 150, 534, 150, 515, 
225, 150, 502, 150, 503, 150, 519, 150, 530, 150, 531, 149, 513, 
230, 150, 501, 150, 500, 150, 518, 149, 531, 150, 537, 150, 512, 
235, 149, 501, 150, 498, 150, 520, 150, 529, 150, 536, 150, 512, 
240, 150, 501, 150, 499, 151, 523, 149, 531, 150, 532, 149, 511, 
245, 150, 501, 150, 498, 149, 514, 149, 530, 149, 530, 149, 510, 
250, 150, 501, 150, 498, 149, 517, 150, 531, 150, 532, 150, 509, 
255, 150, 500, 149, 500, 150, 517, 149, 530, 149, 530, 150, 507, 
260, 150, 499, 150, 495, 150, 516, 149, 529, 149, 528, 150, 507, 
265, 150, 498, 150, 496, 149, 513, 149, 529, 150, 531, 149, 506, 
270, 150, 498, 150, 497, 150, 513, 149, 528, 149, 529, 150, 505, 
275, 150, 497, 150, 493, 150, 514, 149, 528, 150, 531, 150, 504, 
280, 150, 497, 150, 495, 150, 511, 150, 527, 150, 526, 150, 503, 
285, 150, 494, 150, 495, 150, 511, 150, 527, 149, 526, 150, 501, 
290, 150, 495, 150, 493, 149, 510, 149, 526, 149, 527, 150, 500, 
295, 150, 494, 150, 491, 150, 509, 149, 525, 149, 523, 149, 500, 
300, 150, 492, 150, 495, 150, 506, 150, 524, 149, 525, 150, 498, 
305, 150, 492, 150, 491, 150, 506, 150, 523, 149, 518, 150, 497, 
310, 150, 490, 150, 491, 150, 502, 149, 522, 149, 515, 150, 495, 
315, 150, 490, 150, 487, 150, 501, 150, 522, 150, 520, 149, 494, 
320, 150, 489, 150, 487, 150, 500, 150, 520, 150, 516, 149, 493, 
325, 150, 488, 150, 490, 150, 499, 150, 520, 150, 514, 150, 492, 
330, 150, 486, 150, 487, 150, 497, 149, 518, 149, 512, 149, 490, 
