t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 487, 150, 488, 150, 489, 149, 491, 149, 489, 149, 482, 
10, 150, 491, 149, 491, 149, 493, 150, 495, 150, 492, 149, 487, 
15, 150, 492, 150, 493, 150, 493, 150, 497, 149, 496, 150, 487, 
20, 150, 493, 150, 494, 150, 496, 149, 496, 149, 498, 150, 489, 
25, 150, 493, 150, 495, 150, 498, 150, 500, 149, 499, 150, 489, 
30, 150, 494, 150, 496, 150, 497, 149, 501, 150, 501, 150, 491, 
35, 149, 491, 150, 496, 150, 498, 149, 500, 149, 500, 150, 491, 
40, 150, 491, 150, 496, 149, 495, 150, 502, 149, 501, 150, 492, 
45, 150, 489, 150, 497, 149, 499, 149, 502, 150, 501, 150, 493, 
50, 150, 490, 150, 497, 150, 498, 149, 502, 149, 502, 150, 494, 
55, 150, 489, 150, 496, 150, 497, 149, 502, 150, 501, 149, 494, 
60, 150, 488, 150, 495, 150, 496, 149, 500, 150, 504, 149, 495, 
65, 150, 486, 150, 494, 150, 495, 149, 498, 149, 503, 150, 494, 
70, 150, 485, 150, 493, 150, 495, 149, 496, 149, 502, 150, 494, 
75, 150, 484, 150, 493, 150, 494, 150, 494, 150, 504, 150, 492, 
80, 150, 485, 150, 492, 150, 492, 150, 494, 150, 504, 150, 491, 
85, 149, 482, 150, 491, 150, 493, 150, 492, 150, 503, 149, 491, 
90, 150, 482, 150, 491, 149, 491, 150, 492, 150, 503, 150, 491, 
95, 150, 481, 149, 490, 150, 492, 149, 492, 149, 501, 150, 490, 
100, 150, 482, 150, 490, 150, 489, 150, 492, 150, 499, 150, 490, 
105, 150, 480, 149, 491, 150, 491, 149, 493, 149, 499, 149, 489, 
110, 150, 481, 150, 493, 150, 490, 150, 493, 149, 498, 149, 489, 
115, 150, 480, 150, 492, 150, 489, 149, 493, 150, 498, 150, 489, 
120, 150, 479, 150, 493, 150, 489, 149, 494, 149, 496, 150, 488, 
125, 150, 479, 150, 493, 150, 487, 150, 494, 149, 495, 150, 487, 
130, 150, 481, 150, 494, 150, 489, 149, 495, 150, 496, 150, 488, 
135, 150, 481, 149, 494, 150, 488, 150, 495, 149, 497, 150, 488, 
140, 149, 480, 150, 495, 150, 489, 149, 497, 149, 496, 150, 488, 
145, 149, 481, 149, 496, 150, 490, 150, 498, 150, 497, 149, 486, 
150, 150, 481, 150, 497, 150, 489, 150, 499, 149, 496, 150, 488, 
155, 149, 481, 149, 498, 150, 489, 149, 500, 149, 497, 150, 487, 
160, 150, 481, 150, 499, 150, 493, 150, 502, 150, 497, 150, 488, 
165, 150, 482, 149, 500, 150, 491, 149, 502, 149, 497, 150, 488, 
170, 149, 481, 150, 501, 150, 495, 150, 504, 149, 496, 150, 489, 
175, 150, 482, 150, 502, 150, 494, 149, 505, 150, 497, 150, 489, 
180, 150, 483, 149, 503, 150, 498, 150, 507, 150, 500, 149, 489, 
185, 150, 482, 150, 502, 150, 497, 150, 507, 150, 499, 150, 489, 
190, 150, 482, 150, 503, 149, 497, 150, 510, 149, 500, 149, 488, 
195, 150, 484, 150, 504, 150, 503, 150, 510, 150, 502, 149, 489, 
200, 150, 483, 150, 504, 150, 504, 149, 511, 149, 503, 150, 489, 
205, 150, 483, 150, 505, 149, 502, 149, 513, 149, 503, 150, 489, 
210, 150, 482, 149, 505, 149, 506, 150, 513, 149, 505, 150, 488, 
215, 150, 482, 150, 506, 150, 510, 149, 514, 150, 505, 150, 488, 
220, 150, 482, 150, 507, 149, 509, 149, 515, 149, 504, 150, 488, 
225, 150, 481, 150, 507, 149, 510, 149, 515, 150, 505, 149, 489, 
230, 150, 482, 150, 509, 150, 511, 149, 515, 149, 506, 149, 489, 
235, 150, 482, 150, 509, 150, 514, 150, 516, 150, 506, 150, 489, 
240, 150, 481, 150, 510, 149, 515, 150, 516, 150, 506, 150, 488, 
245, 150, 481, 150, 510, 149, 515, 150, 516, 149, 508, 149, 488, 
250, 150, 481, 149, 511, 149, 516, 149, 515, 149, 508, 150, 486, 
255, 150, 480, 149, 512, 150, 516, 149, 515, 149, 509, 149, 487, 
260, 150, 480, 150, 512, 150, 518, 149, 515, 150, 507, 150, 486, 
265, 149, 480, 150, 513, 150, 517, 149, 514, 150, 508, 150, 486, 
270, 150, 480, 150, 514, 150, 517, 149, 514, 149, 507, 149, 485, 
275, 150, 480, 150, 515, 150, 519, 149, 514, 149, 507, 150, 485, 
280, 150, 480, 150, 516, 149, 516, 149, 513, 149, 507, 150, 485, 
285, 150, 480, 150, 515, 150, 518, 150, 513, 150, 507, 150, 485, 
290, 150, 480, 150, 517, 150, 518, 150, 513, 150, 508, 150, 485, 
295, 150, 479, 150, 516, 149, 518, 150, 511, 149, 506, 150, 485, 
300, 150, 480, 150, 516, 150, 517, 149, 511, 149, 506, 150, 483, 
305, 150, 479, 150, 516, 150, 518, 149, 510, 149, 507, 149, 483, 
310, 150, 478, 150, 517, 150, 516, 149, 509, 149, 504, 150, 483, 
315, 150, 479, 150, 517, 149, 516, 149, 509, 149, 504, 150, 482, 
320, 149, 478, 150, 516, 150, 517, 150, 507, 150, 504, 150, 481, 
325, 150, 477, 150, 517, 150, 515, 150, 506, 149, 504, 150, 481, 
330, 150, 477, 150, 515, 150, 514, 150, 506, 149, 502, 150, 480, 
