t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 484, 148, 472, 150, 503, 149, 487, 149, 480, 150, 476, 
10, 150, 486, 150, 482, 150, 508, 150, 493, 150, 484, 150, 480, 
15, 149, 486, 150, 485, 150, 509, 150, 493, 150, 488, 149, 482, 
20, 150, 487, 150, 484, 149, 511, 149, 494, 149, 488, 150, 484, 
25, 149, 486, 149, 484, 150, 511, 149, 496, 150, 487, 150, 484, 
30, 150, 486, 150, 483, 150, 512, 149, 497, 150, 488, 150, 486, 
35, 150, 486, 150, 484, 150, 512, 150, 497, 149, 488, 150, 484, 
40, 150, 486, 149, 483, 150, 511, 150, 497, 150, 487, 150, 485, 
45, 150, 485, 149, 482, 150, 511, 149, 498, 149, 488, 150, 485, 
50, 150, 484, 150, 483, 150, 510, 149, 498, 149, 487, 150, 486, 
55, 150, 484, 150, 482, 149, 509, 150, 496, 149, 488, 150, 486, 
60, 150, 483, 150, 481, 150, 508, 150, 494, 149, 488, 150, 486, 
65, 150, 482, 150, 481, 150, 506, 150, 493, 149, 488, 150, 485, 
70, 150, 480, 151, 484, 150, 505, 150, 491, 150, 488, 150, 485, 
75, 150, 478, 150, 479, 150, 504, 150, 490, 150, 488, 150, 482, 
80, 150, 478, 150, 478, 149, 501, 150, 489, 150, 488, 150, 482, 
85, 150, 476, 150, 477, 150, 501, 150, 490, 150, 486, 149, 480, 
90, 150, 475, 150, 476, 150, 501, 150, 488, 149, 486, 150, 481, 
95, 149, 473, 150, 475, 150, 500, 150, 487, 149, 485, 150, 481, 
100, 150, 471, 150, 475, 150, 499, 150, 487, 150, 486, 150, 479, 
105, 150, 471, 150, 474, 150, 498, 150, 486, 150, 484, 149, 478, 
110, 150, 469, 150, 474, 150, 499, 149, 486, 149, 484, 150, 477, 
115, 150, 469, 149, 473, 151, 502, 149, 486, 150, 483, 149, 477, 
120, 150, 468, 150, 474, 150, 499, 149, 484, 150, 483, 150, 476, 
125, 150, 468, 150, 474, 150, 499, 150, 486, 150, 482, 150, 476, 
130, 149, 468, 150, 474, 150, 498, 150, 486, 149, 481, 150, 475, 
135, 150, 468, 150, 474, 150, 499, 150, 486, 150, 481, 150, 475, 
140, 150, 468, 150, 475, 149, 498, 149, 487, 149, 481, 150, 475, 
145, 150, 468, 150, 475, 150, 499, 149, 487, 150, 480, 150, 475, 
150, 149, 468, 150, 475, 150, 498, 149, 487, 150, 480, 150, 475, 
155, 150, 469, 150, 476, 149, 500, 149, 488, 150, 479, 150, 474, 
160, 150, 470, 150, 476, 150, 500, 150, 488, 149, 479, 149, 474, 
165, 150, 470, 150, 477, 150, 501, 149, 487, 150, 477, 149, 475, 
170, 150, 470, 149, 475, 150, 501, 149, 490, 150, 477, 149, 474, 
175, 150, 470, 150, 479, 150, 502, 150, 490, 150, 476, 150, 476, 
180, 150, 470, 150, 480, 150, 502, 150, 488, 149, 476, 149, 474, 
185, 150, 471, 150, 478, 149, 503, 150, 491, 149, 476, 150, 473, 
190, 150, 473, 150, 479, 150, 505, 149, 491, 150, 476, 150, 472, 
195, 150, 473, 150, 479, 150, 506, 149, 491, 150, 477, 150, 471, 
200, 150, 473, 150, 479, 150, 506, 150, 491, 150, 474, 150, 471, 
205, 150, 474, 149, 478, 150, 506, 150, 490, 150, 474, 150, 471, 
210, 149, 474, 150, 478, 150, 508, 149, 492, 150, 474, 150, 470, 
215, 150, 475, 150, 478, 150, 508, 149, 490, 150, 474, 150, 469, 
220, 149, 474, 150, 477, 150, 507, 150, 491, 150, 474, 150, 469, 
225, 150, 476, 150, 477, 150, 508, 150, 490, 150, 474, 149, 467, 
230, 149, 475, 150, 478, 150, 508, 149, 490, 149, 473, 150, 467, 
235, 150, 476, 150, 479, 150, 509, 149, 490, 150, 474, 150, 466, 
240, 150, 476, 149, 477, 150, 508, 149, 488, 150, 472, 150, 464, 
245, 150, 476, 150, 477, 150, 507, 149, 487, 149, 472, 150, 464, 
250, 150, 471, 149, 480, 150, 504, 148, 479, 149, 471, 150, 469, 
255, 150, 471, 149, 482, 150, 505, 149, 482, 149, 470, 149, 467, 
260, 150, 471, 150, 481, 150, 503, 150, 482, 149, 469, 150, 467, 
265, 150, 471, 150, 481, 150, 503, 149, 480, 150, 469, 150, 465, 
270, 150, 470, 150, 481, 150, 504, 149, 479, 149, 468, 150, 466, 
275, 150, 470, 150, 480, 150, 501, 149, 477, 150, 467, 150, 463, 
280, 150, 470, 150, 479, 150, 503, 150, 476, 150, 466, 150, 462, 
285, 150, 470, 150, 480, 150, 498, 149, 475, 150, 466, 149, 460, 
290, 150, 469, 150, 480, 150, 499, 149, 473, 149, 465, 150, 459, 
295, 150, 469, 149, 478, 150, 496, 149, 472, 150, 464, 150, 459, 
300, 150, 469, 150, 478, 149, 496, 149, 470, 150, 463, 150, 457, 
305, 150, 468, 150, 477, 150, 494, 150, 469, 149, 461, 149, 455, 
310, 150, 467, 150, 477, 150, 493, 149, 468, 149, 460, 149, 455, 
315, 150, 466, 150, 477, 150, 491, 150, 466, 149, 459, 150, 454, 
320, 150, 465, 150, 476, 149, 490, 150, 465, 150, 458, 150, 450, 
325, 150, 465, 150, 476, 150, 489, 150, 463, 149, 456, 150, 451, 
330, 150, 464, 150, 474, 150, 487, 149, 461, 149, 454, 149, 449, 
