t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 496, 150, 495, 150, 506, 150, 504, 149, 497, 150, 507, 
10, 150, 499, 150, 500, 150, 513, 150, 510, 150, 505, 150, 515, 
15, 150, 501, 150, 503, 149, 517, 149, 514, 149, 513, 150, 520, 
20, 150, 502, 150, 504, 150, 519, 149, 517, 150, 517, 150, 523, 
25, 150, 502, 150, 505, 150, 520, 150, 519, 149, 515, 149, 525, 
30, 150, 502, 150, 506, 150, 521, 150, 520, 149, 520, 150, 528, 
35, 150, 506, 150, 506, 149, 524, 150, 520, 149, 521, 150, 529, 
40, 149, 504, 150, 505, 150, 516, 150, 520, 150, 528, 150, 527, 
45, 150, 501, 150, 505, 149, 514, 150, 520, 149, 523, 150, 526, 
50, 150, 498, 150, 503, 150, 512, 150, 517, 149, 522, 150, 526, 
55, 150, 497, 150, 495, 150, 510, 150, 517, 150, 522, 150, 525, 
60, 150, 493, 150, 500, 150, 508, 149, 516, 149, 525, 150, 525, 
65, 150, 493, 150, 500, 150, 506, 150, 514, 149, 520, 149, 524, 
70, 150, 491, 150, 498, 150, 504, 149, 512, 150, 524, 149, 522, 
75, 150, 490, 150, 496, 150, 503, 150, 512, 150, 519, 149, 521, 
80, 150, 488, 150, 494, 150, 500, 149, 510, 149, 517, 149, 519, 
85, 150, 489, 150, 493, 150, 502, 150, 508, 150, 519, 150, 518, 
90, 149, 487, 150, 494, 150, 500, 149, 508, 149, 521, 150, 515, 
95, 150, 485, 149, 492, 150, 498, 150, 506, 149, 519, 149, 516, 
100, 150, 485, 149, 492, 149, 497, 150, 504, 150, 515, 150, 514, 
105, 150, 486, 150, 492, 149, 497, 149, 502, 149, 517, 150, 513, 
110, 150, 484, 150, 491, 150, 496, 150, 504, 150, 515, 150, 512, 
115, 150, 483, 150, 491, 150, 495, 149, 503, 149, 511, 150, 512, 
120, 150, 483, 150, 491, 149, 495, 149, 503, 149, 511, 150, 511, 
125, 150, 483, 150, 490, 150, 494, 149, 503, 150, 514, 149, 511, 
130, 150, 484, 150, 490, 149, 494, 150, 503, 149, 514, 150, 512, 
135, 150, 483, 150, 490, 150, 493, 149, 501, 150, 514, 149, 511, 
140, 150, 484, 150, 491, 150, 497, 149, 504, 150, 515, 150, 509, 
145, 150, 483, 150, 493, 150, 495, 149, 503, 150, 515, 149, 508, 
150, 150, 481, 149, 492, 149, 495, 149, 503, 150, 515, 150, 508, 
155, 150, 483, 150, 492, 150, 496, 149, 503, 150, 514, 150, 508, 
160, 150, 482, 149, 492, 150, 495, 149, 502, 149, 512, 149, 506, 
165, 150, 482, 150, 491, 150, 494, 149, 503, 150, 511, 150, 506, 
170, 149, 482, 150, 491, 150, 494, 149, 501, 150, 509, 150, 505, 
175, 150, 482, 150, 491, 150, 494, 150, 502, 150, 510, 150, 504, 
180, 150, 482, 150, 491, 150, 497, 149, 501, 150, 509, 150, 502, 
185, 150, 482, 150, 490, 150, 494, 150, 501, 149, 508, 150, 501, 
190, 149, 483, 150, 492, 150, 495, 149, 500, 149, 509, 149, 499, 
195, 150, 483, 150, 490, 150, 494, 149, 499, 150, 508, 149, 498, 
200, 150, 482, 150, 489, 150, 493, 150, 499, 149, 505, 149, 495, 
205, 150, 482, 150, 490, 149, 493, 150, 498, 150, 506, 150, 493, 
210, 150, 483, 150, 489, 149, 491, 149, 496, 150, 502, 149, 493, 
215, 150, 484, 150, 488, 150, 491, 149, 495, 149, 499, 150, 491, 
220, 150, 483, 150, 488, 149, 491, 149, 494, 149, 498, 149, 489, 
225, 150, 484, 150, 488, 149, 491, 150, 493, 150, 499, 150, 486, 
230, 150, 483, 150, 488, 150, 491, 150, 491, 149, 497, 150, 485, 
235, 150, 483, 149, 487, 150, 490, 149, 489, 150, 495, 150, 483, 
240, 149, 482, 150, 487, 150, 489, 150, 489, 149, 493, 150, 482, 
245, 150, 483, 150, 486, 150, 489, 149, 487, 150, 491, 150, 479, 
250, 150, 483, 150, 486, 150, 488, 149, 486, 150, 490, 149, 478, 
255, 149, 484, 150, 485, 149, 487, 150, 484, 150, 488, 150, 477, 
260, 150, 482, 150, 484, 150, 485, 150, 483, 149, 487, 150, 475, 
265, 150, 483, 149, 483, 150, 486, 149, 481, 149, 484, 150, 475, 
270, 149, 483, 150, 484, 150, 485, 150, 479, 150, 482, 150, 473, 
275, 150, 483, 150, 483, 150, 484, 150, 477, 149, 480, 150, 472, 
280, 150, 483, 150, 482, 150, 485, 149, 476, 149, 477, 149, 469, 
285, 150, 484, 150, 481, 150, 483, 150, 475, 149, 475, 150, 468, 
290, 149, 482, 150, 480, 150, 482, 149, 473, 149, 473, 149, 466, 
295, 149, 484, 150, 479, 150, 484, 150, 471, 149, 472, 150, 466, 
300, 149, 482, 149, 479, 150, 480, 150, 471, 150, 472, 150, 464, 
305, 150, 482, 150, 478, 150, 479, 149, 470, 149, 471, 150, 462, 
310, 149, 484, 150, 477, 150, 477, 150, 468, 150, 469, 150, 460, 
315, 150, 484, 150, 476, 150, 478, 149, 465, 150, 467, 150, 459, 
320, 150, 481, 150, 476, 150, 475, 150, 465, 150, 467, 150, 458, 
325, 150, 483, 150, 475, 150, 475, 150, 464, 149, 464, 150, 455, 
330, 150, 483, 150, 474, 150, 474, 149, 461, 150, 461, 150, 454, 
