t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 494, 149, 487, 150, 500, 149, 495, 150, 495, 150, 494, 
10, 150, 499, 150, 492, 149, 505, 149, 502, 149, 500, 150, 500, 
15, 150, 498, 150, 494, 150, 509, 150, 503, 150, 505, 150, 502, 
20, 150, 500, 150, 495, 150, 510, 149, 505, 150, 506, 150, 505, 
25, 150, 499, 149, 496, 149, 512, 150, 505, 150, 508, 150, 505, 
30, 149, 503, 150, 499, 150, 513, 149, 506, 150, 508, 150, 504, 
35, 150, 501, 150, 498, 150, 513, 149, 507, 149, 508, 150, 505, 
40, 150, 499, 150, 496, 150, 512, 150, 508, 149, 508, 149, 507, 
45, 150, 497, 150, 496, 150, 511, 149, 506, 149, 509, 150, 505, 
50, 150, 496, 150, 494, 150, 512, 149, 507, 150, 509, 150, 504, 
55, 150, 495, 150, 493, 150, 511, 149, 504, 149, 509, 150, 505, 
60, 150, 492, 150, 491, 150, 509, 149, 502, 150, 509, 150, 506, 
65, 150, 492, 149, 488, 150, 505, 149, 499, 150, 509, 150, 507, 
70, 149, 489, 150, 487, 150, 504, 149, 497, 150, 508, 150, 505, 
75, 150, 488, 150, 486, 150, 503, 150, 494, 150, 507, 150, 505, 
80, 150, 488, 148, 479, 150, 500, 150, 495, 149, 506, 150, 502, 
85, 150, 487, 150, 481, 150, 499, 149, 492, 150, 505, 149, 501, 
90, 150, 486, 150, 479, 150, 498, 149, 491, 150, 505, 150, 502, 
95, 148, 482, 150, 477, 150, 496, 149, 490, 149, 504, 150, 499, 
100, 150, 483, 150, 477, 150, 494, 150, 489, 150, 502, 150, 499, 
105, 150, 482, 150, 474, 150, 495, 150, 488, 149, 502, 150, 497, 
110, 150, 481, 150, 474, 150, 493, 149, 489, 150, 501, 150, 499, 
115, 150, 479, 150, 473, 150, 493, 149, 488, 149, 499, 150, 496, 
120, 150, 479, 150, 472, 150, 493, 149, 488, 149, 498, 150, 495, 
125, 150, 478, 150, 472, 150, 491, 149, 488, 149, 498, 150, 495, 
130, 150, 477, 150, 472, 150, 490, 150, 488, 150, 497, 150, 496, 
135, 150, 476, 150, 472, 150, 491, 149, 487, 150, 496, 150, 495, 
140, 150, 476, 150, 473, 150, 492, 149, 487, 150, 495, 150, 494, 
145, 150, 474, 150, 473, 149, 489, 149, 488, 149, 494, 149, 494, 
150, 150, 475, 150, 473, 150, 492, 149, 488, 149, 494, 150, 492, 
155, 150, 474, 150, 473, 150, 489, 149, 487, 150, 492, 150, 493, 
160, 149, 473, 150, 473, 149, 491, 149, 488, 149, 492, 150, 493, 
165, 150, 474, 150, 473, 150, 490, 149, 489, 150, 491, 150, 493, 
170, 149, 473, 150, 473, 149, 489, 150, 489, 150, 490, 150, 493, 
175, 150, 474, 150, 473, 150, 492, 149, 489, 150, 491, 149, 493, 
180, 150, 473, 150, 473, 150, 491, 149, 490, 149, 488, 150, 493, 
185, 150, 473, 150, 473, 150, 492, 149, 491, 149, 488, 150, 492, 
190, 150, 473, 150, 474, 150, 491, 150, 491, 150, 489, 150, 491, 
195, 150, 472, 150, 474, 150, 489, 149, 491, 150, 486, 149, 491, 
200, 149, 472, 150, 473, 150, 491, 149, 491, 149, 486, 150, 491, 
205, 150, 472, 149, 471, 150, 492, 149, 491, 150, 485, 149, 489, 
210, 150, 472, 150, 474, 149, 490, 150, 491, 149, 484, 149, 489, 
215, 150, 471, 150, 474, 149, 490, 149, 491, 150, 483, 149, 487, 
220, 150, 472, 150, 473, 149, 491, 149, 491, 149, 481, 150, 487, 
225, 149, 470, 150, 473, 150, 492, 150, 490, 149, 480, 150, 487, 
230, 150, 472, 150, 473, 150, 493, 150, 490, 149, 479, 149, 486, 
235, 150, 470, 150, 473, 150, 490, 150, 490, 150, 478, 150, 486, 
240, 150, 468, 150, 473, 150, 488, 150, 489, 150, 477, 150, 482, 
245, 150, 470, 150, 473, 149, 488, 149, 489, 149, 474, 150, 481, 
250, 150, 469, 150, 472, 150, 489, 149, 488, 149, 472, 149, 481, 
255, 150, 467, 150, 472, 149, 490, 150, 487, 150, 470, 150, 479, 
260, 150, 467, 150, 472, 150, 487, 150, 486, 150, 470, 150, 478, 
265, 150, 468, 150, 472, 150, 489, 149, 485, 150, 466, 149, 480, 
270, 150, 467, 149, 472, 150, 488, 150, 483, 149, 465, 150, 479, 
275, 149, 468, 149, 470, 150, 489, 149, 482, 150, 463, 150, 478, 
280, 150, 466, 150, 471, 150, 489, 150, 480, 150, 461, 150, 475, 
285, 150, 467, 150, 472, 150, 488, 149, 479, 149, 460, 150, 474, 
290, 150, 466, 150, 472, 150, 486, 150, 478, 149, 457, 150, 474, 
295, 150, 465, 150, 472, 150, 485, 149, 477, 150, 455, 150, 472, 
300, 150, 462, 150, 472, 150, 487, 149, 475, 150, 454, 150, 472, 
305, 150, 462, 150, 471, 150, 489, 150, 474, 150, 453, 150, 470, 
310, 150, 462, 150, 471, 150, 484, 149, 472, 149, 450, 150, 469, 
315, 150, 463, 150, 471, 150, 486, 149, 470, 149, 446, 149, 469, 
320, 149, 462, 149, 470, 150, 483, 149, 469, 150, 446, 150, 468, 
325, 149, 460, 150, 471, 150, 485, 150, 467, 149, 443, 150, 466, 
330, 150, 461, 150, 470, 149, 483, 149, 465, 150, 441, 150, 465, 
