t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 514, 149, 515, 151, 516, 150, 512, 150, 506, 150, 530, 
10, 149, 516, 149, 520, 150, 520, 149, 516, 150, 511, 150, 537, 
15, 150, 519, 150, 522, 149, 523, 149, 517, 150, 515, 150, 540, 
20, 150, 520, 150, 524, 150, 526, 149, 519, 149, 519, 150, 543, 
25, 149, 520, 150, 525, 150, 525, 149, 523, 150, 519, 149, 546, 
30, 150, 520, 150, 526, 150, 527, 150, 521, 149, 520, 149, 545, 
35, 150, 520, 149, 526, 150, 525, 149, 522, 149, 524, 149, 547, 
40, 150, 519, 149, 525, 148, 521, 149, 522, 149, 517, 150, 548, 
45, 150, 519, 150, 525, 150, 525, 150, 526, 150, 522, 150, 543, 
50, 150, 514, 150, 525, 150, 526, 150, 527, 150, 522, 150, 540, 
55, 149, 512, 150, 525, 150, 525, 150, 526, 149, 522, 150, 537, 
60, 150, 510, 150, 522, 149, 523, 149, 524, 149, 520, 150, 535, 
65, 150, 507, 150, 520, 149, 522, 149, 521, 150, 520, 149, 532, 
70, 150, 506, 150, 519, 150, 521, 150, 520, 149, 519, 150, 531, 
75, 149, 505, 150, 517, 150, 520, 149, 517, 149, 517, 150, 531, 
80, 150, 504, 149, 515, 150, 516, 150, 517, 150, 515, 150, 529, 
85, 150, 503, 150, 513, 150, 513, 150, 514, 149, 514, 150, 530, 
90, 150, 503, 150, 512, 149, 510, 150, 515, 149, 510, 150, 529, 
95, 150, 501, 150, 512, 150, 509, 149, 516, 150, 508, 150, 529, 
100, 150, 500, 150, 510, 150, 508, 150, 516, 150, 507, 149, 527, 
105, 150, 499, 150, 510, 150, 508, 150, 514, 149, 507, 149, 527, 
110, 149, 498, 149, 508, 150, 508, 150, 514, 150, 505, 150, 527, 
115, 150, 498, 150, 507, 150, 508, 150, 515, 149, 504, 150, 526, 
120, 149, 497, 150, 507, 150, 503, 149, 514, 149, 506, 149, 526, 
125, 150, 493, 150, 505, 150, 507, 150, 515, 150, 507, 150, 529, 
130, 150, 493, 150, 505, 150, 507, 149, 518, 150, 507, 150, 530, 
135, 150, 493, 149, 504, 150, 504, 150, 519, 150, 508, 149, 531, 
140, 150, 492, 150, 505, 150, 506, 150, 519, 150, 508, 150, 532, 
145, 150, 492, 150, 504, 150, 505, 150, 521, 149, 509, 150, 531, 
150, 150, 492, 150, 505, 150, 508, 149, 522, 149, 508, 149, 530, 
155, 150, 490, 150, 504, 150, 506, 150, 524, 150, 509, 150, 531, 
160, 150, 490, 149, 504, 150, 506, 149, 522, 150, 511, 150, 530, 
165, 150, 490, 150, 503, 149, 507, 149, 523, 149, 508, 149, 528, 
170, 150, 489, 150, 505, 150, 508, 150, 524, 150, 509, 150, 530, 
175, 150, 489, 150, 504, 150, 508, 150, 525, 150, 510, 149, 529, 
180, 149, 489, 150, 504, 150, 508, 149, 524, 150, 511, 149, 527, 
185, 150, 490, 150, 504, 150, 508, 149, 526, 149, 509, 150, 526, 
190, 150, 489, 150, 503, 149, 507, 149, 526, 150, 508, 149, 526, 
195, 149, 488, 150, 501, 150, 507, 150, 527, 149, 508, 149, 525, 
200, 150, 488, 150, 500, 149, 506, 149, 529, 150, 508, 150, 525, 
205, 149, 487, 150, 500, 150, 511, 149, 527, 150, 513, 149, 524, 
210, 149, 489, 150, 499, 150, 508, 149, 529, 149, 513, 149, 523, 
215, 150, 489, 150, 501, 150, 512, 149, 527, 150, 508, 150, 521, 
220, 150, 488, 150, 500, 150, 509, 149, 528, 150, 506, 150, 519, 
225, 150, 489, 149, 499, 150, 512, 150, 526, 149, 508, 150, 517, 
230, 150, 489, 150, 500, 149, 509, 149, 527, 150, 505, 150, 516, 
235, 150, 489, 149, 499, 149, 511, 149, 525, 150, 504, 150, 514, 
240, 150, 489, 150, 497, 149, 508, 149, 524, 149, 502, 150, 511, 
245, 150, 490, 149, 496, 150, 509, 150, 525, 150, 500, 150, 510, 
250, 150, 489, 150, 497, 150, 508, 149, 524, 149, 499, 149, 507, 
255, 150, 489, 150, 497, 150, 507, 149, 522, 149, 498, 149, 508, 
260, 150, 489, 150, 495, 149, 506, 150, 520, 150, 495, 150, 504, 
265, 150, 489, 149, 495, 150, 505, 150, 518, 150, 495, 150, 503, 
270, 149, 492, 151, 498, 152, 518, 148, 513, 151, 497, 150, 503, 
275, 150, 490, 150, 494, 150, 511, 149, 513, 150, 490, 150, 498, 
280, 150, 489, 149, 493, 150, 508, 150, 513, 149, 486, 150, 496, 
285, 150, 490, 150, 494, 150, 509, 149, 511, 149, 486, 149, 492, 
290, 150, 490, 150, 492, 149, 508, 150, 510, 150, 482, 150, 489, 
295, 150, 489, 150, 491, 150, 507, 149, 509, 149, 480, 149, 486, 
300, 149, 490, 150, 492, 151, 504, 150, 506, 150, 480, 150, 491, 
305, 150, 489, 150, 490, 150, 502, 150, 503, 150, 478, 150, 486, 
310, 150, 490, 150, 491, 150, 501, 149, 501, 150, 475, 150, 482, 
315, 150, 490, 150, 489, 150, 503, 150, 500, 149, 476, 150, 480, 
320, 150, 489, 150, 489, 150, 501, 150, 498, 149, 471, 150, 478, 
325, 150, 488, 150, 488, 150, 501, 149, 497, 149, 470, 150, 476, 
330, 150, 488, 150, 488, 150, 500, 149, 495, 149, 467, 150, 473, 
