t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 383, 150, 392, 150, 383, 150, 392, 149, 391, 150, 401, 
10, 149, 386, 150, 394, 149, 385, 149, 395, 150, 396, 150, 405, 
15, 149, 385, 150, 396, 150, 387, 150, 400, 150, 398, 149, 407, 
20, 150, 385, 150, 397, 150, 387, 149, 399, 150, 400, 149, 408, 
25, 150, 386, 150, 396, 149, 388, 150, 401, 149, 400, 150, 409, 
30, 150, 386, 150, 397, 149, 389, 149, 403, 150, 402, 150, 410, 
35, 149, 388, 150, 398, 150, 389, 149, 399, 150, 400, 149, 409, 
40, 150, 388, 150, 398, 150, 389, 150, 401, 150, 400, 149, 409, 
45, 150, 389, 150, 398, 150, 390, 150, 400, 149, 402, 149, 408, 
50, 150, 386, 150, 395, 150, 388, 150, 400, 149, 400, 150, 409, 
55, 150, 386, 150, 392, 150, 388, 150, 403, 149, 401, 150, 409, 
60, 150, 385, 150, 393, 150, 388, 150, 399, 150, 400, 150, 409, 
65, 150, 387, 150, 392, 150, 389, 150, 400, 149, 400, 150, 409, 
70, 150, 384, 150, 390, 150, 389, 150, 398, 150, 399, 150, 410, 
75, 150, 384, 150, 390, 150, 389, 149, 397, 150, 400, 150, 409, 
80, 150, 383, 150, 389, 150, 388, 149, 394, 150, 399, 150, 409, 
85, 150, 383, 150, 388, 150, 387, 149, 397, 149, 401, 150, 408, 
90, 150, 382, 150, 388, 149, 385, 150, 394, 150, 400, 150, 407, 
95, 150, 381, 150, 388, 149, 383, 149, 392, 150, 400, 149, 406, 
100, 150, 381, 150, 386, 151, 385, 150, 390, 150, 400, 150, 405, 
105, 149, 380, 150, 385, 148, 378, 149, 395, 150, 398, 150, 404, 
110, 149, 380, 150, 384, 150, 382, 149, 393, 150, 398, 150, 404, 
115, 150, 380, 150, 384, 149, 381, 150, 393, 150, 397, 150, 403, 
120, 150, 379, 150, 383, 150, 380, 149, 392, 150, 395, 150, 403, 
125, 149, 379, 150, 383, 150, 380, 149, 390, 150, 397, 150, 402, 
130, 150, 379, 150, 384, 150, 379, 150, 392, 150, 394, 150, 402, 
135, 149, 379, 150, 382, 150, 380, 150, 392, 149, 395, 150, 402, 
140, 150, 379, 150, 383, 149, 378, 149, 391, 150, 393, 150, 402, 
145, 149, 380, 150, 383, 150, 378, 150, 390, 150, 391, 150, 402, 
150, 150, 379, 150, 382, 150, 378, 149, 391, 150, 392, 150, 402, 
155, 149, 378, 150, 382, 150, 379, 150, 390, 150, 392, 150, 402, 
160, 150, 380, 149, 381, 149, 377, 150, 389, 150, 391, 150, 401, 
165, 149, 380, 150, 381, 150, 376, 150, 388, 149, 391, 150, 401, 
170, 150, 379, 149, 380, 150, 376, 150, 388, 150, 389, 150, 401, 
175, 150, 379, 150, 382, 151, 380, 150, 389, 150, 388, 150, 400, 
180, 150, 378, 150, 382, 149, 376, 149, 387, 150, 388, 150, 400, 
185, 149, 379, 150, 382, 150, 376, 149, 387, 150, 389, 150, 400, 
190, 150, 377, 149, 380, 150, 376, 149, 386, 150, 387, 150, 399, 
195, 150, 378, 150, 380, 150, 375, 150, 385, 149, 387, 150, 398, 
200, 150, 377, 150, 381, 150, 375, 150, 383, 150, 385, 150, 398, 
205, 150, 377, 150, 380, 149, 375, 149, 386, 150, 386, 150, 397, 
210, 149, 376, 150, 381, 150, 374, 149, 382, 150, 383, 150, 396, 
215, 150, 375, 150, 380, 150, 374, 149, 383, 150, 385, 150, 396, 
220, 150, 376, 150, 381, 149, 374, 150, 382, 150, 381, 150, 395, 
225, 150, 374, 150, 381, 150, 373, 150, 382, 150, 382, 150, 394, 
230, 150, 375, 150, 380, 150, 373, 150, 381, 150, 380, 150, 393, 
235, 150, 374, 150, 379, 150, 373, 149, 381, 150, 382, 150, 392, 
240, 150, 374, 150, 380, 150, 373, 150, 378, 150, 378, 150, 391, 
245, 150, 375, 150, 379, 150, 371, 150, 379, 149, 379, 150, 390, 
250, 150, 374, 150, 380, 150, 371, 150, 375, 150, 378, 150, 390, 
255, 150, 375, 150, 379, 149, 370, 150, 374, 150, 377, 150, 389, 
260, 150, 372, 150, 378, 149, 370, 150, 375, 150, 374, 150, 388, 
265, 150, 373, 150, 379, 149, 369, 150, 372, 150, 374, 150, 387, 
270, 150, 371, 150, 378, 150, 370, 149, 373, 150, 372, 150, 386, 
275, 150, 373, 150, 378, 150, 369, 150, 372, 149, 370, 150, 385, 
280, 150, 372, 150, 378, 150, 368, 150, 368, 150, 371, 150, 384, 
285, 150, 373, 150, 377, 150, 368, 149, 367, 150, 369, 149, 382, 
290, 150, 372, 150, 377, 150, 368, 150, 367, 150, 367, 150, 382, 
295, 150, 372, 150, 375, 150, 367, 150, 364, 150, 366, 150, 380, 
300, 150, 370, 150, 375, 150, 366, 149, 363, 150, 366, 149, 379, 
305, 150, 370, 150, 375, 150, 365, 149, 360, 150, 364, 149, 378, 
310, 150, 370, 150, 374, 150, 365, 150, 363, 150, 362, 149, 377, 
315, 150, 371, 150, 375, 149, 364, 150, 359, 149, 361, 150, 375, 
320, 150, 370, 150, 374, 150, 364, 150, 357, 150, 361, 150, 374, 
325, 150, 370, 150, 372, 150, 363, 149, 356, 149, 360, 150, 372, 
330, 149, 368, 150, 373, 149, 363, 150, 354, 150, 359, 149, 371, 
